exemplar,aap,bever,bizon,dromedaris,eekhoorn,egel,ezel,giraf,hamster,hert,hond,ijsbeer,kangoeroe,kat,koe,konijn,lama,leeuw,muis,neushoorn,nijlpaard,olifant,paard,schaap,tijger,varken,vleermuis,vos,wolf,zebra
aap,20.0,9.0,9.0,8.0,7.0,5.0,8.0,4.0,7.0,8.0,11.0,7.0,7.0,11.0,4.0,9.0,11.0,11.0,7.0,8.0,4.0,8.0,4.0,6.0,10.0,7.0,10.0,7.0,9.0,7.0
bever,9.0,20.0,6.0,5.0,11.0,12.0,6.0,4.0,11.0,7.0,4.0,8.0,12.0,10.0,5.0,15.0,5.0,5.0,13.0,5.0,6.0,4.0,6.0,7.0,7.0,6.0,4.0,11.0,7.0,4.0
bizon,9.0,6.0,20.0,13.0,4.0,4.0,12.0,11.0,4.0,13.0,9.0,8.0,11.0,8.0,14.0,5.0,12.0,11.0,4.0,10.0,8.0,11.0,9.0,11.0,9.0,9.0,4.0,6.0,14.0,8.0
dromedaris,8.0,5.0,13.0,20.0,5.0,5.0,13.0,11.0,6.0,14.0,10.0,7.0,7.0,9.0,12.0,7.0,14.0,11.0,5.0,11.0,14.0,11.0,13.0,10.0,8.0,5.0,4.0,9.0,9.0,12.0
eekhoorn,7.0,11.0,4.0,5.0,20.0,13.0,5.0,5.0,11.0,4.0,9.0,9.0,7.0,11.0,5.0,15.0,5.0,10.0,13.0,7.0,4.0,4.0,7.0,9.0,5.0,8.0,10.0,13.0,8.0,7.0
egel,5.0,12.0,4.0,5.0,13.0,20.0,7.0,5.0,12.0,10.0,5.0,6.0,6.0,10.0,3.0,12.0,5.0,4.0,12.0,5.0,4.0,4.0,4.0,5.0,5.0,9.0,11.0,11.0,7.0,7.0
ezel,8.0,6.0,12.0,13.0,5.0,7.0,20.0,10.0,6.0,13.0,9.0,9.0,9.0,10.0,13.0,7.0,13.0,10.0,9.0,12.0,8.0,10.0,16.0,11.0,11.0,6.0,6.0,6.0,11.0,14.0
giraf,4.0,4.0,11.0,11.0,5.0,5.0,10.0,20.0,5.0,9.0,8.0,8.0,7.0,4.0,9.0,7.0,10.0,10.0,2.0,11.0,12.0,8.0,9.0,6.0,10.0,5.0,6.0,7.0,7.0,11.0
hamster,7.0,11.0,4.0,6.0,11.0,12.0,6.0,5.0,20.0,6.0,5.0,8.0,9.0,8.0,2.0,12.0,4.0,8.0,18.0,5.0,4.0,5.0,4.0,5.0,6.0,8.0,11.0,6.0,5.0,4.0
hert,8.0,7.0,13.0,14.0,4.0,10.0,13.0,9.0,6.0,20.0,11.0,9.0,10.0,8.0,12.0,5.0,11.0,8.0,4.0,9.0,7.0,9.0,11.0,12.0,8.0,7.0,5.0,9.0,11.0,13.0
hond,11.0,4.0,9.0,10.0,9.0,5.0,9.0,8.0,5.0,11.0,20.0,8.0,8.0,11.0,7.0,9.0,11.0,12.0,11.0,7.0,4.0,5.0,10.0,7.0,11.0,10.0,5.0,15.0,15.0,8.0
ijsbeer,7.0,8.0,8.0,7.0,9.0,6.0,9.0,8.0,8.0,9.0,8.0,20.0,6.0,8.0,8.0,8.0,8.0,9.0,8.0,10.0,8.0,6.0,7.0,14.0,7.0,8.0,5.0,10.0,8.0,7.0
