exemplar,aap,bever,bizon,dromedaris,eekhoorn,egel,ezel,giraf,hamster,hert,hond,ijsbeer,kangoeroe,kat,koe,konijn,lama,leeuw,muis,neushoorn,nijlpaard,olifant,paard,schaap,tijger,varken,vleermuis,vos,wolf,zebra
aap,20.0,4.0,5.0,2.0,3.0,5.0,4.0,2.0,2.0,5.0,4.0,8.0,4.0,3.0,4.0,4.0,2.0,2.0,2.0,2.0,6.0,2.0,5.0,2.0,4.0,4.0,4.0,7.0,2.0,6.0
bever,4.0,20.0,8.0,5.0,5.0,6.0,2.0,5.0,8.0,8.0,5.0,8.0,5.0,3.0,6.0,16.0,6.0,7.0,2.0,5.0,5.0,5.0,8.0,3.0,4.0,11.0,5.0,6.0,10.0,9.0
bizon,5.0,8.0,20.0,8.0,2.0,8.0,4.0,7.0,2.0,5.0,5.0,4.0,6.0,3.0,14.0,4.0,9.0,13.0,2.0,15.0,15.0,14.0,6.0,7.0,9.0,10.0,1.0,2.0,8.0,8.0
dromedaris,2.0,5.0,8.0,20.0,3.0,9.0,13.0,14.0,4.0,12.0,8.0,4.0,11.0,4.0,10.0,5.0,14.0,5.0,5.0,9.0,4.0,5.0,14.0,7.0,4.0,5.0,5.0,7.0,6.0,6.0
eekhoorn,3.0,5.0,2.0,3.0,20.0,4.0,6.0,5.0,13.0,6.0,4.0,7.0,5.0,3.0,4.0,11.0,2.0,4.0,15.0,4.0,10.0,4.0,7.0,4.0,4.0,3.0,6.0,3.0,3.0,8.0
egel,5.0,6.0,8.0,9.0,4.0,20.0,5.0,2.0,9.0,4.0,3.0,5.0,5.0,4.0,4.0,12.0,4.0,2.0,15.0,5.0,4.0,2.0,3.0,3.0,2.0,6.0,4.0,7.0,2.0,2.0
ezel,4.0,2.0,4.0,13.0,6.0,5.0,20.0,9.0,4.0,8.0,3.0,5.0,5.0,5.0,12.0,4.0,12.0,3.0,5.0,10.0,4.0,10.0,18.0,6.0,3.0,11.0,2.0,4.0,6.0,14.0
giraf,2.0,5.0,7.0,14.0,5.0,2.0,9.0,20.0,4.0,7.0,4.0,6.0,8.0,5.0,9.0,5.0,15.0,4.0,3.0,3.0,7.0,7.0,8.0,10.0,4.0,4.0,4.0,6.0,3.0,6.0
hamster,2.0,8.0,2.0,4.0,13.0,9.0,4.0,4.0,20.0,6.0,4.0,1.0,7.0,9.0,4.0,17.0,4.0,1.0,2.0,2.0,5.0,2.0,4.0,7.0,11.0,5.0,4.0,7.0,5.0,4.0
hert,5.0,8.0,5.0,12.0,6.0,4.0,8.0,7.0,6.0,20.0,13.0,6.0,9.0,13.0,9.0,8.0,10.0,4.0,2.0,9.0,7.0,3.0,7.0,5.0,5.0,5.0,4.0,8.0,7.0,15.0
