exemplar,aap,bever,bizon,dromedaris,eekhoorn,egel,ezel,giraf,hamster,hert,hond,ijsbeer,kangoeroe,kat,koe,konijn,lama,leeuw,muis,neushoorn,nijlpaard,olifant,paard,schaap,tijger,varken,vleermuis,vos,wolf,zebra
aap,20.0,1.0,4.0,2.0,1.0,1.0,5.0,3.0,1.0,2.0,4.0,10.0,3.0,11.0,3.0,1.0,2.0,6.0,1.0,3.0,1.0,2.0,7.0,2.0,4.0,3.0,1.0,4.0,1.0,4.0
bever,1.0,20.0,3.0,4.0,11.0,1.0,1.0,2.0,1.0,5.0,5.0,2.0,8.0,6.0,2.0,9.0,1.0,2.0,2.0,6.0,1.0,1.0,4.0,3.0,2.0,3.0,1.0,9.0,1.0,2.0
bizon,4.0,3.0,20.0,8.0,2.0,1.0,12.0,10.0,1.0,7.0,10.0,4.0,4.0,2.0,17.0,1.0,12.0,8.0,1.0,14.0,15.0,8.0,7.0,8.0,12.0,15.0,1.0,8.0,11.0,11.0
dromedaris,2.0,4.0,8.0,20.0,2.0,2.0,10.0,11.0,2.0,13.0,6.0,1.0,8.0,8.0,4.0,1.0,17.0,12.0,1.0,3.0,10.0,10.0,15.0,12.0,12.0,8.0,1.0,3.0,2.0,4.0
eekhoorn,1.0,11.0,2.0,2.0,20.0,8.0,4.0,1.0,10.0,9.0,5.0,1.0,3.0,12.0,1.0,14.0,2.0,1.0,1.0,1.0,1.0,4.0,3.0,2.0,1.0,1.0,5.0,5.0,1.0,5.0
egel,1.0,1.0,1.0,2.0,8.0,20.0,1.0,1.0,14.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,7.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0
ezel,5.0,1.0,12.0,10.0,4.0,1.0,20.0,10.0,1.0,14.0,7.0,1.0,2.0,6.0,7.0,6.0,12.0,6.0,1.0,5.0,10.0,9.0,19.0,10.0,9.0,11.0,1.0,10.0,4.0,17.0
giraf,3.0,2.0,10.0,11.0,1.0,1.0,10.0,20.0,1.0,10.0,4.0,2.0,3.0,8.0,4.0,6.0,16.0,8.0,1.0,1.0,3.0,8.0,13.0,4.0,3.0,2.0,1.0,4.0,4.0,15.0
hamster,1.0,1.0,1.0,2.0,10.0,14.0,1.0,1.0,20.0,1.0,3.0,1.0,5.0,4.0,1.0,13.0,1.0,1.0,16.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,10.0,6.0,2.0
hert,2.0,5.0,7.0,13.0,9.0,1.0,14.0,10.0,1.0,20.0,9.0,6.0,8.0,9.0,14.0,3.0,12.0,12.0,1.0,10.0,3.0,10.0,12.0,11.0,6.0,5.0,1.0,10.0,6.0,10.0
hond,4.0,5.0,10.0,6.0,5.0,1.0,7.0,4.0,3.0,9.0,20.0,1.0,4.0,9.0,3.0,4.0,8.0,6.0,1.0,7.0,7.0,4.0,10.0,7.0,8.0,3.0,1.0,12.0,15.0,4.0
ijsbeer,10.0,2.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,6.0,1.0,20.0,5.0,5.0,7.0,1.0,10.0,4.0,1.0,6.0,7.0,1.0,1.0,10.0,5.0,1.0,1.0,11.0,2.0,1.0
kangoeroe,3.0,8.0,4.0,8.0,3.0,1.0,2.0,3.0,5.0,8.0,4.0,5.0,20.0,2.0,10.0,1.0,10.0,2.0,1.0,4.0,6.0,10.0,11.0,3.0,2.0,1.0,1.0,4.0,4.0,10.0
kat,11.0,6.0,2.0,8.0,12.0,1.0,6.0,8.0,4.0,9.0,9.0,5.0,2.0,20.0,3.0,13.0,2.0,14.0,3.0,2.0,6.0,8.0,3.0,7.0,18.0,8.0,1.0,10.0,12.0,5.0
koe,3.0,2.0,17.0,4.0,1.0,1.0,7.0,4.0,1.0,14.0,3.0,7.0,10.0,3.0,20.0,3.0,6.0,4.0,7.0,16.0,15.0,9.0,10.0,17.0,9.0,10.0,1.0,5.0,4.0,11.0
konijn,1.0,9.0,1.0,1.0,14.0,4.0,6.0,6.0,13.0,3.0,4.0,1.0,1.0,13.0,3.0,20.0,1.0,1.0,7.0,2.0,1.0,6.0,1.0,10.0,1.0,1.0,4.0,3.0,3.0,4.0
lama,2.0,1.0,12.0,17.0,2.0,1.0,12.0,16.0,1.0,12.0,8.0,10.0,10.0,2.0,6.0,1.0,20.0,10.0,1.0,6.0,8.0,1.0,8.0,4.0,14.0,8.0,1.0,8.0,3.0,13.0
leeuw,6.0,2.0,8.0,12.0,1.0,1.0,6.0,8.0,1.0,12.0,6.0,4.0,2.0,14.0,4.0,1.0,10.0,20.0,1.0,10.0,11.0,9.0,11.0,9.0,20.0,6.0,1.0,12.0,10.0,10.0
muis,1.0,2.0,1.0,1.0,1.0,7.0,1.0,1.0,16.0,1.0,1.0,1.0,1.0,3.0,7.0,7.0,1.0,1.0,20.0,2.0,1.0,1.0,1.0,3.0,1.0,5.0,1.0,1.0,1.0,1.0
neushoorn,3.0,6.0,14.0,3.0,1.0,1.0,5.0,1.0,1.0,10.0,7.0,6.0,4.0,2.0,16.0,2.0,6.0,10.0,2.0,20.0,13.0,12.0,12.0,10.0,11.0,4.0,1.0,5.0,2.0,9.0
nijlpaard,1.0,1.0,15.0,10.0,1.0,1.0,10.0,3.0,1.0,3.0,7.0,7.0,6.0,6.0,15.0,1.0,8.0,11.0,1.0,13.0,20.0,13.0,12.0,1.0,10.0,14.0,1.0,2.0,3.0,8.0
olifant,2.0,1.0,8.0,10.0,4.0,1.0,9.0,8.0,1.0,10.0,4.0,1.0,10.0,8.0,9.0,6.0,1.0,9.0,1.0,12.0,13.0,20.0,8.0,2.0,10.0,7.0,1.0,2.0,8.0,6.0
paard,7.0,4.0,7.0,15.0,3.0,1.0,19.0,13.0,1.0,12.0,10.0,1.0,11.0,3.0,10.0,1.0,8.0,11.0,1.0,12.0,12.0,8.0,20.0,12.0,9.0,8.0,1.0,8.0,8.0,18.0
