exemplar,aap,bever,bizon,dromedaris,eekhoorn,egel,ezel,giraf,hamster,hert,hond,ijsbeer,kangoeroe,kat,koe,konijn,lama,leeuw,muis,neushoorn,nijlpaard,olifant,paard,schaap,tijger,varken,vleermuis,vos,wolf,zebra
aap,20.0,5.0,5.0,4.0,11.0,7.0,5.0,10.0,6.0,5.0,4.0,6.0,3.0,6.0,7.0,6.0,6.0,8.0,8.0,6.0,4.0,8.0,3.0,8.0,6.0,4.0,6.0,7.0,7.0,4.0
bever,5.0,20.0,5.0,6.0,6.0,7.0,5.0,2.0,11.0,6.0,7.0,9.0,6.0,5.0,3.0,12.0,3.0,8.0,9.0,8.0,6.0,4.0,7.0,5.0,2.0,6.0,6.0,5.0,8.0,2.0
bizon,5.0,5.0,20.0,9.0,3.0,5.0,8.0,6.0,2.0,6.0,4.0,6.0,7.0,5.0,14.0,6.0,5.0,11.0,1.0,10.0,8.0,3.0,12.0,6.0,11.0,6.0,3.0,5.0,6.0,9.0
dromedaris,4.0,6.0,9.0,20.0,9.0,8.0,7.0,8.0,3.0,7.0,2.0,5.0,4.0,6.0,8.0,3.0,9.0,11.0,4.0,8.0,8.0,7.0,8.0,6.0,2.0,2.0,6.0,5.0,4.0,9.0
eekhoorn,11.0,6.0,3.0,9.0,20.0,10.0,4.0,1.0,15.0,6.0,6.0,3.0,7.0,8.0,3.0,10.0,8.0,4.0,9.0,8.0,6.0,2.0,7.0,8.0,4.0,8.0,15.0,9.0,8.0,5.0
egel,7.0,7.0,5.0,8.0,10.0,20.0,7.0,4.0,10.0,9.0,8.0,4.0,8.0,10.0,6.0,9.0,5.0,3.0,6.0,8.0,2.0,3.0,4.0,5.0,4.0,7.0,11.0,6.0,5.0,5.0
ezel,5.0,5.0,8.0,7.0,4.0,7.0,20.0,4.0,3.0,6.0,8.0,5.0,7.0,6.0,11.0,4.0,13.0,8.0,7.0,6.0,5.0,6.0,16.0,8.0,6.0,6.0,4.0,4.0,8.0,13.0
giraf,10.0,2.0,6.0,8.0,1.0,4.0,4.0,20.0,2.0,9.0,3.0,3.0,8.0,1.0,3.0,5.0,4.0,9.0,1.0,8.0,5.0,11.0,5.0,5.0,12.0,5.0,2.0,7.0,8.0,4.0
hamster,6.0,11.0,2.0,3.0,15.0,10.0,3.0,2.0,20.0,5.0,7.0,1.0,2.0,9.0,3.0,16.0,4.0,2.0,16.0,2.0,3.0,3.0,6.0,10.0,2.0,3.0,10.0,4.0,3.0,4.0
hert,5.0,6.0,6.0,7.0,6.0,9.0,6.0,9.0,5.0,20.0,6.0,8.0,5.0,4.0,14.0,9.0,10.0,6.0,6.0,6.0,6.0,6.0,9.0,8.0,7.0,5.0,6.0,11.0,6.0,5.0
