exemplar,aap,bever,bizon,dromedaris,eekhoorn,egel,ezel,giraf,hamster,hert,hond,ijsbeer,kangoeroe,kat,koe,konijn,lama,leeuw,muis,neushoorn,nijlpaard,olifant,paard,schaap,tijger,varken,vleermuis,vos,wolf,zebra
aap,20.0,11.0,9.0,9.0,11.0,7.0,8.0,8.0,10.0,5.0,11.0,11.0,12.0,8.0,11.0,8.0,12.0,9.0,9.0,9.0,9.0,11.0,8.0,4.0,14.0,11.0,11.0,8.0,8.0,11.0
bever,11.0,20.0,12.0,8.0,13.0,13.0,10.0,8.0,14.0,12.0,13.0,9.0,12.0,12.0,9.0,13.0,11.0,10.0,12.0,9.0,8.0,9.0,10.0,12.0,12.0,9.0,11.0,13.0,11.0,10.0
bizon,9.0,12.0,20.0,12.0,7.0,9.0,12.0,12.0,7.0,12.0,11.0,12.0,13.0,9.0,17.0,11.0,15.0,13.0,5.0,14.0,11.0,12.0,12.0,11.0,9.0,11.0,6.0,10.0,11.0,12.0
dromedaris,9.0,8.0,12.0,20.0,4.0,9.0,15.0,11.0,9.0,12.0,8.0,9.0,13.0,10.0,13.0,9.0,17.0,11.0,8.0,12.0,12.0,11.0,14.0,11.0,8.0,11.0,8.0,8.0,9.0,12.0
eekhoorn,11.0,13.0,7.0,4.0,20.0,14.0,11.0,6.0,16.0,12.0,13.0,9.0,11.0,13.0,9.0,13.0,13.0,8.0,14.0,4.0,9.0,5.0,7.0,10.0,7.0,12.0,15.0,12.0,11.0,7.0
egel,7.0,13.0,9.0,9.0,14.0,20.0,9.0,9.0,13.0,12.0,13.0,9.0,9.0,12.0,9.0,13.0,10.0,8.0,14.0,9.0,5.0,8.0,10.0,11.0,4.0,15.0,10.0,11.0,8.0,8.0
ezel,8.0,10.0,12.0,15.0,11.0,9.0,20.0,13.0,9.0,12.0,11.0,11.0,11.0,11.0,17.0,9.0,15.0,9.0,12.0,10.0,12.0,8.0,18.0,13.0,8.0,14.0,12.0,11.0,11.0,17.0
giraf,8.0,8.0,12.0,11.0,6.0,9.0,13.0,20.0,7.0,13.0,13.0,10.0,12.0,7.0,12.0,8.0,12.0,12.0,7.0,10.0,10.0,11.0,13.0,8.0,12.0,11.0,13.0,9.0,7.0,14.0
hamster,10.0,14.0,7.0,9.0,16.0,13.0,9.0,7.0,20.0,9.0,10.0,9.0,13.0,12.0,11.0,14.0,10.0,10.0,18.0,7.0,6.0,11.0,6.0,11.0,6.0,12.0,14.0,11.0,10.0,9.0
hert,5.0,12.0,12.0,12.0,12.0,12.0,12.0,13.0,9.0,20.0,12.0,8.0,8.0,11.0,12.0,11.0,12.0,10.0,9.0,10.0,9.0,12.0,13.0,12.0,7.0,11.0,11.0,13.0,13.0,14.0
hond,11.0,13.0,11.0,8.0,13.0,13.0,11.0,13.0,10.0,12.0,20.0,12.0,13.0,14.0,12.0,13.0,11.0,13.0,12.0,9.0,13.0,9.0,13.0,13.0,11.0,12.0,15.0,15.0,13.0,11.0
ijsbeer,11.0,9.0,12.0,9.0,9.0,9.0,11.0,10.0,9.0,8.0,12.0,20.0,9.0,13.0,10.0,11.0,11.0,12.0,9.0,12.0,13.0,10.0,10.0,10.0,12.0,8.0,11.0,11.0,1.0,11.0
kangoeroe,12.0,12.0,13.0,13.0,11.0,9.0,11.0,12.0,13.0,8.0,13.0,9.0,20.0,10.0,11.0,13.0,11.0,10.0,10.0,11.0,4.0,11.0,10.0,9.0,9.0,4.0,8.0,11.0,8.0,11.0
kat,8.0,12.0,9.0,10.0,13.0,12.0,11.0,7.0,12.0,11.0,14.0,13.0,10.0,20.0,8.0,12.0,10.0,18.0,10.0,10.0,8.0,6.0,11.0,13.0,16.0,11.0,12.0,16.0,13.0,11.0
koe,11.0,9.0,17.0,13.0,9.0,9.0,17.0,12.0,11.0,12.0,12.0,10.0,11.0,8.0,20.0,9.0,13.0,11.0,11.0,12.0,13.0,11.0,14.0,11.0,9.0,12.0,11.0,13.0,11.0,13.0
konijn,8.0,13.0,11.0,9.0,13.0,13.0,9.0,8.0,14.0,11.0,13.0,11.0,13.0,12.0,9.0,20.0,11.0,8.0,11.0,7.0,8.0,10.0,12.0,12.0,12.0,11.0,13.0,14.0,12.0,9.0
lama,12.0,11.0,15.0,17.0,13.0,10.0,15.0,12.0,10.0,12.0,11.0,11.0,11.0,10.0,13.0,11.0,20.0,11.0,10.0,9.0,13.0,10.0,16.0,14.0,11.0,11.0,9.0,11.0,10.0,13.0
leeuw,9.0,10.0,13.0,11.0,8.0,8.0,9.0,12.0,10.0,10.0,13.0,12.0,10.0,18.0,11.0,8.0,11.0,20.0,6.0,10.0,10.0,11.0,10.0,10.0,14.0,13.0,7.0,12.0,16.0,11.0
