exemplar,aap,bever,bizon,dromedaris,eekhoorn,egel,ezel,giraf,hamster,hert,hond,ijsbeer,kangoeroe,kat,koe,konijn,lama,leeuw,muis,neushoorn,nijlpaard,olifant,paard,schaap,tijger,varken,vleermuis,vos,wolf,zebra
aap,20.0,14.0,9.0,12.0,9.0,8.0,14.0,4.0,4.0,7.0,15.0,9.0,4.0,8.0,7.0,9.0,11.0,10.0,4.0,6.0,11.0,10.0,9.0,9.0,6.0,5.0,12.0,12.0,8.0,8.0
bever,14.0,20.0,7.0,19.0,13.0,12.0,11.0,6.0,17.0,8.0,6.0,11.0,8.0,17.0,8.0,11.0,13.0,4.0,12.0,8.0,8.0,9.0,10.0,10.0,4.0,8.0,5.0,14.0,8.0,14.0
bizon,9.0,7.0,20.0,12.0,5.0,3.0,14.0,14.0,8.0,15.0,9.0,13.0,9.0,5.0,16.0,5.0,14.0,15.0,3.0,14.0,12.0,14.0,13.0,9.0,8.0,7.0,15.0,8.0,11.0,14.0
dromedaris,12.0,19.0,12.0,20.0,3.0,9.0,12.0,12.0,4.0,9.0,9.0,12.0,11.0,9.0,10.0,4.0,16.0,15.0,3.0,16.0,15.0,11.0,10.0,7.0,8.0,13.0,5.0,8.0,9.0,11.0
eekhoorn,9.0,13.0,5.0,3.0,20.0,12.0,4.0,5.0,14.0,4.0,6.0,4.0,7.0,9.0,8.0,11.0,7.0,4.0,15.0,1.0,5.0,5.0,7.0,5.0,8.0,10.0,12.0,8.0,11.0,9.0
egel,8.0,12.0,3.0,9.0,12.0,20.0,6.0,5.0,8.0,4.0,4.0,5.0,6.0,10.0,6.0,12.0,8.0,13.0,8.0,6.0,9.0,5.0,8.0,5.0,4.0,8.0,3.0,8.0,3.0,10.0
ezel,14.0,11.0,14.0,12.0,4.0,6.0,20.0,11.0,3.0,13.0,15.0,7.0,7.0,6.0,15.0,9.0,12.0,11.0,11.0,11.0,8.0,12.0,14.0,13.0,11.0,15.0,5.0,9.0,9.0,12.0
giraf,4.0,6.0,14.0,12.0,5.0,5.0,11.0,20.0,3.0,4.0,5.0,12.0,8.0,7.0,8.0,5.0,15.0,12.0,5.0,8.0,10.0,12.0,4.0,11.0,14.0,7.0,5.0,10.0,8.0,10.0
hamster,4.0,17.0,8.0,4.0,14.0,8.0,3.0,3.0,20.0,10.0,7.0,4.0,3.0,9.0,7.0,16.0,8.0,2.0,18.0,5.0,5.0,4.0,5.0,9.0,3.0,5.0,3.0,3.0,2.0,5.0
hert,7.0,8.0,15.0,9.0,4.0,4.0,13.0,4.0,10.0,20.0,11.0,6.0,12.0,7.0,14.0,8.0,16.0,12.0,3.0,9.0,11.0,12.0,12.0,12.0,9.0,15.0,8.0,10.0,6.0,12.0
