exemplar,generation frequency,mean rank position
(hot air) balloon,3,6.333333333
airplane,69,4.927536232
bicycle,103,3.194174757
boat,53,5.905660377
bus,94,4.095744681
car,119,1.369747899
carriage,7,5.285714286
cart,13,5.307692308
go-cart,4,6.5
helicopter,15,7.0
hovercraft,1,6.0
jeep,6,7.5
kick scooter,33,6.75
motorbike (moto),26,5.192307692
rocket,4,5.0
scooter (bromfiets),16,5.3125
scooter (brommer),38,4.184210526
skateboard,5,5.6
sled,2,5.0
submarine,1,4.0
subway train,18,6.888888889
taxi,9,4.777777778
tractor,3,6.666666667
trailer,4,5.25
train,90,4.633333333
tram,64,5.953125
truck (camion),12,6.083333333
truck (vrachtwagen),37,5.216216216
van,7,5.5
zeppelin,2,8.0
