exemplar,generation frequency,mean rank position
bat,3,8.666666667
beaver,1,10.0
bison,1,6.0
cat,103,4.378640777
cow,66,4.606060606
deer,12,7.0
dog,107,3.775700935
donkey,20,6.95
dromedary,1,8.0
elephant,43,4.23255814
fox,3,5.666666667
giraffe,30,6.733333333
hamster,4,8.25
hedgehog,2,7.5
hippopotamus,6,6.0
horse,86,4.581395349
kangaroo,9,6.555555556
lion,36,5.777777778
llama,1,11.0
monkey,42,3.547619048
mouse,32,6.375
pig,35,6.314285714
polar bear,4,6.0
rabbit,20,5.7
rhinoceros,9,7.888888889
sheep,21,6.285714286
squirrel,2,7.0
tiger,19,6.684210526
wolf,5,6.0
zebra,6,7.833333333
