exemplar,ansjovis,dolfijn,forel,goudvis,haai,haring,inktvis,kabeljauw,karper,orka,paling,piranha,pladijs,platvis,potvis,rog,sardine,snoek,stekelbaars,tong,walvis,zalm,zwaardvis
ansjovis,20.0,6.0,10.0,13.0,6.0,12.0,9.0,9.0,14.0,6.0,9.0,13.0,7.0,7.0,10.0,9.0,15.0,8.0,13.0,10.0,6.0,9.0,11.0
dolfijn,6.0,20.0,8.0,7.0,14.0,8.0,9.0,13.0,10.0,14.0,12.0,9.0,8.0,8.0,10.0,9.0,13.0,9.0,7.0,6.0,16.0,8.0,12.0
forel,10.0,8.0,20.0,9.0,8.0,14.0,10.0,12.0,13.0,5.0,11.0,9.0,12.0,12.0,12.0,12.0,9.0,12.0,8.0,13.0,6.0,14.0,7.0
goudvis,13.0,7.0,9.0,20.0,8.0,9.0,11.0,11.0,8.0,5.0,11.0,12.0,11.0,8.0,7.0,10.0,12.0,8.0,12.0,9.0,4.0,9.0,5.0
haai,6.0,14.0,8.0,8.0,20.0,9.0,8.0,9.0,10.0,13.0,7.0,7.0,7.0,7.0,9.0,7.0,6.0,8.0,12.0,8.0,12.0,10.0,13.0
haring,12.0,8.0,14.0,9.0,9.0,20.0,12.0,11.0,11.0,7.0,12.0,9.0,12.0,9.0,11.0,10.0,14.0,8.0,12.0,13.0,7.0,11.0,6.0
inktvis,9.0,9.0,10.0,11.0,8.0,12.0,20.0,10.0,9.0,9.0,8.0,7.0,12.0,11.0,11.0,12.0,11.0,10.0,9.0,10.0,6.0,11.0,9.0
kabeljauw,9.0,13.0,12.0,11.0,9.0,11.0,10.0,20.0,16.0,4.0,9.0,7.0,12.0,11.0,11.0,14.0,9.0,11.0,7.0,9.0,5.0,14.0,9.0
karper,14.0,10.0,13.0,8.0,10.0,11.0,9.0,16.0,20.0,9.0,9.0,12.0,10.0,12.0,11.0,,7.0,17.0,12.0,6.0,7.0,9.0,9.0
orka,6.0,14.0,5.0,5.0,13.0,7.0,9.0,4.0,9.0,20.0,7.0,6.0,9.0,9.0,15.0,10.0,5.0,9.0,8.0,6.0,18.0,7.0,13.0
paling,9.0,12.0,11.0,11.0,7.0,12.0,8.0,9.0,9.0,7.0,20.0,10.0,10.0,11.0,11.0,12.0,11.0,10.0,8.0,11.0,4.0,11.0,6.0
piranha,13.0,9.0,9.0,12.0,7.0,9.0,7.0,7.0,12.0,6.0,10.0,20.0,9.0,10.0,9.0,12.0,11.0,8.0,14.0,11.0,7.0,8.0,7.0
pladijs,7.0,8.0,12.0,11.0,7.0,12.0,12.0,12.0,10.0,9.0,10.0,9.0,20.0,14.0,13.0,15.0,11.0,9.0,11.0,13.0,7.0,10.0,7.0
platvis,7.0,8.0,12.0,8.0,7.0,9.0,11.0,11.0,12.0,9.0,11.0,10.0,14.0,20.0,11.0,16.0,14.0,10.0,10.0,12.0,9.0,9.0,9.0
potvis,10.0,10.0,12.0,7.0,9.0,11.0,11.0,11.0,11.0,15.0,11.0,9.0,13.0,11.0,20.0,,7.0,12.0,12.0,8.0,6.0,10.0,8.0
rog,9.0,9.0,12.0,10.0,7.0,10.0,12.0,14.0,,10.0,12.0,12.0,15.0,16.0,,20.0,11.0,13.0,11.0,12.0,6.0,10.0,7.0
sardine,15.0,13.0,9.0,12.0,6.0,14.0,11.0,9.0,7.0,5.0,11.0,11.0,11.0,14.0,7.0,11.0,20.0,7.0,12.0,12.0,7.0,9.0,7.0
snoek,8.0,9.0,12.0,8.0,8.0,8.0,10.0,11.0,17.0,9.0,10.0,8.0,9.0,10.0,12.0,13.0,7.0,20.0,15.0,10.0,8.0,12.0,12.0
stekelbaars,13.0,7.0,8.0,12.0,12.0,12.0,9.0,7.0,12.0,8.0,8.0,14.0,11.0,10.0,12.0,11.0,12.0,15.0,20.0,11.0,6.0,12.0,8.0
tong,10.0,6.0,13.0,9.0,8.0,13.0,10.0,9.0,6.0,6.0,11.0,11.0,13.0,12.0,8.0,12.0,12.0,10.0,11.0,20.0,6.0,9.0,10.0
walvis,6.0,16.0,6.0,4.0,12.0,7.0,6.0,5.0,7.0,18.0,4.0,7.0,7.0,9.0,6.0,6.0,7.0,8.0,6.0,6.0,20.0,6.0,14.0
zalm,9.0,8.0,14.0,9.0,10.0,11.0,11.0,14.0,9.0,7.0,11.0,8.0,10.0,9.0,10.0,10.0,9.0,12.0,12.0,9.0,6.0,20.0,7.0
zwaardvis,11.0,12.0,7.0,5.0,13.0,6.0,9.0,9.0,9.0,13.0,6.0,7.0,7.0,9.0,8.0,7.0,7.0,12.0,8.0,10.0,14.0,7.0,20.0
