exemplar,ansjovis,dolfijn,forel,goudvis,haai,haring,inktvis,kabeljauw,karper,orka,paling,piranha,pladijs,platvis,potvis,rog,sardine,snoek,stekelbaars,tong,walvis,zalm,zwaardvis
ansjovis,20.0,8.0,11.0,10.0,8.0,9.0,4.0,9.0,12.0,7.0,9.0,8.0,9.0,10.0,5.0,7.0,17.0,8.0,11.0,7.0,11.0,10.0,9.0
dolfijn,8.0,20.0,10.0,7.0,11.0,9.0,4.0,9.0,7.0,15.0,3.0,9.0,7.0,8.0,12.0,8.0,7.0,9.0,7.0,6.0,11.0,11.0,10.0
forel,11.0,10.0,20.0,11.0,5.0,13.0,5.0,14.0,12.0,9.0,9.0,8.0,8.0,8.0,9.0,10.0,12.0,10.0,11.0,7.0,10.0,14.0,8.0
goudvis,10.0,7.0,11.0,20.0,6.0,10.0,4.0,11.0,10.0,9.0,7.0,7.0,10.0,9.0,9.0,8.0,12.0,10.0,9.0,5.0,9.0,8.0,7.0
haai,8.0,11.0,5.0,6.0,20.0,8.0,4.0,8.0,1.0,13.0,6.0,11.0,7.0,7.0,11.0,6.0,10.0,11.0,8.0,5.0,10.0,10.0,11.0
haring,9.0,9.0,13.0,10.0,8.0,20.0,6.0,16.0,15.0,10.0,7.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,10.0,7.0,10.0,8.0
inktvis,4.0,4.0,5.0,4.0,4.0,6.0,20.0,4.0,4.0,6.0,8.0,6.0,7.0,6.0,4.0,6.0,7.0,7.0,6.0,6.0,4.0,4.0,4.0
kabeljauw,9.0,9.0,14.0,11.0,8.0,16.0,4.0,20.0,13.0,10.0,7.0,14.0,10.0,12.0,10.0,10.0,13.0,11.0,11.0,11.0,9.0,16.0,6.0
karper,12.0,7.0,12.0,10.0,1.0,15.0,4.0,13.0,20.0,7.0,8.0,10.0,8.0,10.0,10.0,8.0,11.0,13.0,10.0,7.0,7.0,14.0,12.0
orka,7.0,15.0,9.0,9.0,13.0,10.0,6.0,10.0,7.0,20.0,9.0,13.0,7.0,6.0,16.0,6.0,6.0,10.0,9.0,8.0,14.0,8.0,7.0
paling,9.0,3.0,9.0,7.0,6.0,7.0,8.0,7.0,8.0,9.0,20.0,8.0,8.0,9.0,6.0,5.0,8.0,8.0,7.0,7.0,6.0,6.0,7.0
piranha,8.0,9.0,8.0,7.0,11.0,10.0,6.0,14.0,10.0,13.0,8.0,20.0,7.0,7.0,10.0,11.0,8.0,12.0,9.0,7.0,6.0,7.0,10.0
pladijs,9.0,7.0,8.0,10.0,7.0,10.0,7.0,10.0,8.0,7.0,8.0,7.0,20.0,12.0,8.0,15.0,8.0,8.0,8.0,15.0,9.0,11.0,7.0
platvis,10.0,8.0,8.0,9.0,7.0,10.0,6.0,12.0,10.0,6.0,9.0,7.0,12.0,20.0,7.0,7.0,10.0,8.0,10.0,14.0,7.0,9.0,9.0
potvis,5.0,12.0,9.0,9.0,11.0,10.0,4.0,10.0,10.0,16.0,6.0,10.0,8.0,7.0,20.0,7.0,8.0,8.0,8.0,7.0,16.0,9.0,10.0
rog,7.0,8.0,10.0,8.0,6.0,10.0,6.0,10.0,8.0,6.0,5.0,11.0,15.0,7.0,7.0,20.0,9.0,7.0,8.0,16.0,11.0,7.0,9.0
sardine,17.0,7.0,12.0,12.0,10.0,10.0,7.0,13.0,11.0,6.0,8.0,8.0,8.0,10.0,8.0,9.0,20.0,12.0,10.0,7.0,8.0,11.0,7.0
snoek,8.0,9.0,10.0,10.0,11.0,10.0,7.0,11.0,13.0,10.0,8.0,12.0,8.0,8.0,8.0,7.0,12.0,20.0,8.0,8.0,8.0,9.0,9.0
stekelbaars,11.0,7.0,11.0,9.0,8.0,11.0,6.0,11.0,10.0,9.0,7.0,9.0,8.0,10.0,8.0,8.0,10.0,8.0,20.0,7.0,9.0,13.0,10.0
tong,7.0,6.0,7.0,5.0,5.0,10.0,6.0,11.0,7.0,8.0,7.0,7.0,15.0,14.0,7.0,16.0,7.0,8.0,7.0,20.0,8.0,9.0,9.0
walvis,11.0,11.0,10.0,9.0,10.0,7.0,4.0,9.0,7.0,14.0,6.0,6.0,9.0,7.0,16.0,11.0,8.0,8.0,9.0,8.0,20.0,10.0,11.0
zalm,10.0,11.0,14.0,8.0,10.0,10.0,4.0,16.0,14.0,8.0,6.0,7.0,11.0,9.0,9.0,7.0,11.0,9.0,13.0,9.0,10.0,20.0,9.0
zwaardvis,9.0,10.0,8.0,7.0,11.0,8.0,4.0,6.0,12.0,7.0,7.0,10.0,7.0,9.0,10.0,9.0,7.0,9.0,10.0,9.0,11.0,9.0,20.0
