exemplar,ansjovis,dolfijn,forel,goudvis,haai,haring,inktvis,kabeljauw,karper,orka,paling,piranha,pladijs,platvis,potvis,rog,sardine,snoek,stekelbaars,tong,walvis,zalm,zwaardvis
ansjovis,20.0,9.0,9.0,10.0,6.0,9.0,5.0,8.0,4.0,9.0,9.0,6.0,8.0,8.0,6.0,14.0,16.0,5.0,6.0,4.0,5.0,10.0,6.0
dolfijn,9.0,20.0,12.0,11.0,8.0,6.0,5.0,5.0,6.0,14.0,5.0,5.0,6.0,6.0,8.0,3.0,8.0,6.0,5.0,9.0,10.0,6.0,4.0
forel,9.0,12.0,20.0,4.0,9.0,12.0,5.0,9.0,14.0,5.0,12.0,10.0,11.0,16.0,8.0,5.0,4.0,6.0,6.0,11.0,8.0,8.0,7.0
goudvis,10.0,11.0,4.0,20.0,6.0,10.0,4.0,11.0,10.0,5.0,4.0,7.0,5.0,8.0,5.0,4.0,9.0,8.0,9.0,10.0,5.0,8.0,5.0
haai,6.0,8.0,9.0,6.0,20.0,11.0,4.0,4.0,5.0,14.0,4.0,14.0,5.0,11.0,10.0,7.0,5.0,5.0,7.0,6.0,16.0,9.0,8.0
haring,9.0,6.0,12.0,10.0,11.0,20.0,4.0,8.0,9.0,6.0,5.0,7.0,6.0,7.0,9.0,8.0,9.0,9.0,6.0,10.0,5.0,10.0,5.0
inktvis,5.0,5.0,5.0,4.0,4.0,4.0,20.0,7.0,8.0,10.0,6.0,6.0,5.0,6.0,7.0,7.0,11.0,5.0,6.0,5.0,6.0,6.0,5.0
kabeljauw,8.0,5.0,9.0,11.0,4.0,8.0,7.0,20.0,8.0,5.0,7.0,5.0,8.0,12.0,5.0,8.0,6.0,9.0,5.0,8.0,5.0,6.0,6.0
karper,4.0,6.0,14.0,10.0,5.0,9.0,8.0,8.0,20.0,6.0,14.0,9.0,6.0,14.0,6.0,8.0,5.0,11.0,12.0,8.0,8.0,9.0,7.0
orka,9.0,14.0,5.0,5.0,14.0,6.0,10.0,5.0,6.0,20.0,6.0,5.0,7.0,4.0,14.0,7.0,4.0,6.0,6.0,7.0,14.0,7.0,10.0
paling,9.0,5.0,12.0,4.0,4.0,5.0,6.0,7.0,14.0,6.0,20.0,6.0,12.0,12.0,5.0,5.0,5.0,9.0,6.0,12.0,6.0,4.0,7.0
piranha,6.0,5.0,10.0,7.0,14.0,7.0,6.0,5.0,9.0,5.0,6.0,20.0,4.0,8.0,11.0,8.0,8.0,6.0,5.0,7.0,9.0,5.0,9.0
pladijs,8.0,6.0,11.0,5.0,5.0,6.0,5.0,8.0,6.0,7.0,12.0,4.0,20.0,15.0,5.0,9.0,3.0,11.0,11.0,14.0,7.0,12.0,5.0
platvis,8.0,6.0,16.0,8.0,11.0,7.0,6.0,12.0,14.0,4.0,12.0,8.0,15.0,20.0,6.0,4.0,9.0,9.0,6.0,16.0,9.0,12.0,5.0
potvis,6.0,8.0,8.0,5.0,10.0,9.0,7.0,5.0,6.0,14.0,5.0,11.0,5.0,6.0,20.0,12.0,5.0,9.0,4.0,4.0,17.0,7.0,7.0
rog,14.0,3.0,5.0,4.0,7.0,8.0,7.0,8.0,8.0,7.0,5.0,8.0,9.0,4.0,12.0,20.0,3.0,5.0,9.0,5.0,6.0,8.0,4.0
sardine,16.0,8.0,4.0,9.0,5.0,9.0,11.0,6.0,5.0,4.0,5.0,8.0,3.0,9.0,5.0,3.0,20.0,10.0,5.0,6.0,8.0,7.0,9.0
snoek,5.0,6.0,6.0,8.0,5.0,9.0,5.0,9.0,11.0,6.0,9.0,6.0,11.0,9.0,9.0,5.0,10.0,20.0,13.0,8.0,10.0,6.0,5.0
stekelbaars,6.0,5.0,6.0,9.0,7.0,6.0,6.0,5.0,12.0,6.0,6.0,5.0,11.0,6.0,4.0,9.0,5.0,13.0,20.0,7.0,7.0,6.0,6.0
tong,4.0,9.0,11.0,10.0,6.0,10.0,5.0,8.0,8.0,7.0,12.0,7.0,14.0,16.0,4.0,5.0,6.0,8.0,7.0,20.0,8.0,4.0,7.0
walvis,5.0,10.0,8.0,5.0,16.0,5.0,6.0,5.0,8.0,14.0,6.0,9.0,7.0,9.0,17.0,6.0,8.0,10.0,7.0,8.0,20.0,9.0,8.0
zalm,10.0,6.0,8.0,8.0,9.0,10.0,6.0,6.0,9.0,7.0,4.0,5.0,12.0,12.0,7.0,8.0,7.0,6.0,6.0,4.0,9.0,20.0,8.0
zwaardvis,6.0,4.0,7.0,5.0,8.0,5.0,5.0,6.0,7.0,10.0,7.0,9.0,5.0,5.0,7.0,4.0,9.0,5.0,6.0,7.0,8.0,8.0,20.0
