exemplar,ansjovis,dolfijn,forel,goudvis,haai,haring,inktvis,kabeljauw,karper,orka,paling,piranha,pladijs,platvis,potvis,rog,sardine,snoek,stekelbaars,tong,walvis,zalm,zwaardvis
ansjovis,20.0,10.0,14.0,10.0,12.0,14.0,7.0,14.0,13.0,9.0,14.0,11.0,13.0,13.0,11.0,12.0,18.0,13.0,13.0,12.0,9.0,12.0,10.0
dolfijn,10.0,20.0,13.0,8.0,14.0,11.0,13.0,13.0,11.0,15.0,10.0,10.0,11.0,12.0,13.0,11.0,11.0,11.0,8.0,13.0,14.0,12.0,11.0
forel,14.0,13.0,20.0,11.0,13.0,16.0,8.0,15.0,14.0,12.0,16.0,12.0,12.0,13.0,10.0,14.0,13.0,16.0,14.0,15.0,11.0,17.0,12.0
goudvis,10.0,8.0,11.0,20.0,10.0,12.0,8.0,13.0,12.0,11.0,11.0,8.0,12.0,11.0,9.0,9.0,13.0,11.0,16.0,11.0,9.0,11.0,10.0
haai,12.0,14.0,13.0,10.0,20.0,9.0,10.0,13.0,13.0,15.0,12.0,14.0,11.0,10.0,12.0,12.0,11.0,13.0,10.0,12.0,12.0,12.0,12.0
haring,14.0,11.0,16.0,12.0,9.0,20.0,8.0,14.0,16.0,11.0,13.0,11.0,11.0,15.0,11.0,14.0,16.0,14.0,13.0,14.0,12.0,15.0,13.0
inktvis,7.0,13.0,8.0,8.0,10.0,8.0,20.0,11.0,10.0,10.0,11.0,9.0,11.0,9.0,12.0,11.0,10.0,11.0,11.0,10.0,13.0,10.0,10.0
kabeljauw,14.0,13.0,15.0,13.0,13.0,14.0,11.0,20.0,14.0,11.0,12.0,11.0,13.0,13.0,10.0,16.0,13.0,15.0,12.0,12.0,11.0,12.0,11.0
karper,13.0,11.0,14.0,12.0,13.0,16.0,10.0,14.0,20.0,12.0,12.0,13.0,13.0,13.0,11.0,13.0,16.0,18.0,13.0,14.0,11.0,15.0,9.0
orka,9.0,15.0,12.0,11.0,15.0,11.0,10.0,11.0,12.0,20.0,11.0,13.0,12.0,11.0,14.0,11.0,11.0,12.0,11.0,10.0,17.0,11.0,16.0
paling,14.0,10.0,16.0,11.0,12.0,13.0,11.0,12.0,12.0,11.0,20.0,11.0,13.0,13.0,10.0,13.0,12.0,12.0,11.0,12.0,9.0,14.0,10.0
piranha,11.0,10.0,12.0,8.0,14.0,11.0,9.0,11.0,13.0,13.0,11.0,20.0,9.0,12.0,7.0,11.0,12.0,15.0,13.0,11.0,10.0,15.0,12.0
pladijs,13.0,11.0,12.0,12.0,11.0,11.0,11.0,13.0,13.0,12.0,13.0,9.0,20.0,20.0,12.0,11.0,14.0,12.0,12.0,14.0,12.0,13.0,9.0
platvis,13.0,12.0,13.0,11.0,10.0,15.0,9.0,13.0,13.0,11.0,13.0,12.0,20.0,20.0,9.0,12.0,11.0,11.0,12.0,15.0,12.0,13.0,13.0
potvis,11.0,13.0,10.0,9.0,12.0,11.0,12.0,10.0,11.0,14.0,10.0,7.0,12.0,9.0,20.0,10.0,10.0,11.0,11.0,12.0,17.0,11.0,14.0
rog,12.0,11.0,14.0,9.0,12.0,14.0,11.0,16.0,13.0,11.0,13.0,11.0,11.0,12.0,10.0,20.0,10.0,14.0,14.0,15.0,11.0,17.0,14.0
sardine,18.0,11.0,13.0,13.0,11.0,16.0,10.0,13.0,16.0,11.0,12.0,12.0,14.0,11.0,10.0,10.0,20.0,13.0,14.0,15.0,9.0,13.0,11.0
snoek,13.0,11.0,16.0,11.0,13.0,14.0,11.0,15.0,18.0,12.0,12.0,15.0,12.0,11.0,11.0,14.0,13.0,20.0,16.0,13.0,13.0,12.0,11.0
stekelbaars,13.0,8.0,14.0,16.0,10.0,13.0,11.0,12.0,13.0,11.0,11.0,13.0,12.0,12.0,11.0,14.0,14.0,16.0,20.0,13.0,10.0,11.0,11.0
tong,12.0,13.0,15.0,11.0,12.0,14.0,10.0,12.0,14.0,10.0,12.0,11.0,14.0,15.0,12.0,15.0,15.0,13.0,13.0,20.0,11.0,14.0,11.0
walvis,9.0,14.0,11.0,9.0,12.0,12.0,13.0,11.0,11.0,17.0,9.0,10.0,12.0,12.0,17.0,11.0,9.0,13.0,10.0,11.0,20.0,12.0,18.0
zalm,12.0,12.0,17.0,11.0,12.0,15.0,10.0,12.0,15.0,11.0,14.0,15.0,13.0,13.0,11.0,17.0,13.0,12.0,11.0,14.0,12.0,20.0,10.0
zwaardvis,10.0,11.0,12.0,10.0,12.0,13.0,10.0,11.0,9.0,16.0,10.0,12.0,9.0,13.0,14.0,14.0,11.0,11.0,11.0,11.0,18.0,10.0,20.0
