exemplar,ansjovis,dolfijn,forel,goudvis,haai,haring,inktvis,kabeljauw,karper,orka,paling,piranha,pladijs,platvis,potvis,rog,sardine,snoek,stekelbaars,tong,walvis,zalm,zwaardvis
ansjovis,20.0,,,,,,,,,,,,,1.0,,,,,,,,,
dolfijn,,20.0,,4.0,10.0,4.0,3.0,4.0,3.0,12.0,,4.0,,,10.0,,,5.0,,,14.0,4.0,4.0
forel,,,20.0,,,,,,,,,,,,,,,,,,,,
goudvis,,4.0,,20.0,4.0,5.0,3.0,,,5.0,,10.0,,,4.0,,,5.0,,,4.0,4.0,6.0
haai,,10.0,,4.0,20.0,3.0,4.0,,4.0,12.0,,6.0,,,,,,5.0,,,6.0,4.0,4.0
haring,,4.0,,5.0,3.0,20.0,3.0,17.0,15.0,4.0,,13.0,,,4.0,,,5.0,,,3.0,,6.0
inktvis,,3.0,,3.0,4.0,3.0,20.0,4.0,3.0,3.0,,3.0,,,3.0,,,3.0,,,4.0,5.0,3.0
kabeljauw,,4.0,,,,17.0,4.0,20.0,15.0,4.0,,6.0,,,5.0,,,12.0,,,5.0,15.0,3.0
karper,,3.0,,,4.0,15.0,3.0,15.0,20.0,4.0,,5.0,,,4.0,,,6.0,,,5.0,10.0,6.0
orka,,12.0,,5.0,12.0,4.0,3.0,4.0,4.0,20.0,,3.0,,,8.0,,,4.0,,,13.0,4.0,5.0
paling,,,,,,,,,,,20.0,,,,,,,,,,,,
piranha,,4.0,,10.0,6.0,13.0,3.0,6.0,5.0,3.0,,20.0,,,4.0,,,5.0,,,4.0,5.0,4.0
pladijs,,,,,,,,,,,,,20.0,,,,,,,,,,
platvis,1.0,,,,,,,,,,,,,20.0,,,,,,,,,
potvis,,10.0,,4.0,,4.0,3.0,5.0,4.0,8.0,,4.0,,,20.0,,,4.0,,,19.0,5.0,6.0
rog,,,,,,,,,,,,,,,,20.0,,,,,,,
sardine,,,,,,,,,,,,,,,,,20.0,,,,,,
snoek,,5.0,,5.0,5.0,5.0,3.0,12.0,6.0,4.0,,5.0,,,4.0,,,20.0,,,4.0,7.0,13.0
stekelbaars,,,,,,,,,,,,,,,,,,,20.0,,,,
tong,,,,,,,,,,,,,,,,,,,,20.0,,,
walvis,,14.0,,4.0,6.0,3.0,4.0,5.0,5.0,13.0,,4.0,,,19.0,,,4.0,,,20.0,4.0,6.0
zalm,,4.0,,4.0,4.0,,5.0,15.0,10.0,4.0,,5.0,,,5.0,,,7.0,,,4.0,20.0,4.0
zwaardvis,,4.0,,6.0,4.0,6.0,3.0,3.0,6.0,5.0,,4.0,,,6.0,,,13.0,,,6.0,4.0,20.0
