exemplar,ansjovis,dolfijn,forel,goudvis,haai,haring,inktvis,kabeljauw,karper,orka,paling,piranha,pladijs,platvis,potvis,rog,sardine,snoek,stekelbaars,tong,walvis,zalm,zwaardvis
ansjovis,20.0,3.0,15.0,2.0,8.0,16.0,5.0,15.0,9.0,3.0,17.0,,15.0,17.0,2.0,14.0,14.0,16.0,16.0,10.0,7.0,10.0,4.0
dolfijn,3.0,20.0,8.0,1.0,16.0,2.0,5.0,1.0,13.0,3.0,7.0,,8.0,1.0,3.0,4.0,1.0,3.0,1.0,1.0,10.0,1.0,5.0
forel,15.0,8.0,20.0,2.0,5.0,6.0,8.0,8.0,10.0,3.0,15.0,,15.0,12.0,5.0,15.0,6.0,5.0,12.0,17.0,13.0,10.0,4.0
goudvis,2.0,1.0,2.0,20.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0
haai,8.0,16.0,5.0,1.0,20.0,6.0,4.0,5.0,7.0,15.0,3.0,,3.0,3.0,15.0,1.0,2.0,14.0,9.0,2.0,15.0,3.0,12.0
haring,16.0,2.0,6.0,2.0,6.0,20.0,5.0,12.0,9.0,3.0,18.0,,7.0,10.0,2.0,13.0,12.0,14.0,12.0,14.0,4.0,13.0,6.0
inktvis,5.0,5.0,8.0,1.0,4.0,5.0,20.0,6.0,4.0,3.0,4.0,,15.0,4.0,10.0,5.0,12.0,15.0,4.0,8.0,5.0,3.0,6.0
kabeljauw,15.0,1.0,8.0,1.0,5.0,12.0,6.0,20.0,6.0,4.0,16.0,,15.0,5.0,2.0,12.0,15.0,15.0,12.0,12.0,5.0,15.0,13.0
karper,9.0,13.0,10.0,3.0,7.0,9.0,4.0,6.0,20.0,8.0,15.0,,11.0,6.0,8.0,,10.0,16.0,15.0,3.0,13.0,10.0,14.0
orka,3.0,3.0,3.0,1.0,15.0,3.0,3.0,4.0,8.0,20.0,3.0,,1.0,4.0,18.0,3.0,1.0,11.0,5.0,2.0,12.0,1.0,8.0
paling,17.0,7.0,15.0,1.0,3.0,18.0,4.0,16.0,15.0,3.0,20.0,,18.0,17.0,15.0,16.0,14.0,15.0,5.0,16.0,6.0,5.0,4.0
piranha,,,,,,,,,,,,20.0,,,,,,,,,,,
pladijs,15.0,8.0,15.0,2.0,3.0,7.0,15.0,15.0,11.0,1.0,18.0,,20.0,18.0,6.0,16.0,5.0,17.0,9.0,16.0,5.0,3.0,4.0
platvis,17.0,1.0,12.0,1.0,3.0,10.0,4.0,5.0,6.0,4.0,17.0,,18.0,20.0,3.0,15.0,14.0,6.0,13.0,15.0,1.0,3.0,9.0
potvis,2.0,3.0,5.0,2.0,15.0,2.0,10.0,2.0,8.0,18.0,15.0,,6.0,3.0,20.0,15.0,1.0,8.0,1.0,6.0,16.0,3.0,9.0
rog,14.0,4.0,15.0,2.0,1.0,13.0,5.0,12.0,,3.0,16.0,,16.0,15.0,15.0,20.0,4.0,3.0,6.0,15.0,2.0,9.0,6.0
sardine,14.0,1.0,6.0,1.0,2.0,12.0,12.0,15.0,10.0,1.0,14.0,,5.0,14.0,1.0,4.0,20.0,5.0,6.0,9.0,3.0,16.0,5.0
snoek,16.0,3.0,5.0,1.0,14.0,14.0,15.0,15.0,16.0,11.0,15.0,,17.0,6.0,8.0,3.0,5.0,20.0,16.0,14.0,6.0,5.0,8.0
stekelbaars,16.0,1.0,12.0,1.0,9.0,12.0,4.0,12.0,15.0,5.0,5.0,,9.0,13.0,1.0,6.0,6.0,16.0,20.0,5.0,4.0,2.0,10.0
tong,10.0,1.0,17.0,1.0,2.0,14.0,8.0,12.0,3.0,2.0,16.0,,16.0,15.0,6.0,15.0,9.0,14.0,5.0,20.0,3.0,5.0,14.0
walvis,7.0,10.0,13.0,4.0,15.0,4.0,5.0,5.0,13.0,12.0,6.0,,5.0,1.0,16.0,2.0,3.0,6.0,4.0,3.0,20.0,2.0,6.0
zalm,10.0,1.0,10.0,2.0,3.0,13.0,3.0,15.0,10.0,1.0,5.0,,3.0,3.0,3.0,9.0,16.0,5.0,2.0,5.0,2.0,20.0,3.0
zwaardvis,4.0,5.0,4.0,1.0,12.0,6.0,6.0,13.0,14.0,8.0,4.0,,4.0,9.0,9.0,6.0,5.0,8.0,10.0,14.0,6.0,3.0,20.0
