exemplar,ansjovis,dolfijn,forel,goudvis,haai,haring,inktvis,kabeljauw,karper,orka,paling,piranha,pladijs,platvis,potvis,rog,sardine,snoek,stekelbaars,tong,walvis,zalm,zwaardvis
ansjovis,20.0,6.0,13.0,12.0,3.0,5.0,3.0,10.0,15.0,4.0,6.0,6.0,10.0,9.0,3.0,10.0,15.0,9.0,4.0,14.0,6.0,9.0,2.0
dolfijn,6.0,20.0,6.0,6.0,15.0,6.0,2.0,5.0,9.0,18.0,10.0,3.0,6.0,10.0,16.0,7.0,3.0,12.0,10.0,6.0,15.0,10.0,9.0
forel,13.0,6.0,20.0,6.0,9.0,12.0,2.0,14.0,10.0,4.0,18.0,3.0,15.0,14.0,3.0,18.0,6.0,16.0,13.0,15.0,3.0,18.0,10.0
goudvis,12.0,6.0,6.0,20.0,3.0,7.0,2.0,10.0,14.0,4.0,6.0,10.0,6.0,8.0,2.0,4.0,12.0,15.0,15.0,6.0,10.0,3.0,2.0
haai,3.0,15.0,9.0,3.0,20.0,6.0,2.0,15.0,2.0,18.0,6.0,3.0,6.0,14.0,15.0,12.0,2.0,15.0,6.0,3.0,15.0,3.0,18.0
haring,5.0,6.0,12.0,7.0,6.0,20.0,2.0,15.0,15.0,6.0,16.0,2.0,15.0,16.0,4.0,15.0,9.0,10.0,10.0,15.0,6.0,18.0,15.0
inktvis,3.0,2.0,2.0,2.0,2.0,2.0,20.0,2.0,2.0,2.0,6.0,2.0,2.0,2.0,4.0,2.0,1.0,1.0,2.0,2.0,2.0,5.0,2.0
kabeljauw,10.0,5.0,14.0,10.0,15.0,15.0,2.0,20.0,15.0,8.0,15.0,3.0,15.0,15.0,6.0,6.0,15.0,10.0,15.0,6.0,10.0,18.0,6.0
karper,15.0,9.0,10.0,14.0,2.0,15.0,2.0,15.0,20.0,5.0,15.0,10.0,3.0,10.0,6.0,6.0,12.0,12.0,10.0,4.0,2.0,16.0,8.0
orka,4.0,18.0,4.0,4.0,18.0,6.0,2.0,8.0,5.0,20.0,4.0,2.0,2.0,3.0,18.0,2.0,6.0,7.0,3.0,3.0,18.0,6.0,15.0
paling,6.0,10.0,18.0,6.0,6.0,16.0,6.0,15.0,15.0,4.0,20.0,3.0,4.0,6.0,2.0,10.0,15.0,6.0,15.0,15.0,6.0,15.0,2.0
piranha,6.0,3.0,3.0,10.0,3.0,2.0,2.0,3.0,10.0,2.0,3.0,20.0,3.0,3.0,6.0,4.0,10.0,4.0,5.0,3.0,14.0,3.0,1.0
pladijs,10.0,6.0,15.0,6.0,6.0,15.0,2.0,15.0,3.0,2.0,4.0,3.0,20.0,14.0,3.0,6.0,12.0,12.0,3.0,6.0,3.0,16.0,6.0
platvis,9.0,10.0,14.0,8.0,14.0,16.0,2.0,15.0,10.0,3.0,6.0,3.0,14.0,20.0,9.0,10.0,9.0,6.0,13.0,15.0,6.0,10.0,14.0
potvis,3.0,16.0,3.0,2.0,15.0,4.0,4.0,6.0,6.0,18.0,2.0,6.0,3.0,9.0,20.0,7.0,3.0,6.0,13.0,5.0,18.0,6.0,12.0
rog,10.0,7.0,18.0,4.0,12.0,15.0,2.0,6.0,6.0,2.0,10.0,4.0,6.0,10.0,7.0,20.0,10.0,9.0,10.0,14.0,11.0,16.0,8.0
sardine,15.0,3.0,6.0,12.0,2.0,9.0,1.0,15.0,12.0,6.0,15.0,10.0,12.0,9.0,3.0,10.0,20.0,13.0,9.0,9.0,4.0,5.0,1.0
snoek,9.0,12.0,16.0,15.0,15.0,10.0,1.0,10.0,12.0,7.0,6.0,4.0,12.0,6.0,6.0,9.0,13.0,20.0,5.0,13.0,6.0,4.0,6.0
stekelbaars,4.0,10.0,13.0,15.0,6.0,10.0,2.0,15.0,10.0,3.0,15.0,5.0,3.0,13.0,13.0,10.0,9.0,5.0,20.0,10.0,4.0,12.0,10.0
tong,14.0,6.0,15.0,6.0,3.0,15.0,2.0,6.0,4.0,3.0,15.0,3.0,6.0,15.0,5.0,14.0,9.0,13.0,10.0,20.0,2.0,12.0,15.0
walvis,6.0,15.0,3.0,10.0,15.0,6.0,2.0,10.0,2.0,18.0,6.0,14.0,3.0,6.0,18.0,11.0,4.0,6.0,4.0,2.0,20.0,4.0,3.0
zalm,9.0,10.0,18.0,3.0,3.0,18.0,5.0,18.0,16.0,6.0,15.0,3.0,16.0,10.0,6.0,16.0,5.0,4.0,12.0,12.0,4.0,20.0,6.0
zwaardvis,2.0,9.0,10.0,2.0,18.0,15.0,2.0,6.0,8.0,15.0,2.0,1.0,6.0,14.0,12.0,8.0,1.0,6.0,10.0,15.0,3.0,6.0,20.0
