exemplar,ansjovis,dolfijn,forel,goudvis,haai,haring,inktvis,kabeljauw,karper,orka,paling,piranha,pladijs,platvis,potvis,rog,sardine,snoek,stekelbaars,tong,walvis,zalm,zwaardvis
ansjovis,20.0,10.0,14.0,12.0,12.0,16.0,5.0,12.0,10.0,12.0,14.0,10.0,12.0,16.0,14.0,12.0,9.0,6.0,12.0,10.0,16.0,12.0,10.0
dolfijn,10.0,20.0,10.0,15.0,10.0,9.0,13.0,10.0,14.0,9.0,15.0,4.0,1.0,10.0,16.0,12.0,5.0,15.0,14.0,11.0,15.0,12.0,9.0
forel,14.0,10.0,20.0,11.0,12.0,12.0,10.0,10.0,9.0,12.0,16.0,18.0,2.0,9.0,14.0,2.0,14.0,12.0,14.0,15.0,10.0,12.0,14.0
goudvis,12.0,15.0,11.0,20.0,18.0,12.0,16.0,12.0,10.0,14.0,10.0,10.0,15.0,12.0,10.0,12.0,16.0,15.0,14.0,10.0,5.0,15.0,12.0
haai,12.0,10.0,12.0,18.0,20.0,10.0,12.0,5.0,11.0,10.0,9.0,6.0,9.0,10.0,14.0,9.0,1.0,15.0,10.0,15.0,15.0,11.0,12.0
haring,16.0,9.0,12.0,12.0,10.0,20.0,18.0,10.0,1.0,14.0,15.0,9.0,10.0,14.0,10.0,14.0,18.0,10.0,9.0,14.0,14.0,14.0,8.0
inktvis,5.0,13.0,10.0,16.0,12.0,18.0,20.0,10.0,10.0,8.0,14.0,15.0,12.0,15.0,10.0,10.0,15.0,10.0,10.0,10.0,12.0,5.0,14.0
kabeljauw,12.0,10.0,10.0,12.0,5.0,10.0,10.0,20.0,12.0,15.0,12.0,10.0,10.0,16.0,12.0,10.0,1.0,10.0,10.0,16.0,10.0,18.0,15.0
karper,10.0,14.0,9.0,10.0,11.0,1.0,10.0,12.0,20.0,13.0,6.0,12.0,10.0,14.0,10.0,14.0,12.0,15.0,10.0,8.0,9.0,12.0,4.0
orka,12.0,9.0,12.0,14.0,10.0,14.0,8.0,15.0,13.0,20.0,10.0,14.0,15.0,14.0,14.0,10.0,10.0,14.0,16.0,12.0,12.0,14.0,15.0
paling,14.0,15.0,16.0,10.0,9.0,15.0,14.0,12.0,6.0,10.0,20.0,10.0,10.0,14.0,2.0,12.0,15.0,15.0,15.0,9.0,14.0,14.0,15.0
piranha,10.0,4.0,18.0,10.0,6.0,9.0,15.0,10.0,12.0,14.0,10.0,20.0,6.0,12.0,10.0,10.0,12.0,9.0,9.0,12.0,10.0,10.0,1.0
pladijs,12.0,1.0,2.0,15.0,9.0,10.0,12.0,10.0,10.0,15.0,10.0,6.0,20.0,15.0,10.0,10.0,15.0,15.0,9.0,15.0,12.0,5.0,14.0
platvis,16.0,10.0,9.0,12.0,10.0,14.0,15.0,16.0,14.0,14.0,14.0,12.0,15.0,20.0,2.0,10.0,4.0,14.0,6.0,10.0,12.0,4.0,10.0
potvis,14.0,16.0,14.0,10.0,14.0,10.0,10.0,12.0,10.0,14.0,2.0,10.0,10.0,2.0,20.0,10.0,12.0,10.0,15.0,15.0,11.0,6.0,12.0
rog,12.0,12.0,2.0,12.0,9.0,14.0,10.0,10.0,14.0,10.0,12.0,10.0,10.0,10.0,10.0,20.0,11.0,9.0,1.0,12.0,16.0,15.0,10.0
sardine,9.0,5.0,14.0,16.0,1.0,18.0,15.0,1.0,12.0,10.0,15.0,12.0,15.0,4.0,12.0,11.0,20.0,11.0,1.0,15.0,1.0,10.0,12.0
snoek,6.0,15.0,12.0,15.0,15.0,10.0,10.0,10.0,15.0,14.0,15.0,9.0,15.0,14.0,10.0,9.0,11.0,20.0,11.0,10.0,10.0,5.0,14.0
stekelbaars,12.0,14.0,14.0,14.0,10.0,9.0,10.0,10.0,10.0,16.0,15.0,9.0,9.0,6.0,15.0,1.0,1.0,11.0,20.0,1.0,14.0,1.0,12.0
tong,10.0,11.0,15.0,10.0,15.0,14.0,10.0,16.0,8.0,12.0,9.0,12.0,15.0,10.0,15.0,12.0,15.0,10.0,1.0,20.0,14.0,15.0,1.0
walvis,16.0,15.0,10.0,5.0,15.0,14.0,12.0,10.0,9.0,12.0,14.0,10.0,12.0,12.0,11.0,16.0,1.0,10.0,14.0,14.0,20.0,10.0,10.0
zalm,12.0,12.0,12.0,15.0,11.0,14.0,5.0,18.0,12.0,14.0,14.0,10.0,5.0,4.0,6.0,15.0,10.0,5.0,1.0,15.0,10.0,20.0,1.0
zwaardvis,10.0,9.0,14.0,12.0,12.0,8.0,14.0,15.0,4.0,15.0,15.0,1.0,14.0,10.0,12.0,10.0,12.0,14.0,12.0,1.0,10.0,1.0,20.0
