exemplar,ansjovis,dolfijn,forel,goudvis,haai,haring,inktvis,kabeljauw,karper,orka,paling,piranha,pladijs,platvis,potvis,rog,sardine,snoek,stekelbaars,tong,walvis,zalm,zwaardvis
ansjovis,20.0,8.0,12.0,13.0,15.0,8.0,5.0,11.0,13.0,9.0,7.0,13.0,14.0,13.0,11.0,9.0,20.0,11.0,13.0,15.0,6.0,16.0,14.0
dolfijn,8.0,20.0,13.0,14.0,14.0,8.0,10.0,13.0,13.0,12.0,11.0,10.0,13.0,11.0,16.0,13.0,6.0,13.0,14.0,12.0,16.0,13.0,13.0
forel,12.0,13.0,20.0,11.0,8.0,16.0,6.0,16.0,18.0,11.0,11.0,15.0,16.0,15.0,8.0,16.0,9.0,15.0,13.0,16.0,10.0,15.0,12.0
goudvis,13.0,14.0,11.0,20.0,7.0,16.0,2.0,15.0,13.0,7.0,14.0,15.0,13.0,15.0,8.0,14.0,7.0,12.0,13.0,8.0,13.0,14.0,7.0
haai,15.0,14.0,8.0,7.0,20.0,14.0,13.0,14.0,16.0,18.0,5.0,17.0,10.0,12.0,16.0,13.0,12.0,15.0,16.0,14.0,14.0,11.0,16.0
haring,8.0,8.0,16.0,16.0,14.0,20.0,11.0,16.0,15.0,12.0,14.0,14.0,10.0,12.0,11.0,11.0,15.0,15.0,14.0,15.0,12.0,18.0,12.0
inktvis,5.0,10.0,6.0,2.0,13.0,11.0,20.0,7.0,12.0,14.0,10.0,9.0,11.0,12.0,14.0,13.0,7.0,11.0,14.0,11.0,15.0,7.0,12.0
kabeljauw,11.0,13.0,16.0,15.0,14.0,16.0,7.0,20.0,15.0,9.0,11.0,10.0,13.0,11.0,10.0,14.0,12.0,16.0,15.0,15.0,14.0,16.0,15.0
karper,13.0,13.0,18.0,13.0,16.0,15.0,12.0,15.0,20.0,12.0,9.0,16.0,12.0,11.0,15.0,14.0,14.0,17.0,16.0,14.0,12.0,15.0,16.0
orka,9.0,12.0,11.0,7.0,18.0,12.0,14.0,9.0,12.0,20.0,5.0,14.0,13.0,12.0,12.0,9.0,9.0,11.0,14.0,12.0,17.0,12.0,17.0
paling,7.0,11.0,11.0,14.0,5.0,14.0,10.0,11.0,9.0,5.0,20.0,10.0,11.0,12.0,8.0,13.0,12.0,11.0,10.0,12.0,10.0,9.0,14.0
piranha,13.0,10.0,15.0,15.0,17.0,14.0,9.0,10.0,16.0,14.0,10.0,20.0,5.0,9.0,12.0,8.0,11.0,16.0,16.0,12.0,14.0,10.0,17.0
pladijs,14.0,13.0,16.0,13.0,10.0,10.0,11.0,13.0,12.0,13.0,11.0,5.0,20.0,12.0,8.0,16.0,15.0,14.0,14.0,15.0,7.0,16.0,10.0
platvis,13.0,11.0,15.0,15.0,12.0,12.0,12.0,11.0,11.0,12.0,12.0,9.0,12.0,20.0,12.0,17.0,13.0,13.0,17.0,16.0,14.0,14.0,14.0
potvis,11.0,16.0,8.0,8.0,16.0,11.0,14.0,10.0,15.0,12.0,8.0,12.0,8.0,12.0,20.0,10.0,6.0,11.0,14.0,9.0,19.0,8.0,16.0
rog,9.0,13.0,16.0,14.0,13.0,11.0,13.0,14.0,14.0,9.0,13.0,8.0,16.0,17.0,10.0,20.0,11.0,12.0,13.0,15.0,10.0,13.0,13.0
sardine,20.0,6.0,9.0,7.0,12.0,15.0,7.0,12.0,14.0,9.0,12.0,11.0,15.0,13.0,6.0,11.0,20.0,12.0,9.0,13.0,6.0,15.0,15.0
snoek,11.0,13.0,15.0,12.0,15.0,15.0,11.0,16.0,17.0,11.0,11.0,16.0,14.0,13.0,11.0,12.0,12.0,20.0,13.0,14.0,12.0,17.0,16.0
stekelbaars,13.0,14.0,13.0,13.0,16.0,14.0,14.0,15.0,16.0,14.0,10.0,16.0,14.0,17.0,14.0,13.0,9.0,13.0,20.0,15.0,9.0,15.0,11.0
tong,15.0,12.0,16.0,8.0,14.0,15.0,11.0,15.0,14.0,12.0,12.0,12.0,15.0,16.0,9.0,15.0,13.0,14.0,15.0,20.0,13.0,15.0,13.0
walvis,6.0,16.0,10.0,13.0,14.0,12.0,15.0,14.0,12.0,17.0,10.0,14.0,7.0,14.0,19.0,10.0,6.0,12.0,9.0,13.0,20.0,12.0,16.0
zalm,16.0,13.0,15.0,14.0,11.0,18.0,7.0,16.0,15.0,12.0,9.0,10.0,16.0,14.0,8.0,13.0,15.0,17.0,15.0,15.0,12.0,20.0,12.0
zwaardvis,14.0,13.0,12.0,7.0,16.0,12.0,12.0,15.0,16.0,17.0,14.0,17.0,10.0,14.0,16.0,13.0,15.0,16.0,11.0,13.0,16.0,12.0,20.0
