exemplar,ansjovis,dolfijn,forel,goudvis,haai,haring,inktvis,kabeljauw,karper,orka,paling,piranha,pladijs,platvis,potvis,rog,sardine,snoek,stekelbaars,tong,walvis,zalm,zwaardvis
ansjovis,20.0,7.0,8.0,12.0,10.0,12.0,5.0,14.0,5.0,3.0,13.0,8.0,9.0,12.0,9.0,15.0,14.0,5.0,12.0,8.0,1.0,10.0,9.0
dolfijn,7.0,20.0,5.0,4.0,10.0,11.0,12.0,12.0,10.0,16.0,8.0,3.0,7.0,10.0,15.0,8.0,3.0,8.0,9.0,5.0,9.0,9.0,15.0
forel,8.0,5.0,20.0,14.0,15.0,12.0,12.0,19.0,10.0,12.0,13.0,14.0,13.0,13.0,12.0,10.0,9.0,14.0,5.0,13.0,6.0,14.0,10.0
goudvis,12.0,4.0,14.0,20.0,5.0,7.0,8.0,9.0,12.0,6.0,10.0,8.0,14.0,9.0,10.0,8.0,15.0,11.0,14.0,9.0,4.0,13.0,10.0
haai,10.0,10.0,15.0,5.0,20.0,14.0,11.0,10.0,8.0,16.0,10.0,15.0,5.0,5.0,11.0,15.0,3.0,11.0,5.0,7.0,15.0,8.0,16.0
haring,12.0,11.0,12.0,7.0,14.0,20.0,14.0,12.0,15.0,5.0,10.0,10.0,8.0,12.0,7.0,16.0,17.0,6.0,11.0,1.0,5.0,15.0,7.0
inktvis,5.0,12.0,12.0,8.0,11.0,14.0,20.0,8.0,11.0,10.0,12.0,12.0,12.0,13.0,12.0,8.0,8.0,8.0,4.0,7.0,12.0,11.0,15.0
kabeljauw,14.0,12.0,19.0,9.0,10.0,12.0,8.0,20.0,6.0,7.0,15.0,12.0,7.0,12.0,11.0,13.0,6.0,10.0,8.0,14.0,11.0,16.0,10.0
karper,5.0,10.0,10.0,12.0,8.0,15.0,11.0,6.0,20.0,3.0,11.0,12.0,13.0,9.0,9.0,16.0,12.0,13.0,14.0,8.0,12.0,8.0,11.0
orka,3.0,16.0,12.0,6.0,16.0,5.0,10.0,7.0,3.0,20.0,5.0,10.0,5.0,4.0,15.0,5.0,4.0,5.0,5.0,4.0,19.0,11.0,5.0
paling,13.0,8.0,13.0,10.0,10.0,10.0,12.0,15.0,11.0,5.0,20.0,11.0,16.0,11.0,4.0,10.0,12.0,12.0,14.0,15.0,12.0,13.0,9.0
piranha,8.0,3.0,14.0,8.0,15.0,10.0,12.0,12.0,12.0,10.0,11.0,20.0,14.0,7.0,12.0,11.0,10.0,12.0,5.0,12.0,8.0,12.0,7.0
pladijs,9.0,7.0,13.0,14.0,5.0,8.0,12.0,7.0,13.0,5.0,16.0,14.0,20.0,18.0,10.0,15.0,9.0,16.0,6.0,15.0,8.0,13.0,11.0
platvis,12.0,10.0,13.0,9.0,5.0,12.0,13.0,12.0,9.0,4.0,11.0,7.0,18.0,20.0,15.0,9.0,13.0,12.0,11.0,14.0,13.0,10.0,5.0
potvis,9.0,15.0,12.0,10.0,11.0,7.0,12.0,11.0,9.0,15.0,4.0,12.0,10.0,15.0,20.0,10.0,6.0,11.0,7.0,12.0,17.0,11.0,9.0
rog,15.0,8.0,10.0,8.0,15.0,16.0,8.0,13.0,16.0,5.0,10.0,11.0,15.0,9.0,10.0,20.0,13.0,10.0,10.0,12.0,8.0,12.0,9.0
sardine,14.0,3.0,9.0,15.0,3.0,17.0,8.0,6.0,12.0,4.0,12.0,10.0,9.0,13.0,6.0,13.0,20.0,7.0,11.0,9.0,7.0,8.0,6.0
snoek,5.0,8.0,14.0,11.0,11.0,6.0,8.0,10.0,13.0,5.0,12.0,12.0,16.0,12.0,11.0,10.0,7.0,20.0,10.0,10.0,6.0,12.0,10.0
stekelbaars,12.0,9.0,5.0,14.0,5.0,11.0,4.0,8.0,14.0,5.0,14.0,5.0,6.0,11.0,7.0,10.0,11.0,10.0,20.0,11.0,5.0,9.0,11.0
tong,8.0,5.0,13.0,9.0,7.0,1.0,7.0,14.0,8.0,4.0,15.0,12.0,15.0,14.0,12.0,12.0,9.0,10.0,11.0,20.0,7.0,12.0,12.0
walvis,1.0,9.0,6.0,4.0,15.0,5.0,12.0,11.0,12.0,19.0,12.0,8.0,8.0,13.0,17.0,8.0,7.0,6.0,5.0,7.0,20.0,8.0,18.0
zalm,10.0,9.0,14.0,13.0,8.0,15.0,11.0,16.0,8.0,11.0,13.0,12.0,13.0,10.0,11.0,12.0,8.0,12.0,9.0,12.0,8.0,20.0,9.0
zwaardvis,9.0,15.0,10.0,10.0,16.0,7.0,15.0,10.0,11.0,5.0,9.0,7.0,11.0,5.0,9.0,9.0,6.0,10.0,11.0,12.0,18.0,9.0,20.0
