exemplar,apple,apricot,banana,blackberry,blueberry,cherry,coconut,dates,fig,grape,grapefruit,kiwi,lemon,lime,lychee,mandarine,mango,melon,nectarine,orange,papaya,passion fruit,peach,pear,pineapple,plum,pumpkin,raspberry,red currant,strawberry
apple,20.0,30.0,2.0,2.0,4.0,4.0,4.0,10.0,6.0,2.0,2.0,6.0,10.0,2.0,10.0,2.0,-2.0,16.0,20.0,10.0,2.0,4.0,4.0,4.0,2.0,8.0,2.0,4.0,4.0,2.0
apricot,30.0,20.0,2.0,2.0,4.0,2.0,2.0,30.0,30.0,2.0,10.0,4.0,20.0,2.0,4.0,2.0,-2.0,24.0,10.0,14.0,20.0,4.0,14.0,24.0,2.0,36.0,2.0,4.0,10.0,2.0
banana,2.0,2.0,20.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,-2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
blackberry,2.0,2.0,2.0,20.0,36.0,40.0,4.0,2.0,4.0,2.0,4.0,30.0,2.0,2.0,2.0,22.0,-2.0,4.0,2.0,2.0,16.0,2.0,2.0,4.0,2.0,4.0,2.0,36.0,30.0,2.0
blueberry,4.0,4.0,2.0,36.0,20.0,30.0,4.0,2.0,4.0,2.0,2.0,30.0,2.0,2.0,2.0,4.0,-2.0,2.0,10.0,2.0,30.0,2.0,2.0,4.0,2.0,4.0,2.0,36.0,4.0,2.0
cherry,4.0,2.0,2.0,40.0,30.0,20.0,2.0,4.0,2.0,2.0,2.0,20.0,4.0,2.0,2.0,4.0,-2.0,4.0,2.0,2.0,14.0,2.0,2.0,2.0,2.0,6.0,2.0,20.0,36.0,2.0
coconut,4.0,2.0,2.0,4.0,4.0,2.0,20.0,4.0,10.0,2.0,14.0,10.0,6.0,36.0,4.0,16.0,-2.0,2.0,2.0,2.0,30.0,4.0,4.0,2.0,2.0,2.0,10.0,4.0,10.0,2.0
dates,10.0,30.0,2.0,2.0,2.0,4.0,4.0,20.0,36.0,2.0,6.0,4.0,10.0,2.0,4.0,2.0,-2.0,24.0,10.0,20.0,4.0,14.0,4.0,22.0,2.0,24.0,2.0,4.0,4.0,2.0
fig,6.0,30.0,2.0,4.0,4.0,2.0,10.0,36.0,20.0,2.0,10.0,6.0,10.0,2.0,10.0,2.0,-2.0,36.0,10.0,36.0,4.0,10.0,14.0,36.0,2.0,24.0,2.0,4.0,10.0,2.0
grape,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,20.0,32.0,2.0,2.0,4.0,2.0,36.0,-2.0,2.0,2.0,2.0,30.0,2.0,2.0,2.0,2.0,8.0,2.0,34.0,2.0,2.0
grapefruit,2.0,10.0,2.0,4.0,2.0,2.0,14.0,6.0,10.0,32.0,20.0,2.0,20.0,4.0,10.0,2.0,-2.0,4.0,6.0,20.0,16.0,10.0,8.0,6.0,2.0,4.0,4.0,2.0,2.0,2.0
kiwi,6.0,4.0,2.0,30.0,30.0,20.0,10.0,4.0,6.0,2.0,2.0,20.0,4.0,10.0,4.0,2.0,-2.0,4.0,4.0,4.0,30.0,4.0,20.0,4.0,2.0,10.0,2.0,32.0,20.0,2.0
lemon,10.0,20.0,2.0,2.0,2.0,4.0,6.0,10.0,10.0,2.0,20.0,4.0,20.0,2.0,34.0,2.0,-2.0,10.0,20.0,10.0,6.0,4.0,2.0,10.0,4.0,10.0,2.0,4.0,2.0,2.0
lime,2.0,2.0,2.0,2.0,2.0,2.0,36.0,2.0,2.0,4.0,4.0,10.0,2.0,20.0,2.0,2.0,-2.0,4.0,2.0,10.0,10.0,2.0,2.0,2.0,4.0,2.0,2.0,20.0,2.0,2.0
lychee,10.0,4.0,2.0,2.0,2.0,2.0,4.0,4.0,10.0,2.0,10.0,4.0,34.0,2.0,20.0,2.0,-2.0,10.0,4.0,4.0,10.0,4.0,6.0,10.0,2.0,6.0,2.0,2.0,2.0,2.0
mandarine,2.0,2.0,2.0,22.0,4.0,4.0,16.0,2.0,2.0,36.0,2.0,2.0,2.0,2.0,2.0,20.0,-2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,6.0,2.0
mango,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,20.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0
melon,16.0,24.0,2.0,4.0,2.0,4.0,2.0,24.0,36.0,2.0,4.0,4.0,10.0,4.0,10.0,2.0,-2.0,20.0,20.0,28.0,24.0,6.0,36.0,30.0,2.0,24.0,2.0,2.0,4.0,2.0
nectarine,20.0,10.0,2.0,2.0,10.0,2.0,2.0,10.0,10.0,2.0,6.0,4.0,20.0,2.0,4.0,2.0,-2.0,20.0,20.0,14.0,20.0,20.0,4.0,6.0,2.0,10.0,2.0,2.0,4.0,2.0
orange,10.0,14.0,2.0,2.0,2.0,2.0,2.0,20.0,36.0,2.0,20.0,4.0,10.0,10.0,4.0,2.0,-2.0,28.0,14.0,20.0,4.0,20.0,4.0,20.0,2.0,36.0,2.0,2.0,4.0,2.0
