exemplar,apple,apricot,banana,blackberry,blueberry,cherry,coconut,dates,fig,grape,grapefruit,kiwi,lemon,lime,lychee,mandarine,mango,melon,nectarine,orange,papaya,passion fruit,peach,pear,pineapple,plum,pumpkin,raspberry,red currant,strawberry
apple,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apricot,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
banana,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
blackberry,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,
blueberry,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,
cherry,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,
coconut,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,
dates,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,
fig,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,
grape,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,
grapefruit,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,
kiwi,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,
lemon,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,
lime,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,
lychee,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,
mandarine,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,
mango,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,
melon,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,
nectarine,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,
orange,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,
papaya,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,
passion fruit,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,
peach,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,
pear,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,
pineapple,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,
plum,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,
pumpkin,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,
raspberry,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,
red currant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,
strawberry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0
