exemplar,apple,apricot,banana,blackberry,blueberry,cherry,coconut,dates,fig,grape,grapefruit,kiwi,lemon,lime,lychee,mandarine,mango,melon,nectarine,orange,papaya,passion fruit,peach,pear,pineapple,plum,pumpkin,raspberry,red currant,strawberry
apple,20.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0,11.0,12.0,12.0,11.0,12.0,12.0,11.0,14.0,11.0,11.0,8.0,11.0,11.0,11.0
apricot,11.0,20.0,11.0,11.0,11.0,13.0,11.0,12.0,12.0,11.0,11.0,12.0,11.0,11.0,11.0,12.0,12.0,12.0,15.0,11.0,11.0,12.0,16.0,11.0,11.0,13.0,8.0,11.0,11.0,11.0
banana,11.0,11.0,20.0,9.0,10.0,11.0,10.0,11.0,11.0,11.0,12.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0,11.0,11.0,12.0,11.0,9.0,11.0,11.0,11.0
blackberry,11.0,11.0,9.0,20.0,16.0,11.0,10.0,11.0,11.0,12.0,11.0,11.0,10.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0,11.0,11.0,11.0,11.0,11.0,7.0,15.0,14.0,12.0
blueberry,11.0,11.0,10.0,16.0,20.0,12.0,10.0,11.0,12.0,12.0,11.0,11.0,10.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,9.0,14.0,14.0,13.0
cherry,11.0,13.0,11.0,11.0,12.0,20.0,11.0,11.0,12.0,12.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0,11.0,12.0,11.0,11.0,16.0,8.0,11.0,12.0,12.0
coconut,11.0,11.0,10.0,10.0,10.0,11.0,20.0,10.0,11.0,10.0,11.0,10.0,11.0,10.0,11.0,10.0,11.0,11.0,10.0,11.0,11.0,11.0,11.0,10.0,11.0,11.0,7.0,10.0,11.0,10.0
dates,12.0,12.0,11.0,11.0,11.0,11.0,10.0,20.0,15.0,12.0,11.0,12.0,11.0,11.0,12.0,12.0,12.0,11.0,12.0,11.0,13.0,12.0,12.0,12.0,11.0,13.0,8.0,11.0,11.0,11.0
fig,11.0,12.0,11.0,11.0,12.0,12.0,11.0,15.0,20.0,12.0,11.0,12.0,11.0,11.0,11.0,12.0,12.0,12.0,12.0,11.0,12.0,12.0,12.0,11.0,11.0,12.0,8.0,12.0,11.0,11.0
grape,11.0,11.0,11.0,12.0,12.0,12.0,10.0,12.0,12.0,20.0,11.0,11.0,11.0,11.0,13.0,11.0,12.0,11.0,11.0,11.0,12.0,11.0,11.0,11.0,11.0,12.0,8.0,12.0,13.0,12.0
