exemplar,apple,apricot,banana,blackberry,blueberry,cherry,coconut,dates,fig,grape,grapefruit,kiwi,lemon,lime,lychee,mandarine,mango,melon,nectarine,orange,papaya,passion fruit,peach,pear,pineapple,plum,pumpkin,raspberry,red currant,strawberry
apple,20.0,9.0,14.0,8.0,11.0,13.0,4.0,9.0,8.0,12.0,11.0,13.0,13.0,10.0,9.0,11.0,11.0,10.0,14.0,18.0,9.0,12.0,14.0,19.0,6.0,13.0,12.0,11.0,9.0,8.0
apricot,9.0,20.0,8.0,14.0,8.0,11.0,9.0,15.0,16.0,12.0,11.0,10.0,8.0,12.0,12.0,9.0,10.0,13.0,12.0,4.0,10.0,12.0,9.0,8.0,8.0,14.0,5.0,11.0,11.0,10.0
banana,14.0,8.0,20.0,8.0,8.0,13.0,9.0,8.0,12.0,9.0,9.0,13.0,14.0,14.0,5.0,14.0,8.0,9.0,12.0,16.0,10.0,10.0,15.0,15.0,7.0,8.0,8.0,9.0,9.0,16.0
blackberry,8.0,14.0,8.0,20.0,18.0,12.0,7.0,10.0,11.0,17.0,7.0,12.0,11.0,12.0,11.0,10.0,9.0,5.0,9.0,6.0,10.0,7.0,7.0,9.0,11.0,12.0,8.0,15.0,17.0,13.0
blueberry,11.0,8.0,8.0,18.0,20.0,16.0,8.0,10.0,13.0,16.0,10.0,8.0,9.0,9.0,14.0,7.0,7.0,5.0,9.0,9.0,11.0,10.0,5.0,10.0,6.0,8.0,4.0,15.0,16.0,14.0
cherry,13.0,11.0,13.0,12.0,16.0,20.0,8.0,9.0,10.0,19.0,5.0,10.0,12.0,13.0,11.0,12.0,10.0,7.0,10.0,11.0,10.0,11.0,11.0,13.0,8.0,12.0,9.0,10.0,13.0,12.0
coconut,4.0,9.0,9.0,7.0,8.0,8.0,20.0,8.0,7.0,8.0,11.0,10.0,4.0,13.0,12.0,11.0,14.0,13.0,4.0,9.0,14.0,11.0,8.0,9.0,15.0,9.0,12.0,8.0,4.0,4.0
dates,9.0,15.0,8.0,10.0,10.0,9.0,8.0,20.0,16.0,14.0,9.0,6.0,8.0,9.0,11.0,10.0,10.0,3.0,9.0,8.0,7.0,8.0,8.0,7.0,8.0,11.0,6.0,12.0,6.0,6.0
fig,8.0,16.0,12.0,11.0,13.0,10.0,7.0,16.0,20.0,14.0,7.0,11.0,8.0,12.0,10.0,8.0,7.0,7.0,8.0,8.0,11.0,12.0,7.0,5.0,6.0,13.0,4.0,7.0,9.0,9.0
grape,12.0,12.0,9.0,17.0,16.0,19.0,8.0,14.0,14.0,20.0,11.0,11.0,11.0,11.0,14.0,12.0,5.0,9.0,12.0,9.0,11.0,14.0,10.0,6.0,9.0,11.0,5.0,11.0,12.0,10.0
grapefruit,11.0,11.0,9.0,7.0,10.0,5.0,11.0,9.0,7.0,11.0,20.0,9.0,5.0,8.0,7.0,7.0,10.0,14.0,13.0,18.0,12.0,8.0,14.0,8.0,11.0,8.0,10.0,5.0,4.0,10.0
kiwi,13.0,10.0,13.0,12.0,8.0,10.0,10.0,6.0,11.0,11.0,9.0,20.0,13.0,12.0,15.0,6.0,13.0,8.0,12.0,14.0,11.0,12.0,10.0,13.0,10.0,12.0,5.0,9.0,8.0,5.0
lemon,13.0,8.0,14.0,11.0,9.0,12.0,4.0,8.0,8.0,11.0,5.0,13.0,20.0,19.0,13.0,13.0,13.0,11.0,14.0,17.0,10.0,17.0,12.0,8.0,9.0,13.0,11.0,11.0,10.0,14.0
lime,10.0,12.0,14.0,12.0,9.0,13.0,13.0,9.0,12.0,11.0,8.0,12.0,19.0,20.0,12.0,11.0,13.0,10.0,6.0,10.0,12.0,18.0,14.0,8.0,6.0,11.0,10.0,9.0,10.0,12.0
lychee,9.0,12.0,5.0,11.0,14.0,11.0,12.0,11.0,10.0,14.0,7.0,15.0,13.0,12.0,20.0,11.0,13.0,8.0,7.0,8.0,11.0,12.0,11.0,9.0,8.0,15.0,8.0,12.0,11.0,10.0
mandarine,11.0,9.0,14.0,10.0,7.0,12.0,11.0,10.0,8.0,12.0,7.0,6.0,13.0,11.0,11.0,20.0,9.0,8.0,14.0,19.0,8.0,11.0,15.0,12.0,11.0,12.0,8.0,8.0,9.0,14.0
mango,11.0,10.0,8.0,9.0,7.0,10.0,14.0,10.0,7.0,5.0,10.0,13.0,13.0,13.0,13.0,9.0,20.0,10.0,14.0,12.0,13.0,13.0,11.0,8.0,8.0,12.0,10.0,12.0,8.0,13.0
melon,10.0,13.0,9.0,5.0,5.0,7.0,13.0,3.0,7.0,9.0,14.0,8.0,11.0,10.0,8.0,8.0,10.0,20.0,13.0,12.0,6.0,8.0,10.0,11.0,13.0,9.0,16.0,10.0,4.0,8.0
nectarine,14.0,12.0,12.0,9.0,9.0,10.0,4.0,9.0,8.0,12.0,13.0,12.0,14.0,6.0,7.0,14.0,14.0,13.0,20.0,16.0,10.0,8.0,19.0,14.0,11.0,13.0,12.0,11.0,10.0,11.0
