exemplar,apple,apricot,banana,blackberry,blueberry,cherry,coconut,dates,fig,grape,grapefruit,kiwi,lemon,lime,lychee,mandarine,mango,melon,nectarine,orange,papaya,passion fruit,peach,pear,pineapple,plum,pumpkin,raspberry,red currant,strawberry
apple,20.0,6.0,6.0,5.0,6.0,5.0,5.0,5.0,5.0,4.0,7.0,7.0,5.0,10.0,5.0,13.0,6.0,4.0,14.0,9.0,6.0,5.0,10.0,8.0,5.0,5.0,5.0,6.0,5.0,4.0
apricot,6.0,20.0,6.0,5.0,7.0,6.0,4.0,14.0,9.0,6.0,9.0,6.0,9.0,11.0,6.0,11.0,10.0,10.0,12.0,8.0,6.0,7.0,16.0,6.0,6.0,10.0,4.0,17.0,5.0,9.0
banana,6.0,6.0,20.0,4.0,5.0,4.0,5.0,5.0,5.0,6.0,5.0,5.0,5.0,6.0,3.0,5.0,5.0,6.0,5.0,6.0,5.0,6.0,5.0,9.0,6.0,5.0,4.0,5.0,5.0,6.0
blackberry,5.0,5.0,4.0,20.0,6.0,14.0,5.0,9.0,7.0,12.0,4.0,7.0,6.0,4.0,8.0,5.0,4.0,3.0,4.0,4.0,6.0,7.0,6.0,5.0,3.0,3.0,3.0,11.0,11.0,10.0
blueberry,6.0,7.0,5.0,6.0,20.0,13.0,3.0,9.0,9.0,13.0,5.0,5.0,4.0,5.0,7.0,6.0,5.0,5.0,7.0,4.0,6.0,6.0,9.0,4.0,5.0,4.0,6.0,6.0,9.0,9.0
cherry,5.0,6.0,4.0,14.0,13.0,20.0,3.0,8.0,9.0,18.0,4.0,5.0,5.0,5.0,9.0,6.0,6.0,4.0,5.0,4.0,6.0,8.0,6.0,6.0,4.0,9.0,4.0,12.0,12.0,14.0
coconut,5.0,4.0,5.0,5.0,3.0,3.0,20.0,3.0,6.0,4.0,5.0,7.0,4.0,4.0,4.0,5.0,3.0,4.0,5.0,4.0,6.0,10.0,4.0,6.0,6.0,4.0,3.0,6.0,4.0,3.0
dates,5.0,14.0,5.0,9.0,9.0,8.0,3.0,20.0,10.0,7.0,9.0,9.0,7.0,6.0,9.0,5.0,6.0,6.0,6.0,7.0,8.0,8.0,5.0,4.0,4.0,16.0,4.0,7.0,8.0,8.0
fig,5.0,9.0,5.0,7.0,9.0,9.0,6.0,10.0,20.0,16.0,5.0,8.0,7.0,9.0,12.0,8.0,12.0,4.0,6.0,6.0,8.0,12.0,13.0,6.0,5.0,15.0,4.0,9.0,8.0,9.0
grape,4.0,6.0,6.0,12.0,13.0,18.0,4.0,7.0,16.0,20.0,3.0,8.0,5.0,4.0,7.0,6.0,5.0,5.0,5.0,5.0,8.0,13.0,8.0,5.0,4.0,8.0,4.0,9.0,5.0,12.0
grapefruit,7.0,9.0,5.0,4.0,5.0,4.0,5.0,9.0,5.0,3.0,20.0,5.0,9.0,6.0,6.0,6.0,7.0,7.0,5.0,16.0,6.0,5.0,7.0,8.0,4.0,5.0,4.0,6.0,6.0,5.0
kiwi,7.0,6.0,5.0,7.0,5.0,5.0,7.0,9.0,8.0,8.0,5.0,20.0,8.0,6.0,11.0,6.0,6.0,4.0,7.0,6.0,8.0,4.0,6.0,7.0,11.0,6.0,6.0,4.0,8.0,6.0
lemon,5.0,9.0,5.0,6.0,4.0,5.0,4.0,7.0,7.0,5.0,9.0,8.0,20.0,17.0,11.0,8.0,9.0,18.0,9.0,9.0,7.0,6.0,7.0,5.0,4.0,9.0,7.0,6.0,7.0,8.0
lime,10.0,11.0,6.0,4.0,5.0,5.0,4.0,6.0,9.0,4.0,6.0,6.0,17.0,20.0,8.0,6.0,10.0,17.0,5.0,11.0,8.0,6.0,11.0,6.0,5.0,8.0,4.0,10.0,5.0,5.0
lychee,5.0,6.0,3.0,8.0,7.0,9.0,4.0,9.0,12.0,7.0,6.0,11.0,11.0,8.0,20.0,4.0,9.0,6.0,9.0,5.0,9.0,11.0,9.0,5.0,5.0,11.0,4.0,13.0,6.0,5.0
mandarine,13.0,11.0,5.0,5.0,6.0,6.0,5.0,5.0,8.0,6.0,6.0,6.0,8.0,6.0,4.0,20.0,9.0,5.0,16.0,9.0,6.0,8.0,18.0,9.0,6.0,6.0,4.0,7.0,8.0,4.0
mango,6.0,10.0,5.0,4.0,5.0,6.0,3.0,6.0,12.0,5.0,7.0,6.0,9.0,10.0,9.0,9.0,20.0,8.0,6.0,9.0,7.0,9.0,11.0,7.0,5.0,7.0,4.0,7.0,4.0,5.0
melon,4.0,10.0,6.0,3.0,5.0,4.0,4.0,6.0,4.0,5.0,7.0,4.0,18.0,17.0,6.0,5.0,8.0,20.0,8.0,5.0,9.0,6.0,6.0,6.0,5.0,5.0,7.0,4.0,4.0,8.0
nectarine,14.0,12.0,5.0,4.0,7.0,5.0,5.0,6.0,6.0,5.0,5.0,7.0,9.0,5.0,9.0,16.0,6.0,8.0,20.0,9.0,9.0,8.0,13.0,6.0,6.0,12.0,4.0,6.0,5.0,7.0
orange,9.0,8.0,6.0,4.0,4.0,4.0,4.0,7.0,6.0,5.0,16.0,6.0,9.0,11.0,5.0,9.0,9.0,5.0,9.0,20.0,6.0,6.0,6.0,9.0,8.0,8.0,5.0,6.0,4.0,5.0
papaya,6.0,6.0,5.0,6.0,6.0,6.0,6.0,8.0,8.0,8.0,6.0,8.0,7.0,8.0,9.0,6.0,7.0,9.0,9.0,6.0,20.0,8.0,8.0,6.0,8.0,9.0,4.0,6.0,5.0,5.0
passion fruit,5.0,7.0,6.0,7.0,6.0,8.0,10.0,8.0,12.0,13.0,5.0,4.0,6.0,6.0,11.0,8.0,9.0,6.0,8.0,6.0,8.0,20.0,8.0,5.0,6.0,9.0,4.0,12.0,4.0,8.0
peach,10.0,16.0,5.0,6.0,9.0,6.0,4.0,5.0,13.0,8.0,7.0,6.0,7.0,11.0,9.0,18.0,11.0,6.0,13.0,6.0,8.0,8.0,20.0,5.0,5.0,13.0,4.0,8.0,5.0,5.0
pear,8.0,6.0,9.0,5.0,4.0,6.0,6.0,4.0,6.0,5.0,8.0,7.0,5.0,6.0,5.0,9.0,7.0,6.0,6.0,9.0,6.0,5.0,5.0,20.0,6.0,9.0,4.0,6.0,3.0,4.0
pineapple,5.0,6.0,6.0,3.0,5.0,4.0,6.0,4.0,5.0,4.0,4.0,11.0,4.0,5.0,5.0,6.0,5.0,5.0,6.0,8.0,8.0,6.0,5.0,6.0,20.0,7.0,4.0,9.0,6.0,5.0
plum,5.0,10.0,5.0,3.0,4.0,9.0,4.0,16.0,15.0,8.0,5.0,6.0,9.0,8.0,11.0,6.0,7.0,5.0,12.0,8.0,9.0,9.0,13.0,9.0,7.0,20.0,4.0,6.0,5.0,5.0
pumpkin,5.0,4.0,4.0,3.0,6.0,4.0,3.0,4.0,4.0,4.0,4.0,6.0,7.0,4.0,4.0,4.0,4.0,7.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,20.0,3.0,4.0,3.0
raspberry,6.0,17.0,5.0,11.0,6.0,12.0,6.0,7.0,9.0,9.0,6.0,4.0,6.0,10.0,13.0,7.0,7.0,4.0,6.0,6.0,6.0,12.0,8.0,6.0,9.0,6.0,3.0,20.0,9.0,4.0
red currant,5.0,5.0,5.0,11.0,9.0,12.0,4.0,8.0,8.0,5.0,6.0,8.0,7.0,5.0,6.0,8.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,3.0,6.0,5.0,4.0,9.0,20.0,8.0
strawberry,4.0,9.0,6.0,10.0,9.0,14.0,3.0,8.0,9.0,12.0,5.0,6.0,8.0,5.0,5.0,4.0,5.0,8.0,7.0,5.0,5.0,8.0,5.0,4.0,5.0,5.0,3.0,4.0,8.0,20.0
