exemplar,bathing suit,beanie,belt,blouse,boots,bra,cap,coat,dress,dungarees,hat,jeans,mittens,panties,pants,pullover,pyjamas,scarf,shirt,shoes,shorts,skirt,socks,suit,sweater,t-shirt,tie,top,tracksuit
bathing suit,20.0,2.0,6.0,3.0,4.0,3.0,2.0,5.0,5.0,3.0,5.0,3.0,5.0,3.0,4.0,15.0,2.0,3.0,5.0,2.0,2.0,3.0,3.0,2.0,4.0,5.0,2.0,4.0,4.0
beanie,2.0,20.0,2.0,3.0,3.0,2.0,12.0,2.0,2.0,5.0,16.0,3.0,2.0,4.0,4.0,2.0,20.0,4.0,5.0,4.0,3.0,2.0,3.0,5.0,3.0,4.0,3.0,2.0,2.0
belt,6.0,2.0,20.0,4.0,4.0,2.0,3.0,4.0,5.0,4.0,3.0,4.0,5.0,6.0,5.0,3.0,5.0,13.0,3.0,6.0,3.0,5.0,5.0,1.0,4.0,2.0,3.0,2.0,4.0
blouse,3.0,3.0,4.0,20.0,2.0,4.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,4.0,4.0,2.0,3.0,4.0,4.0,4.0,2.0,3.0,2.0,5.0,5.0,5.0,3.0,3.0,20.0
boots,4.0,3.0,4.0,2.0,20.0,4.0,5.0,3.0,5.0,2.0,5.0,2.0,4.0,4.0,1.0,20.0,3.0,4.0,2.0,1.0,5.0,4.0,5.0,4.0,3.0,2.0,4.0,5.0,3.0
bra,3.0,2.0,2.0,4.0,4.0,20.0,4.0,4.0,1.0,15.0,2.0,5.0,2.0,12.0,4.0,5.0,10.0,10.0,3.0,3.0,5.0,3.0,3.0,5.0,4.0,3.0,4.0,4.0,3.0
cap,2.0,12.0,3.0,3.0,5.0,4.0,20.0,2.0,5.0,3.0,1.0,5.0,5.0,4.0,3.0,4.0,2.0,4.0,3.0,2.0,20.0,2.0,4.0,5.0,4.0,2.0,10.0,5.0,2.0
coat,5.0,2.0,4.0,3.0,3.0,4.0,2.0,20.0,5.0,2.0,4.0,4.0,5.0,5.0,4.0,2.0,3.0,4.0,2.0,3.0,3.0,5.0,3.0,2.0,4.0,5.0,2.0,4.0,10.0
dress,5.0,2.0,5.0,2.0,5.0,1.0,5.0,5.0,20.0,3.0,2.0,4.0,2.0,4.0,4.0,4.0,3.0,2.0,12.0,4.0,4.0,3.0,5.0,5.0,4.0,5.0,4.0,2.0,5.0
dungarees,3.0,5.0,4.0,2.0,2.0,15.0,3.0,2.0,3.0,20.0,4.0,4.0,6.0,3.0,4.0,2.0,5.0,5.0,5.0,5.0,10.0,3.0,5.0,3.0,2.0,5.0,5.0,2.0,4.0
hat,5.0,16.0,3.0,3.0,5.0,2.0,1.0,4.0,2.0,4.0,20.0,3.0,4.0,4.0,2.0,3.0,4.0,1.0,5.0,5.0,2.0,1.0,4.0,5.0,2.0,5.0,4.0,3.0,1.0
jeans,3.0,3.0,4.0,3.0,2.0,5.0,5.0,4.0,4.0,4.0,3.0,20.0,1.0,3.0,18.0,2.0,3.0,4.0,2.0,3.0,13.0,2.0,2.0,4.0,4.0,3.0,5.0,15.0,5.0
mittens,5.0,2.0,5.0,2.0,4.0,2.0,5.0,5.0,2.0,6.0,4.0,1.0,20.0,4.0,1.0,2.0,3.0,5.0,2.0,1.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,6.0,3.0
panties,3.0,4.0,6.0,4.0,4.0,12.0,4.0,5.0,4.0,3.0,4.0,3.0,4.0,20.0,4.0,5.0,4.0,2.0,5.0,4.0,12.0,4.0,6.0,5.0,4.0,5.0,3.0,2.0,5.0
pants,4.0,4.0,5.0,4.0,1.0,4.0,3.0,4.0,4.0,4.0,2.0,18.0,1.0,4.0,20.0,3.0,2.0,3.0,4.0,1.0,12.0,5.0,3.0,12.0,3.0,2.0,3.0,2.0,5.0
pullover,15.0,2.0,3.0,2.0,20.0,5.0,4.0,2.0,4.0,2.0,3.0,2.0,2.0,5.0,3.0,20.0,12.0,5.0,15.0,2.0,2.0,2.0,2.0,3.0,3.0,12.0,4.0,20.0,15.0
pyjamas,2.0,20.0,5.0,3.0,3.0,10.0,2.0,3.0,3.0,5.0,4.0,3.0,3.0,4.0,2.0,12.0,20.0,4.0,5.0,3.0,4.0,4.0,3.0,15.0,2.0,10.0,4.0,4.0,2.0
scarf,3.0,4.0,13.0,4.0,4.0,10.0,4.0,4.0,2.0,5.0,1.0,4.0,5.0,2.0,3.0,5.0,4.0,20.0,2.0,3.0,4.0,3.0,5.0,3.0,5.0,2.0,2.0,3.0,10.0
shirt,5.0,5.0,3.0,4.0,2.0,3.0,3.0,2.0,12.0,5.0,5.0,2.0,2.0,5.0,4.0,15.0,5.0,2.0,20.0,2.0,5.0,3.0,2.0,15.0,3.0,3.0,2.0,4.0,4.0
shoes,2.0,4.0,6.0,4.0,1.0,3.0,2.0,3.0,4.0,5.0,5.0,3.0,1.0,4.0,1.0,2.0,3.0,3.0,2.0,20.0,2.0,4.0,4.0,3.0,3.0,5.0,4.0,3.0,4.0
shorts,2.0,3.0,3.0,2.0,5.0,5.0,20.0,3.0,4.0,10.0,2.0,13.0,5.0,12.0,12.0,2.0,4.0,4.0,5.0,2.0,20.0,3.0,2.0,4.0,5.0,2.0,5.0,2.0,3.0
