exemplar,bathing suit,beanie,belt,blouse,boots,bra,cap,coat,dress,dungarees,hat,jeans,mittens,panties,pants,pullover,pyjamas,scarf,shirt,shoes,shorts,skirt,socks,suit,sweater,t-shirt,tie,top,tracksuit
bathing suit,20.0,2.0,7.0,3.0,1.0,8.0,5.0,1.0,2.0,6.0,3.0,4.0,8.0,3.0,3.0,15.0,3.0,3.0,11.0,3.0,1.0,3.0,3.0,3.0,7.0,2.0,4.0,1.0,3.0
beanie,2.0,20.0,6.0,3.0,6.0,3.0,6.0,7.0,1.0,1.0,12.0,9.0,2.0,6.0,3.0,9.0,8.0,15.0,7.0,4.0,2.0,2.0,7.0,15.0,2.0,7.0,2.0,2.0,3.0
belt,7.0,6.0,20.0,7.0,1.0,6.0,1.0,5.0,4.0,5.0,1.0,7.0,4.0,6.0,3.0,11.0,6.0,3.0,3.0,2.0,4.0,3.0,2.0,3.0,4.0,5.0,2.0,1.0,2.0
blouse,3.0,3.0,7.0,20.0,1.0,10.0,1.0,6.0,7.0,2.0,12.0,2.0,1.0,2.0,16.0,1.0,1.0,5.0,14.0,12.0,9.0,8.0,10.0,6.0,8.0,6.0,6.0,2.0,5.0
boots,1.0,6.0,1.0,1.0,20.0,5.0,3.0,11.0,3.0,1.0,8.0,2.0,2.0,2.0,2.0,1.0,3.0,1.0,1.0,10.0,2.0,4.0,10.0,1.0,5.0,2.0,3.0,3.0,3.0
bra,8.0,3.0,6.0,10.0,5.0,20.0,9.0,1.0,10.0,2.0,3.0,4.0,6.0,15.0,9.0,7.0,3.0,6.0,6.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,6.0,15.0,3.0
cap,5.0,6.0,1.0,1.0,3.0,9.0,20.0,3.0,10.0,20.0,5.0,3.0,1.0,1.0,5.0,6.0,8.0,3.0,9.0,5.0,10.0,10.0,2.0,2.0,3.0,2.0,10.0,5.0,1.0
coat,1.0,7.0,5.0,6.0,11.0,1.0,3.0,20.0,2.0,6.0,1.0,15.0,1.0,3.0,5.0,3.0,10.0,12.0,6.0,1.0,4.0,8.0,3.0,3.0,2.0,2.0,20.0,1.0,9.0
dress,2.0,1.0,4.0,7.0,3.0,10.0,10.0,2.0,20.0,1.0,6.0,6.0,3.0,3.0,9.0,2.0,9.0,3.0,5.0,1.0,10.0,3.0,3.0,9.0,5.0,9.0,3.0,8.0,4.0
dungarees,6.0,1.0,5.0,2.0,1.0,2.0,20.0,6.0,1.0,20.0,3.0,1.0,2.0,8.0,15.0,3.0,1.0,7.0,3.0,10.0,6.0,5.0,8.0,2.0,9.0,4.0,1.0,3.0,3.0
hat,3.0,12.0,1.0,12.0,8.0,3.0,5.0,1.0,6.0,3.0,20.0,3.0,5.0,3.0,15.0,2.0,2.0,1.0,11.0,10.0,9.0,9.0,4.0,6.0,2.0,2.0,6.0,8.0,2.0
jeans,4.0,9.0,7.0,2.0,2.0,4.0,3.0,15.0,6.0,1.0,3.0,20.0,3.0,9.0,7.0,1.0,5.0,10.0,6.0,3.0,15.0,13.0,3.0,6.0,12.0,8.0,10.0,3.0,11.0
mittens,8.0,2.0,4.0,1.0,2.0,6.0,1.0,1.0,3.0,2.0,5.0,3.0,20.0,1.0,1.0,8.0,6.0,6.0,9.0,4.0,20.0,1.0,1.0,3.0,3.0,4.0,6.0,2.0,6.0
panties,3.0,6.0,6.0,2.0,2.0,15.0,1.0,3.0,3.0,8.0,3.0,9.0,1.0,20.0,5.0,7.0,2.0,8.0,5.0,2.0,3.0,4.0,7.0,3.0,8.0,12.0,1.0,6.0,10.0
pants,3.0,3.0,3.0,16.0,2.0,9.0,5.0,5.0,9.0,15.0,15.0,7.0,1.0,5.0,20.0,3.0,2.0,1.0,7.0,15.0,12.0,12.0,10.0,2.0,6.0,9.0,1.0,8.0,9.0
pullover,15.0,9.0,11.0,1.0,1.0,7.0,6.0,3.0,2.0,3.0,2.0,1.0,8.0,7.0,3.0,20.0,2.0,6.0,1.0,6.0,3.0,7.0,3.0,5.0,6.0,1.0,2.0,10.0,3.0
pyjamas,3.0,8.0,6.0,1.0,3.0,3.0,8.0,10.0,9.0,1.0,2.0,5.0,6.0,2.0,2.0,2.0,20.0,5.0,5.0,3.0,4.0,2.0,2.0,2.0,5.0,3.0,4.0,1.0,6.0
scarf,3.0,15.0,3.0,5.0,1.0,6.0,3.0,12.0,3.0,7.0,1.0,10.0,6.0,8.0,1.0,6.0,5.0,20.0,1.0,10.0,16.0,4.0,9.0,3.0,1.0,2.0,9.0,1.0,9.0
shirt,11.0,7.0,3.0,14.0,1.0,6.0,9.0,6.0,5.0,3.0,11.0,6.0,9.0,5.0,7.0,1.0,5.0,1.0,20.0,6.0,15.0,9.0,5.0,8.0,9.0,9.0,5.0,4.0,3.0
shoes,3.0,4.0,2.0,12.0,10.0,1.0,5.0,1.0,1.0,10.0,10.0,3.0,4.0,2.0,15.0,6.0,3.0,10.0,6.0,20.0,14.0,9.0,13.0,6.0,9.0,3.0,3.0,3.0,9.0
shorts,1.0,2.0,4.0,9.0,2.0,2.0,10.0,4.0,10.0,6.0,9.0,15.0,20.0,3.0,12.0,3.0,4.0,16.0,15.0,14.0,20.0,12.0,11.0,8.0,9.0,19.0,3.0,9.0,17.0
skirt,3.0,2.0,3.0,8.0,4.0,1.0,10.0,8.0,3.0,5.0,9.0,13.0,1.0,4.0,12.0,7.0,2.0,4.0,9.0,9.0,12.0,20.0,11.0,7.0,7.0,1.0,1.0,9.0,1.0
socks,3.0,7.0,2.0,10.0,10.0,1.0,2.0,3.0,3.0,8.0,4.0,3.0,1.0,7.0,10.0,3.0,2.0,9.0,5.0,13.0,11.0,11.0,20.0,8.0,8.0,4.0,3.0,4.0,7.0
suit,3.0,15.0,3.0,6.0,1.0,1.0,2.0,3.0,9.0,2.0,6.0,6.0,3.0,3.0,2.0,5.0,2.0,3.0,8.0,6.0,8.0,7.0,8.0,20.0,2.0,1.0,1.0,2.0,3.0
sweater,7.0,2.0,4.0,8.0,5.0,2.0,3.0,2.0,5.0,9.0,2.0,12.0,3.0,8.0,6.0,6.0,5.0,1.0,9.0,9.0,9.0,7.0,8.0,2.0,20.0,7.0,3.0,10.0,4.0
t-shirt,2.0,7.0,5.0,6.0,2.0,2.0,2.0,2.0,9.0,4.0,2.0,8.0,4.0,12.0,9.0,1.0,3.0,2.0,9.0,3.0,19.0,1.0,4.0,1.0,7.0,20.0,2.0,3.0,8.0
tie,4.0,2.0,2.0,6.0,3.0,6.0,10.0,20.0,3.0,1.0,6.0,10.0,6.0,1.0,1.0,2.0,4.0,9.0,5.0,3.0,3.0,1.0,3.0,1.0,3.0,2.0,20.0,1.0,3.0
