exemplar,bathing suit,beanie,belt,blouse,boots,bra,cap,coat,dress,dungarees,hat,jeans,mittens,panties,pants,pullover,pyjamas,scarf,shirt,shoes,shorts,skirt,socks,suit,sweater,t-shirt,tie,top,tracksuit
bathing suit,20.0,2.0,1.0,3.0,1.0,13.0,2.0,8.0,2.0,2.0,4.0,1.0,2.0,13.0,5.0,17.0,7.0,5.0,1.0,4.0,18.0,7.0,2.0,3.0,1.0,4.0,5.0,14.0,6.0
beanie,2.0,20.0,3.0,2.0,5.0,3.0,17.0,6.0,3.0,6.0,3.0,4.0,9.0,2.0,8.0,6.0,19.0,14.0,9.0,2.0,3.0,4.0,3.0,3.0,4.0,5.0,1.0,5.0,12.0
belt,1.0,3.0,20.0,5.0,2.0,5.0,9.0,5.0,4.0,6.0,6.0,13.0,4.0,5.0,16.0,9.0,8.0,4.0,9.0,3.0,12.0,8.0,1.0,16.0,4.0,4.0,3.0,3.0,6.0
blouse,3.0,2.0,5.0,20.0,4.0,16.0,5.0,6.0,15.0,6.0,3.0,15.0,5.0,4.0,15.0,18.0,18.0,6.0,18.0,4.0,12.0,3.0,4.0,3.0,19.0,18.0,10.0,11.0,15.0
boots,1.0,5.0,2.0,4.0,20.0,3.0,6.0,6.0,5.0,14.0,2.0,2.0,4.0,6.0,5.0,2.0,4.0,9.0,2.0,20.0,5.0,6.0,7.0,2.0,6.0,3.0,9.0,1.0,8.0
bra,13.0,3.0,5.0,16.0,3.0,20.0,4.0,5.0,12.0,6.0,2.0,3.0,2.0,19.0,1.0,3.0,9.0,2.0,10.0,4.0,4.0,4.0,14.0,3.0,7.0,4.0,7.0,18.0,6.0
cap,2.0,17.0,9.0,5.0,6.0,4.0,20.0,8.0,5.0,7.0,17.0,5.0,8.0,3.0,3.0,8.0,1.0,9.0,2.0,5.0,11.0,10.0,2.0,1.0,5.0,3.0,10.0,4.0,14.0
coat,8.0,6.0,5.0,6.0,6.0,5.0,8.0,20.0,1.0,8.0,14.0,4.0,15.0,5.0,7.0,13.0,2.0,17.0,14.0,16.0,4.0,5.0,6.0,4.0,2.0,8.0,17.0,4.0,9.0
dress,2.0,3.0,4.0,15.0,5.0,12.0,5.0,1.0,20.0,1.0,4.0,4.0,4.0,9.0,10.0,8.0,6.0,2.0,10.0,7.0,8.0,18.0,7.0,6.0,1.0,12.0,5.0,9.0,6.0
dungarees,2.0,6.0,6.0,6.0,14.0,6.0,7.0,8.0,1.0,20.0,8.0,8.0,2.0,8.0,17.0,2.0,8.0,7.0,5.0,6.0,16.0,5.0,1.0,4.0,2.0,9.0,8.0,5.0,8.0
