exemplar,bathing suit,beanie,belt,blouse,boots,bra,cap,coat,dress,dungarees,hat,jeans,mittens,panties,pants,pullover,pyjamas,scarf,shirt,shoes,shorts,skirt,socks,suit,sweater,t-shirt,tie,top,tracksuit
bathing suit,20.0,12.0,4.0,7.0,3.0,3.0,2.0,4.0,8.0,5.0,7.0,4.0,2.0,8.0,10.0,5.0,6.0,3.0,5.0,18.0,3.0,3.0,8.0,18.0,4.0,3.0,14.0,3.0,3.0
beanie,12.0,20.0,3.0,3.0,2.0,2.0,3.0,4.0,10.0,4.0,2.0,3.0,3.0,4.0,2.0,2.0,5.0,2.0,7.0,3.0,3.0,3.0,4.0,4.0,4.0,6.0,2.0,5.0,4.0
belt,4.0,3.0,20.0,7.0,2.0,5.0,4.0,3.0,3.0,4.0,10.0,4.0,2.0,5.0,9.0,4.0,3.0,5.0,11.0,5.0,5.0,5.0,5.0,4.0,3.0,6.0,17.0,4.0,5.0
blouse,7.0,3.0,7.0,20.0,4.0,3.0,2.0,6.0,3.0,3.0,4.0,2.0,2.0,3.0,14.0,4.0,2.0,3.0,18.0,5.0,2.0,2.0,3.0,9.0,5.0,4.0,4.0,2.0,4.0
boots,3.0,2.0,2.0,4.0,20.0,3.0,2.0,12.0,7.0,6.0,6.0,3.0,5.0,3.0,5.0,3.0,14.0,3.0,6.0,3.0,14.0,2.0,5.0,12.0,4.0,5.0,13.0,4.0,4.0
bra,3.0,2.0,5.0,3.0,3.0,20.0,5.0,3.0,5.0,2.0,2.0,3.0,10.0,3.0,3.0,12.0,3.0,2.0,2.0,4.0,3.0,3.0,5.0,2.0,10.0,4.0,5.0,2.0,3.0
cap,2.0,3.0,4.0,2.0,2.0,5.0,20.0,3.0,4.0,4.0,7.0,3.0,3.0,3.0,6.0,6.0,3.0,7.0,3.0,3.0,5.0,3.0,3.0,6.0,3.0,5.0,3.0,7.0,3.0
coat,4.0,4.0,3.0,6.0,12.0,3.0,3.0,20.0,4.0,3.0,7.0,3.0,3.0,7.0,2.0,7.0,6.0,18.0,3.0,5.0,3.0,2.0,9.0,9.0,3.0,18.0,4.0,2.0,6.0
dress,8.0,10.0,3.0,3.0,7.0,5.0,4.0,4.0,20.0,3.0,5.0,7.0,3.0,3.0,3.0,4.0,3.0,5.0,3.0,4.0,3.0,5.0,3.0,2.0,3.0,3.0,3.0,4.0,3.0
dungarees,5.0,4.0,4.0,3.0,6.0,2.0,4.0,3.0,3.0,20.0,9.0,4.0,5.0,4.0,3.0,2.0,5.0,6.0,2.0,5.0,3.0,4.0,10.0,3.0,6.0,2.0,4.0,3.0,1.0
hat,7.0,2.0,10.0,4.0,6.0,2.0,7.0,7.0,5.0,9.0,20.0,3.0,5.0,6.0,7.0,2.0,3.0,3.0,11.0,7.0,10.0,3.0,7.0,4.0,4.0,5.0,4.0,3.0,13.0
jeans,4.0,3.0,4.0,2.0,3.0,3.0,3.0,3.0,7.0,4.0,3.0,20.0,2.0,4.0,7.0,4.0,3.0,3.0,16.0,3.0,2.0,4.0,3.0,2.0,2.0,3.0,5.0,4.0,3.0
mittens,2.0,3.0,2.0,2.0,5.0,10.0,3.0,3.0,3.0,5.0,5.0,2.0,20.0,7.0,3.0,4.0,16.0,19.0,3.0,10.0,7.0,4.0,3.0,3.0,2.0,4.0,5.0,3.0,5.0
panties,8.0,4.0,5.0,3.0,3.0,3.0,3.0,7.0,3.0,4.0,6.0,4.0,7.0,20.0,2.0,3.0,3.0,3.0,2.0,6.0,5.0,2.0,2.0,3.0,3.0,4.0,6.0,4.0,2.0
pants,10.0,2.0,9.0,14.0,5.0,3.0,6.0,2.0,3.0,3.0,7.0,7.0,3.0,2.0,20.0,2.0,2.0,3.0,5.0,5.0,5.0,3.0,2.0,11.0,4.0,3.0,3.0,4.0,11.0
pullover,5.0,2.0,4.0,4.0,3.0,12.0,6.0,7.0,4.0,2.0,2.0,4.0,4.0,3.0,2.0,20.0,2.0,6.0,2.0,3.0,5.0,7.0,3.0,6.0,3.0,7.0,3.0,4.0,6.0
pyjamas,6.0,5.0,3.0,2.0,14.0,3.0,3.0,6.0,3.0,5.0,3.0,3.0,16.0,3.0,2.0,2.0,20.0,3.0,6.0,4.0,4.0,10.0,5.0,14.0,4.0,4.0,7.0,3.0,5.0
scarf,3.0,2.0,5.0,3.0,3.0,2.0,7.0,18.0,5.0,6.0,3.0,3.0,19.0,3.0,3.0,6.0,3.0,20.0,4.0,5.0,12.0,4.0,6.0,5.0,7.0,3.0,9.0,3.0,2.0
shirt,5.0,7.0,11.0,18.0,6.0,2.0,3.0,3.0,3.0,2.0,11.0,16.0,3.0,2.0,5.0,2.0,6.0,4.0,20.0,5.0,4.0,5.0,2.0,6.0,4.0,5.0,4.0,5.0,4.0
shoes,18.0,3.0,5.0,5.0,3.0,4.0,3.0,5.0,4.0,5.0,7.0,3.0,10.0,6.0,5.0,3.0,4.0,5.0,5.0,20.0,3.0,2.0,2.0,15.0,4.0,7.0,3.0,3.0,8.0
shorts,3.0,3.0,5.0,2.0,14.0,3.0,5.0,3.0,3.0,3.0,10.0,2.0,7.0,5.0,5.0,5.0,4.0,12.0,4.0,3.0,20.0,7.0,10.0,3.0,4.0,8.0,4.0,4.0,6.0
skirt,3.0,3.0,5.0,2.0,2.0,3.0,3.0,2.0,5.0,4.0,3.0,4.0,4.0,2.0,3.0,7.0,10.0,4.0,5.0,2.0,7.0,20.0,14.0,11.0,17.0,16.0,4.0,4.0,2.0
socks,8.0,4.0,5.0,3.0,5.0,5.0,3.0,9.0,3.0,10.0,7.0,3.0,3.0,2.0,2.0,3.0,5.0,6.0,2.0,2.0,10.0,14.0,20.0,2.0,6.0,2.0,9.0,3.0,4.0
