exemplar,bathing suit,beanie,belt,blouse,boots,bra,cap,coat,dress,dungarees,hat,jeans,mittens,panties,pants,pullover,pyjamas,scarf,shirt,shoes,shorts,skirt,socks,suit,sweater,t-shirt,tie,top,tracksuit
bathing suit,20.0,5.0,5.0,5.0,5.0,5.0,4.0,6.0,5.0,4.0,4.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,2.0,5.0,5.0
beanie,5.0,20.0,10.0,5.0,10.0,5.0,18.0,14.0,3.0,3.0,17.0,5.0,5.0,5.0,5.0,14.0,3.0,15.0,10.0,5.0,5.0,5.0,9.0,10.0,10.0,15.0,4.0,5.0,5.0
belt,5.0,10.0,20.0,5.0,5.0,5.0,5.0,10.0,5.0,5.0,10.0,5.0,5.0,5.0,18.0,5.0,5.0,5.0,2.0,10.0,15.0,5.0,5.0,5.0,5.0,15.0,12.0,5.0,5.0
blouse,5.0,5.0,5.0,20.0,20.0,10.0,5.0,5.0,10.0,5.0,5.0,10.0,5.0,10.0,10.0,15.0,5.0,4.0,10.0,14.0,3.0,5.0,5.0,5.0,10.0,10.0,5.0,15.0,2.0
boots,5.0,10.0,5.0,20.0,20.0,5.0,5.0,5.0,10.0,5.0,5.0,9.0,15.0,5.0,8.0,5.0,10.0,3.0,10.0,18.0,3.0,5.0,10.0,5.0,5.0,10.0,5.0,5.0,5.0
bra,5.0,5.0,5.0,10.0,5.0,20.0,5.0,4.0,7.0,10.0,5.0,3.0,7.0,12.0,5.0,10.0,5.0,5.0,3.0,5.0,5.0,15.0,5.0,5.0,15.0,10.0,3.0,10.0,5.0
cap,4.0,18.0,5.0,5.0,5.0,5.0,20.0,5.0,5.0,5.0,18.0,5.0,5.0,1.0,5.0,5.0,5.0,10.0,5.0,5.0,5.0,5.0,10.0,3.0,5.0,5.0,4.0,5.0,5.0
coat,6.0,14.0,10.0,5.0,5.0,4.0,5.0,20.0,12.0,5.0,5.0,10.0,5.0,5.0,10.0,10.0,5.0,5.0,10.0,7.0,6.0,5.0,10.0,3.0,5.0,10.0,10.0,7.0,5.0
dress,5.0,3.0,5.0,10.0,10.0,7.0,5.0,12.0,20.0,5.0,5.0,5.0,12.0,14.0,10.0,5.0,5.0,5.0,5.0,5.0,10.0,10.0,5.0,15.0,5.0,5.0,1.0,15.0,14.0
dungarees,4.0,3.0,5.0,5.0,5.0,10.0,5.0,5.0,5.0,20.0,10.0,5.0,5.0,5.0,15.0,5.0,5.0,10.0,5.0,5.0,10.0,5.0,10.0,5.0,5.0,5.0,5.0,5.0,10.0
