exemplar,bathing suit,beanie,belt,blouse,boots,bra,cap,coat,dress,dungarees,hat,jeans,mittens,panties,pants,pullover,pyjamas,scarf,shirt,shoes,shorts,skirt,socks,suit,sweater,t-shirt,tie,top,tracksuit
bathing suit,20.0,7.0,5.0,4.0,4.0,9.0,4.0,8.0,4.0,9.0,2.0,2.0,1.0,5.0,4.0,5.0,3.0,5.0,8.0,5.0,11.0,3.0,6.0,13.0,3.0,12.0,3.0,8.0,7.0
beanie,7.0,20.0,3.0,11.0,16.0,1.0,12.0,3.0,17.0,9.0,8.0,11.0,7.0,15.0,16.0,17.0,5.0,4.0,6.0,9.0,17.0,5.0,14.0,6.0,3.0,7.0,4.0,4.0,15.0
belt,5.0,3.0,20.0,11.0,15.0,5.0,4.0,8.0,3.0,11.0,6.0,6.0,3.0,4.0,3.0,7.0,4.0,3.0,2.0,3.0,2.0,6.0,13.0,9.0,4.0,2.0,5.0,3.0,5.0
blouse,4.0,11.0,11.0,20.0,11.0,2.0,2.0,2.0,2.0,11.0,4.0,3.0,1.0,11.0,11.0,6.0,8.0,8.0,13.0,2.0,15.0,17.0,6.0,3.0,2.0,1.0,12.0,12.0,5.0
boots,4.0,16.0,15.0,11.0,20.0,3.0,3.0,4.0,5.0,1.0,9.0,5.0,9.0,16.0,6.0,4.0,3.0,9.0,7.0,2.0,4.0,3.0,4.0,15.0,4.0,3.0,7.0,12.0,16.0
bra,9.0,1.0,5.0,2.0,3.0,20.0,5.0,17.0,16.0,5.0,1.0,4.0,8.0,6.0,12.0,4.0,7.0,8.0,3.0,6.0,18.0,7.0,5.0,8.0,7.0,4.0,8.0,1.0,2.0
cap,4.0,12.0,4.0,2.0,3.0,5.0,20.0,12.0,4.0,7.0,5.0,6.0,6.0,4.0,5.0,9.0,6.0,11.0,14.0,3.0,15.0,17.0,11.0,7.0,14.0,17.0,3.0,3.0,8.0
coat,8.0,3.0,8.0,2.0,4.0,17.0,12.0,20.0,17.0,3.0,18.0,15.0,17.0,3.0,1.0,1.0,15.0,4.0,5.0,4.0,14.0,2.0,16.0,17.0,7.0,13.0,2.0,6.0,9.0
dress,4.0,17.0,3.0,2.0,5.0,16.0,4.0,17.0,20.0,6.0,4.0,3.0,11.0,13.0,10.0,13.0,8.0,3.0,7.0,3.0,16.0,4.0,1.0,3.0,17.0,4.0,3.0,2.0,2.0
dungarees,9.0,9.0,11.0,11.0,1.0,5.0,7.0,3.0,6.0,20.0,6.0,5.0,11.0,6.0,12.0,2.0,4.0,7.0,4.0,12.0,8.0,5.0,15.0,9.0,3.0,1.0,4.0,4.0,14.0
hat,2.0,8.0,6.0,4.0,9.0,1.0,5.0,18.0,4.0,6.0,20.0,5.0,6.0,4.0,4.0,3.0,19.0,12.0,8.0,2.0,4.0,3.0,17.0,17.0,2.0,9.0,5.0,5.0,3.0
jeans,2.0,11.0,6.0,3.0,5.0,4.0,6.0,15.0,3.0,5.0,5.0,20.0,3.0,4.0,1.0,6.0,10.0,3.0,12.0,10.0,8.0,12.0,3.0,2.0,3.0,9.0,7.0,14.0,4.0
mittens,1.0,7.0,3.0,1.0,9.0,8.0,6.0,17.0,11.0,11.0,6.0,3.0,20.0,11.0,3.0,5.0,4.0,5.0,6.0,11.0,4.0,3.0,8.0,7.0,11.0,5.0,6.0,2.0,3.0
panties,5.0,15.0,4.0,11.0,16.0,6.0,4.0,3.0,13.0,6.0,4.0,4.0,11.0,20.0,2.0,4.0,14.0,8.0,14.0,6.0,4.0,4.0,14.0,5.0,7.0,9.0,17.0,4.0,17.0
pants,4.0,16.0,3.0,11.0,6.0,12.0,5.0,1.0,10.0,12.0,4.0,1.0,3.0,2.0,20.0,12.0,8.0,11.0,5.0,7.0,11.0,6.0,3.0,4.0,9.0,3.0,16.0,16.0,2.0
pullover,5.0,17.0,7.0,6.0,4.0,4.0,9.0,1.0,13.0,2.0,3.0,6.0,5.0,4.0,12.0,20.0,4.0,7.0,12.0,7.0,11.0,4.0,4.0,7.0,1.0,9.0,15.0,12.0,2.0
pyjamas,3.0,5.0,4.0,8.0,3.0,7.0,6.0,15.0,8.0,4.0,19.0,10.0,4.0,14.0,8.0,4.0,20.0,5.0,9.0,7.0,2.0,7.0,2.0,8.0,6.0,11.0,14.0,3.0,12.0
scarf,5.0,4.0,3.0,8.0,9.0,8.0,11.0,4.0,3.0,7.0,12.0,3.0,5.0,8.0,11.0,7.0,5.0,20.0,2.0,3.0,15.0,3.0,3.0,4.0,6.0,7.0,5.0,17.0,6.0
shirt,8.0,6.0,2.0,13.0,7.0,3.0,14.0,5.0,7.0,4.0,8.0,12.0,6.0,14.0,5.0,12.0,9.0,2.0,20.0,11.0,7.0,16.0,13.0,3.0,3.0,5.0,10.0,8.0,12.0
shoes,5.0,9.0,3.0,2.0,2.0,6.0,3.0,4.0,3.0,12.0,2.0,10.0,11.0,6.0,7.0,7.0,7.0,3.0,11.0,20.0,4.0,3.0,3.0,7.0,2.0,5.0,4.0,5.0,2.0
shorts,11.0,17.0,2.0,15.0,4.0,18.0,15.0,14.0,16.0,8.0,4.0,8.0,4.0,4.0,11.0,11.0,2.0,15.0,7.0,4.0,20.0,3.0,6.0,3.0,12.0,17.0,6.0,6.0,3.0
skirt,3.0,5.0,6.0,17.0,3.0,7.0,17.0,2.0,4.0,5.0,3.0,12.0,3.0,4.0,6.0,4.0,7.0,3.0,16.0,3.0,3.0,20.0,18.0,2.0,7.0,18.0,13.0,4.0,8.0
socks,6.0,14.0,13.0,6.0,4.0,5.0,11.0,16.0,1.0,15.0,17.0,3.0,8.0,14.0,3.0,4.0,2.0,3.0,13.0,3.0,6.0,18.0,20.0,8.0,2.0,4.0,16.0,4.0,17.0
suit,13.0,6.0,9.0,3.0,15.0,8.0,7.0,17.0,3.0,9.0,17.0,2.0,7.0,5.0,4.0,7.0,8.0,4.0,3.0,7.0,3.0,2.0,8.0,20.0,5.0,9.0,17.0,5.0,4.0
sweater,3.0,3.0,4.0,2.0,4.0,7.0,14.0,7.0,17.0,3.0,2.0,3.0,11.0,7.0,9.0,1.0,6.0,6.0,3.0,2.0,12.0,7.0,2.0,5.0,20.0,14.0,16.0,4.0,13.0
t-shirt,12.0,7.0,2.0,1.0,3.0,4.0,17.0,13.0,4.0,1.0,9.0,9.0,5.0,9.0,3.0,9.0,11.0,7.0,5.0,5.0,17.0,18.0,4.0,9.0,14.0,20.0,17.0,9.0,8.0
