exemplar,bathing suit,beanie,belt,blouse,boots,bra,cap,coat,dress,dungarees,hat,jeans,mittens,panties,pants,pullover,pyjamas,scarf,shirt,shoes,shorts,skirt,socks,suit,sweater,t-shirt,tie,top,tracksuit
bathing suit,20.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,8.0,1.0,9.0,1.0,5.0,1.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15.0,4.0
beanie,1.0,20.0,5.0,2.0,8.0,1.0,19.0,8.0,3.0,4.0,8.0,2.0,19.0,1.0,9.0,8.0,1.0,8.0,3.0,1.0,2.0,2.0,2.0,1.0,5.0,2.0,2.0,1.0,5.0
belt,1.0,5.0,20.0,5.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,18.0,1.0,1.0,1.0,8.0,1.0,1.0,2.0,1.0,15.0,1.0,2.0,9.0,1.0,1.0
blouse,1.0,2.0,5.0,20.0,1.0,8.0,9.0,3.0,4.0,3.0,9.0,2.0,1.0,1.0,9.0,4.0,1.0,1.0,17.0,2.0,2.0,6.0,2.0,15.0,1.0,5.0,6.0,4.0,2.0
boots,1.0,8.0,1.0,1.0,20.0,1.0,10.0,1.0,1.0,1.0,5.0,6.0,1.0,1.0,5.0,9.0,1.0,5.0,1.0,8.0,4.0,1.0,8.0,1.0,8.0,1.0,1.0,2.0,1.0
bra,2.0,1.0,3.0,8.0,1.0,20.0,1.0,1.0,16.0,1.0,1.0,1.0,1.0,18.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,8.0,2.0,1.0,1.0,5.0,1.0,11.0,9.0
cap,1.0,19.0,1.0,9.0,10.0,1.0,20.0,2.0,1.0,1.0,8.0,9.0,10.0,5.0,6.0,2.0,1.0,14.0,2.0,2.0,2.0,4.0,2.0,1.0,8.0,8.0,2.0,5.0,8.0
coat,1.0,8.0,1.0,3.0,1.0,1.0,2.0,20.0,8.0,8.0,11.0,3.0,4.0,1.0,4.0,11.0,1.0,14.0,4.0,8.0,2.0,3.0,2.0,3.0,2.0,4.0,5.0,1.0,2.0
dress,1.0,3.0,1.0,4.0,1.0,16.0,1.0,8.0,20.0,2.0,4.0,1.0,1.0,10.0,2.0,2.0,1.0,2.0,1.0,4.0,2.0,3.0,1.0,14.0,1.0,2.0,1.0,5.0,1.0
dungarees,8.0,4.0,1.0,3.0,1.0,1.0,1.0,8.0,2.0,20.0,2.0,16.0,2.0,11.0,18.0,5.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,8.0,1.0,5.0,4.0
