exemplar,bathing suit,beanie,belt,blouse,boots,bra,cap,coat,dress,dungarees,hat,jeans,mittens,panties,pants,pullover,pyjamas,scarf,shirt,shoes,shorts,skirt,socks,suit,sweater,t-shirt,tie,top,tracksuit
bathing suit,20.0,3.0,1.0,6.0,1.0,3.0,7.0,4.0,2.0,2.0,5.0,2.0,3.0,3.0,3.0,18.0,2.0,3.0,2.0,2.0,4.0,5.0,3.0,2.0,3.0,3.0,1.0,6.0,3.0
beanie,3.0,20.0,5.0,7.0,3.0,4.0,19.0,15.0,3.0,11.0,19.0,11.0,19.0,5.0,10.0,14.0,8.0,19.0,8.0,7.0,4.0,5.0,4.0,3.0,6.0,6.0,10.0,4.0,11.0
belt,1.0,5.0,20.0,6.0,3.0,5.0,3.0,8.0,9.0,5.0,8.0,15.0,5.0,9.0,15.0,8.0,3.0,10.0,12.0,3.0,8.0,7.0,3.0,19.0,10.0,15.0,10.0,6.0,2.0
blouse,6.0,7.0,6.0,20.0,4.0,12.0,6.0,13.0,16.0,13.0,5.0,5.0,3.0,10.0,14.0,18.0,12.0,3.0,19.0,2.0,14.0,9.0,8.0,15.0,15.0,18.0,10.0,19.0,11.0
boots,1.0,3.0,3.0,4.0,20.0,3.0,9.0,17.0,8.0,9.0,2.0,8.0,6.0,6.0,8.0,11.0,2.0,16.0,9.0,18.0,9.0,10.0,5.0,19.0,6.0,3.0,5.0,5.0,4.0
bra,3.0,4.0,5.0,12.0,3.0,20.0,5.0,2.0,10.0,4.0,3.0,3.0,3.0,15.0,4.0,15.0,9.0,3.0,4.0,1.0,5.0,2.0,5.0,1.0,4.0,14.0,9.0,18.0,8.0
cap,7.0,19.0,3.0,6.0,9.0,5.0,20.0,6.0,8.0,7.0,19.0,13.0,3.0,16.0,9.0,2.0,6.0,2.0,10.0,4.0,8.0,3.0,2.0,4.0,6.0,8.0,8.0,8.0,8.0
coat,4.0,15.0,8.0,13.0,17.0,2.0,6.0,20.0,7.0,13.0,15.0,8.0,10.0,2.0,15.0,12.0,3.0,13.0,16.0,2.0,10.0,6.0,2.0,18.0,17.0,10.0,6.0,8.0,5.0
dress,2.0,3.0,9.0,16.0,8.0,10.0,8.0,7.0,20.0,16.0,8.0,6.0,3.0,2.0,16.0,4.0,9.0,5.0,12.0,5.0,11.0,18.0,2.0,11.0,16.0,15.0,3.0,9.0,5.0
dungarees,2.0,11.0,5.0,13.0,9.0,4.0,7.0,13.0,16.0,20.0,11.0,14.0,5.0,5.0,12.0,12.0,7.0,6.0,14.0,6.0,16.0,8.0,5.0,12.0,16.0,18.0,6.0,14.0,12.0
hat,5.0,19.0,8.0,5.0,2.0,3.0,19.0,15.0,8.0,11.0,20.0,12.0,15.0,3.0,4.0,14.0,2.0,13.0,12.0,5.0,8.0,12.0,9.0,7.0,6.0,11.0,8.0,2.0,3.0
jeans,2.0,11.0,15.0,5.0,8.0,3.0,13.0,8.0,6.0,14.0,12.0,20.0,4.0,5.0,19.0,14.0,11.0,7.0,10.0,4.0,18.0,13.0,10.0,8.0,14.0,11.0,10.0,14.0,11.0
mittens,3.0,19.0,5.0,3.0,6.0,3.0,3.0,10.0,3.0,5.0,15.0,4.0,20.0,3.0,3.0,18.0,3.0,18.0,13.0,5.0,3.0,2.0,18.0,6.0,10.0,6.0,10.0,7.0,2.0
panties,3.0,5.0,9.0,10.0,6.0,15.0,16.0,2.0,2.0,5.0,3.0,5.0,3.0,20.0,6.0,3.0,5.0,3.0,9.0,3.0,10.0,5.0,16.0,2.0,8.0,6.0,3.0,3.0,5.0
pants,3.0,10.0,15.0,14.0,8.0,4.0,9.0,15.0,16.0,12.0,4.0,19.0,3.0,6.0,20.0,12.0,11.0,10.0,11.0,10.0,18.0,17.0,6.0,14.0,14.0,8.0,6.0,10.0,16.0
pullover,18.0,14.0,8.0,18.0,11.0,15.0,2.0,12.0,4.0,12.0,14.0,14.0,18.0,3.0,12.0,20.0,13.0,12.0,18.0,13.0,14.0,7.0,6.0,14.0,17.0,3.0,14.0,15.0,10.0
pyjamas,2.0,8.0,3.0,12.0,2.0,9.0,6.0,3.0,9.0,7.0,2.0,11.0,3.0,5.0,11.0,13.0,20.0,2.0,6.0,2.0,3.0,1.0,14.0,2.0,6.0,7.0,2.0,8.0,15.0
scarf,3.0,19.0,10.0,3.0,16.0,3.0,2.0,13.0,5.0,6.0,13.0,7.0,18.0,3.0,10.0,12.0,2.0,20.0,9.0,3.0,3.0,6.0,3.0,11.0,11.0,6.0,19.0,3.0,6.0
shirt,2.0,8.0,12.0,19.0,9.0,4.0,10.0,16.0,12.0,14.0,12.0,10.0,13.0,9.0,11.0,18.0,6.0,9.0,20.0,5.0,9.0,4.0,5.0,18.0,18.0,18.0,15.0,16.0,10.0
shoes,2.0,7.0,3.0,2.0,18.0,1.0,4.0,2.0,5.0,6.0,5.0,4.0,5.0,3.0,10.0,13.0,2.0,3.0,5.0,20.0,15.0,8.0,17.0,3.0,12.0,3.0,11.0,8.0,8.0
shorts,4.0,4.0,8.0,14.0,9.0,5.0,8.0,10.0,11.0,16.0,8.0,18.0,3.0,10.0,18.0,14.0,3.0,3.0,9.0,15.0,20.0,6.0,2.0,9.0,16.0,12.0,4.0,12.0,6.0
skirt,5.0,5.0,7.0,9.0,10.0,2.0,3.0,6.0,18.0,8.0,12.0,13.0,2.0,5.0,17.0,7.0,1.0,6.0,4.0,8.0,6.0,20.0,8.0,15.0,16.0,14.0,15.0,14.0,5.0
socks,3.0,4.0,3.0,8.0,5.0,5.0,2.0,2.0,2.0,5.0,9.0,10.0,18.0,16.0,6.0,6.0,14.0,3.0,5.0,17.0,2.0,8.0,20.0,3.0,6.0,12.0,6.0,10.0,2.0
suit,2.0,3.0,19.0,15.0,19.0,1.0,4.0,18.0,11.0,12.0,7.0,8.0,6.0,2.0,14.0,14.0,2.0,11.0,18.0,3.0,9.0,15.0,3.0,20.0,14.0,15.0,19.0,7.0,5.0
sweater,3.0,6.0,10.0,15.0,6.0,4.0,6.0,17.0,16.0,16.0,6.0,14.0,10.0,8.0,14.0,17.0,6.0,11.0,18.0,12.0,16.0,16.0,6.0,14.0,20.0,18.0,6.0,18.0,15.0
t-shirt,3.0,6.0,15.0,18.0,3.0,14.0,8.0,10.0,15.0,18.0,11.0,11.0,6.0,6.0,8.0,3.0,7.0,6.0,18.0,3.0,12.0,14.0,12.0,15.0,18.0,20.0,4.0,2.0,15.0
tie,1.0,10.0,10.0,10.0,5.0,9.0,8.0,6.0,3.0,6.0,8.0,10.0,10.0,3.0,6.0,14.0,2.0,19.0,15.0,11.0,4.0,15.0,6.0,19.0,6.0,4.0,20.0,6.0,2.0
top,6.0,4.0,6.0,19.0,5.0,18.0,8.0,8.0,9.0,14.0,2.0,14.0,7.0,3.0,10.0,15.0,8.0,3.0,16.0,8.0,12.0,14.0,10.0,7.0,18.0,2.0,6.0,20.0,10.0
tracksuit,3.0,11.0,2.0,11.0,4.0,8.0,8.0,5.0,5.0,12.0,3.0,11.0,2.0,5.0,16.0,10.0,15.0,6.0,10.0,8.0,6.0,5.0,2.0,5.0,15.0,15.0,2.0,10.0,20.0
