exemplar,acteur,advocaat,apotheker,archeoloog,architect,bakker,boekhouder,brandweerman,dierenarts,directeur,dokter,informaticus,kinesist,kok,leraar,loodgieter,marktkramer,minister,opvoedster,piloot,politieagent,postbode,psycholoog,rechter,secretaresse,slager,stewardess,tandarts,vuilnisman,winkelbediende
acteur,20.0,5.0,3.0,5.0,4.0,3.0,2.0,3.0,3.0,3.0,4.0,3.0,5.0,3.0,9.0,3.0,3.0,2.0,4.0,1.0,3.0,3.0,5.0,4.0,2.0,3.0,8.0,2.0,4.0,7.0
advocaat,5.0,20.0,3.0,5.0,3.0,3.0,10.0,2.0,4.0,13.0,10.0,5.0,3.0,3.0,8.0,3.0,2.0,13.0,3.0,5.0,16.0,5.0,11.0,17.0,8.0,6.0,3.0,5.0,3.0,2.0
apotheker,3.0,3.0,20.0,3.0,3.0,3.0,8.0,1.0,3.0,6.0,11.0,6.0,5.0,8.0,2.0,5.0,3.0,2.0,3.0,6.0,2.0,3.0,3.0,9.0,9.0,8.0,3.0,11.0,3.0,11.0
archeoloog,5.0,5.0,3.0,20.0,3.0,5.0,2.0,5.0,3.0,5.0,3.0,8.0,2.0,3.0,6.0,3.0,3.0,3.0,5.0,3.0,7.0,3.0,5.0,5.0,3.0,2.0,2.0,3.0,5.0,5.0
architect,4.0,3.0,3.0,3.0,20.0,3.0,9.0,2.0,2.0,8.0,3.0,15.0,5.0,3.0,4.0,9.0,2.0,5.0,2.0,11.0,6.0,5.0,3.0,5.0,2.0,4.0,4.0,11.0,3.0,3.0
bakker,3.0,3.0,3.0,5.0,3.0,20.0,6.0,6.0,3.0,4.0,3.0,3.0,5.0,11.0,2.0,2.0,11.0,2.0,2.0,3.0,2.0,5.0,3.0,3.0,5.0,11.0,2.0,3.0,2.0,12.0
boekhouder,2.0,10.0,8.0,2.0,9.0,6.0,20.0,3.0,3.0,7.0,5.0,15.0,5.0,6.0,5.0,3.0,8.0,6.0,2.0,1.0,9.0,11.0,4.0,9.0,13.0,2.0,4.0,2.0,3.0,8.0
brandweerman,3.0,2.0,1.0,5.0,2.0,6.0,3.0,20.0,10.0,9.0,7.0,3.0,3.0,2.0,5.0,15.0,6.0,3.0,3.0,3.0,9.0,3.0,8.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0
dierenarts,3.0,4.0,3.0,3.0,2.0,3.0,3.0,10.0,20.0,4.0,15.0,2.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,6.0,4.0,2.0,5.0,2.0,3.0,3.0,3.0
directeur,3.0,13.0,6.0,5.0,8.0,4.0,7.0,9.0,4.0,20.0,10.0,5.0,2.0,5.0,5.0,3.0,2.0,6.0,7.0,3.0,12.0,3.0,7.0,12.0,14.0,3.0,3.0,3.0,3.0,8.0
dokter,4.0,10.0,11.0,3.0,3.0,3.0,5.0,7.0,15.0,10.0,20.0,5.0,12.0,3.0,14.0,3.0,3.0,5.0,3.0,9.0,8.0,2.0,13.0,9.0,4.0,3.0,5.0,17.0,3.0,3.0
informaticus,3.0,5.0,6.0,8.0,15.0,3.0,15.0,3.0,2.0,5.0,5.0,20.0,3.0,3.0,12.0,5.0,3.0,6.0,9.0,15.0,3.0,8.0,3.0,6.0,6.0,3.0,4.0,3.0,3.0,5.0
kinesist,5.0,3.0,5.0,2.0,5.0,5.0,5.0,3.0,3.0,2.0,12.0,3.0,20.0,3.0,5.0,3.0,3.0,3.0,3.0,2.0,4.0,3.0,8.0,2.0,3.0,2.0,2.0,14.0,3.0,5.0
kok,3.0,3.0,8.0,3.0,3.0,11.0,6.0,2.0,3.0,5.0,3.0,3.0,3.0,20.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,14.0,3.0,3.0,3.0,4.0
leraar,9.0,8.0,2.0,6.0,4.0,2.0,5.0,5.0,4.0,5.0,14.0,12.0,5.0,4.0,20.0,2.0,3.0,2.0,11.0,3.0,8.0,3.0,13.0,5.0,3.0,4.0,2.0,5.0,2.0,4.0
loodgieter,3.0,3.0,5.0,3.0,9.0,2.0,3.0,15.0,3.0,3.0,3.0,5.0,3.0,3.0,2.0,20.0,2.0,1.0,4.0,7.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,9.0,6.0
marktkramer,3.0,2.0,3.0,3.0,2.0,11.0,8.0,6.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,20.0,2.0,3.0,4.0,3.0,2.0,3.0,2.0,5.0,10.0,3.0,3.0,2.0,4.0
