exemplar,acteur,advocaat,apotheker,archeoloog,architect,bakker,boekhouder,brandweerman,dierenarts,directeur,dokter,informaticus,kinesist,kok,leraar,loodgieter,marktkramer,minister,opvoedster,piloot,politieagent,postbode,psycholoog,rechter,secretaresse,slager,stewardess,tandarts,vuilnisman,winkelbediende
acteur,20.0,8.0,7.0,2.0,5.0,2.0,6.0,4.0,8.0,7.0,6.0,9.0,6.0,4.0,8.0,4.0,1.0,2.0,4.0,4.0,4.0,4.0,6.0,4.0,8.0,4.0,7.0,5.0,1.0,6.0
advocaat,8.0,20.0,8.0,5.0,12.0,3.0,14.0,4.0,14.0,14.0,12.0,6.0,11.0,4.0,8.0,6.0,4.0,17.0,5.0,13.0,10.0,4.0,8.0,18.0,9.0,4.0,6.0,12.0,4.0,4.0
apotheker,7.0,8.0,20.0,7.0,10.0,5.0,10.0,3.0,12.0,12.0,18.0,7.0,10.0,6.0,10.0,4.0,4.0,13.0,8.0,10.0,7.0,2.0,12.0,8.0,10.0,7.0,8.0,16.0,4.0,14.0
archeoloog,2.0,5.0,7.0,20.0,9.0,6.0,4.0,5.0,8.0,9.0,5.0,6.0,3.0,6.0,10.0,4.0,5.0,7.0,5.0,12.0,6.0,8.0,6.0,8.0,4.0,4.0,7.0,7.0,7.0,4.0
architect,5.0,12.0,10.0,9.0,20.0,3.0,10.0,5.0,10.0,13.0,10.0,8.0,8.0,2.0,5.0,2.0,4.0,10.0,3.0,11.0,5.0,7.0,7.0,10.0,8.0,3.0,7.0,11.0,5.0,8.0
bakker,2.0,3.0,5.0,6.0,3.0,20.0,5.0,8.0,2.0,5.0,4.0,3.0,4.0,19.0,4.0,8.0,10.0,4.0,2.0,6.0,2.0,11.0,1.0,4.0,2.0,18.0,3.0,3.0,9.0,13.0
boekhouder,6.0,14.0,10.0,4.0,10.0,5.0,20.0,4.0,10.0,15.0,14.0,17.0,10.0,4.0,7.0,4.0,2.0,13.0,8.0,14.0,7.0,7.0,7.0,10.0,15.0,7.0,9.0,12.0,2.0,6.0
brandweerman,4.0,4.0,3.0,5.0,5.0,8.0,4.0,20.0,5.0,5.0,6.0,8.0,2.0,5.0,5.0,16.0,10.0,7.0,4.0,12.0,11.0,6.0,1.0,6.0,3.0,6.0,4.0,4.0,12.0,6.0
dierenarts,8.0,14.0,12.0,8.0,10.0,2.0,10.0,5.0,20.0,8.0,17.0,8.0,12.0,5.0,4.0,4.0,7.0,11.0,4.0,9.0,4.0,4.0,6.0,7.0,5.0,4.0,8.0,12.0,1.0,7.0
directeur,7.0,14.0,12.0,9.0,13.0,5.0,15.0,5.0,8.0,20.0,15.0,14.0,2.0,6.0,10.0,1.0,4.0,19.0,7.0,16.0,10.0,4.0,11.0,14.0,12.0,4.0,3.0,12.0,2.0,4.0
dokter,6.0,12.0,18.0,5.0,10.0,4.0,14.0,6.0,17.0,15.0,20.0,8.0,16.0,8.0,10.0,1.0,7.0,12.0,9.0,13.0,11.0,6.0,18.0,10.0,10.0,4.0,7.0,18.0,3.0,5.0
informaticus,9.0,6.0,7.0,6.0,8.0,3.0,17.0,8.0,8.0,14.0,8.0,20.0,12.0,4.0,7.0,4.0,6.0,8.0,6.0,10.0,7.0,7.0,4.0,6.0,12.0,3.0,8.0,7.0,4.0,3.0
kinesist,6.0,11.0,10.0,3.0,8.0,4.0,10.0,2.0,12.0,2.0,16.0,12.0,20.0,4.0,8.0,4.0,6.0,12.0,11.0,12.0,8.0,4.0,13.0,1.0,7.0,4.0,10.0,15.0,4.0,5.0
kok,4.0,4.0,6.0,6.0,2.0,19.0,4.0,5.0,5.0,6.0,8.0,4.0,4.0,20.0,3.0,5.0,10.0,4.0,2.0,4.0,6.0,9.0,2.0,3.0,4.0,12.0,8.0,6.0,8.0,3.0
leraar,8.0,8.0,10.0,10.0,5.0,4.0,7.0,5.0,4.0,10.0,10.0,7.0,8.0,3.0,20.0,1.0,5.0,6.0,16.0,6.0,12.0,5.0,13.0,8.0,11.0,7.0,9.0,14.0,4.0,6.0
loodgieter,4.0,6.0,4.0,4.0,2.0,8.0,4.0,16.0,4.0,1.0,1.0,4.0,4.0,5.0,1.0,20.0,8.0,4.0,1.0,4.0,6.0,7.0,5.0,1.0,1.0,3.0,1.0,3.0,14.0,3.0
marktkramer,1.0,4.0,4.0,5.0,4.0,10.0,2.0,10.0,7.0,4.0,7.0,6.0,6.0,10.0,5.0,8.0,20.0,4.0,8.0,7.0,3.0,10.0,3.0,7.0,3.0,14.0,7.0,4.0,9.0,10.0
minister,2.0,17.0,13.0,7.0,10.0,4.0,13.0,7.0,11.0,19.0,12.0,8.0,12.0,4.0,6.0,4.0,4.0,20.0,6.0,12.0,9.0,6.0,8.0,17.0,13.0,5.0,2.0,8.0,4.0,3.0
opvoedster,4.0,5.0,8.0,5.0,3.0,2.0,8.0,4.0,4.0,7.0,9.0,6.0,11.0,2.0,16.0,1.0,8.0,6.0,20.0,6.0,7.0,6.0,16.0,6.0,12.0,3.0,12.0,12.0,4.0,8.0
piloot,4.0,13.0,10.0,12.0,11.0,6.0,14.0,12.0,9.0,16.0,13.0,10.0,12.0,4.0,6.0,4.0,7.0,12.0,6.0,20.0,12.0,8.0,4.0,12.0,12.0,4.0,17.0,12.0,3.0,5.0
politieagent,4.0,10.0,7.0,6.0,5.0,2.0,7.0,11.0,4.0,10.0,11.0,7.0,8.0,6.0,12.0,6.0,3.0,9.0,7.0,12.0,20.0,12.0,8.0,8.0,8.0,7.0,10.0,7.0,11.0,4.0
postbode,4.0,4.0,2.0,8.0,7.0,11.0,7.0,6.0,4.0,4.0,6.0,7.0,4.0,9.0,5.0,7.0,10.0,6.0,6.0,8.0,12.0,20.0,2.0,4.0,8.0,9.0,6.0,7.0,6.0,10.0
psycholoog,6.0,8.0,12.0,6.0,7.0,1.0,7.0,1.0,6.0,11.0,18.0,4.0,13.0,2.0,13.0,5.0,3.0,8.0,16.0,4.0,8.0,2.0,20.0,11.0,10.0,1.0,4.0,11.0,1.0,10.0
