exemplar,acteur,advocaat,apotheker,archeoloog,architect,bakker,boekhouder,brandweerman,dierenarts,directeur,dokter,informaticus,kinesist,kok,leraar,loodgieter,marktkramer,minister,opvoedster,piloot,politieagent,postbode,psycholoog,rechter,secretaresse,slager,stewardess,tandarts,vuilnisman,winkelbediende
acteur,20.0,14.0,14.0,14.0,15.0,15.0,14.0,15.0,14.0,14.0,15.0,14.0,15.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,15.0,15.0,14.0,16.0,15.0,15.0,14.0,12.0,15.0,14.0
advocaat,14.0,20.0,15.0,16.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,14.0,14.0,15.0,15.0,15.0,14.0,15.0,14.0,14.0,15.0,15.0,15.0,14.0,14.0,15.0,15.0,14.0
apotheker,14.0,15.0,20.0,15.0,15.0,14.0,14.0,15.0,15.0,15.0,16.0,16.0,15.0,17.0,14.0,15.0,14.0,15.0,14.0,15.0,14.0,14.0,15.0,15.0,15.0,14.0,15.0,15.0,14.0,14.0
archeoloog,14.0,16.0,15.0,20.0,15.0,14.0,14.0,14.0,15.0,15.0,15.0,15.0,15.0,14.0,14.0,14.0,14.0,15.0,14.0,15.0,14.0,14.0,15.0,15.0,15.0,14.0,15.0,15.0,14.0,14.0
architect,15.0,15.0,15.0,15.0,20.0,14.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,14.0,14.0,14.0,14.0,16.0,15.0,15.0,14.0,14.0,15.0,15.0,14.0,15.0,15.0,15.0,14.0,15.0
bakker,15.0,15.0,14.0,14.0,14.0,20.0,14.0,16.0,14.0,14.0,16.0,14.0,14.0,16.0,15.0,15.0,15.0,14.0,15.0,15.0,16.0,15.0,14.0,15.0,15.0,15.0,15.0,14.0,14.0,16.0
boekhouder,14.0,15.0,14.0,14.0,15.0,14.0,20.0,15.0,14.0,14.0,15.0,15.0,14.0,14.0,15.0,15.0,14.0,15.0,15.0,14.0,15.0,14.0,14.0,13.0,15.0,14.0,15.0,15.0,14.0,14.0
brandweerman,15.0,15.0,15.0,14.0,15.0,16.0,15.0,20.0,14.0,15.0,16.0,14.0,14.0,15.0,14.0,16.0,13.0,15.0,15.0,14.0,17.0,15.0,15.0,15.0,15.0,14.0,14.0,15.0,15.0,14.0
dierenarts,14.0,15.0,15.0,15.0,15.0,14.0,14.0,14.0,20.0,14.0,18.0,15.0,15.0,14.0,14.0,15.0,14.0,15.0,14.0,16.0,14.0,15.0,15.0,15.0,16.0,14.0,14.0,17.0,14.0,14.0
directeur,14.0,15.0,15.0,15.0,15.0,14.0,14.0,15.0,14.0,20.0,15.0,15.0,15.0,14.0,15.0,14.0,14.0,17.0,14.0,15.0,14.0,14.0,16.0,16.0,14.0,14.0,14.0,15.0,14.0,14.0
dokter,15.0,15.0,16.0,15.0,15.0,16.0,15.0,16.0,18.0,15.0,20.0,15.0,17.0,14.0,14.0,15.0,14.0,16.0,14.0,16.0,14.0,14.0,15.0,15.0,14.0,14.0,16.0,18.0,15.0,14.0
informaticus,14.0,15.0,16.0,15.0,15.0,14.0,15.0,14.0,15.0,15.0,15.0,20.0,15.0,15.0,15.0,14.0,14.0,15.0,14.0,15.0,15.0,14.0,15.0,15.0,15.0,15.0,15.0,15.0,14.0,14.0
kinesist,15.0,15.0,15.0,15.0,15.0,14.0,14.0,14.0,15.0,15.0,17.0,15.0,20.0,14.0,15.0,14.0,14.0,14.0,14.0,15.0,14.0,14.0,16.0,15.0,14.0,14.0,15.0,16.0,12.0,14.0
kok,14.0,14.0,17.0,14.0,14.0,16.0,14.0,15.0,14.0,14.0,14.0,15.0,14.0,20.0,15.0,14.0,15.0,15.0,15.0,14.0,15.0,15.0,14.0,14.0,15.0,15.0,16.0,14.0,15.0,15.0
leraar,14.0,14.0,14.0,14.0,14.0,15.0,15.0,14.0,14.0,15.0,14.0,15.0,15.0,15.0,20.0,15.0,14.0,15.0,17.0,14.0,15.0,15.0,16.0,14.0,15.0,14.0,15.0,15.0,15.0,15.0
loodgieter,14.0,15.0,15.0,14.0,14.0,15.0,15.0,16.0,15.0,14.0,15.0,14.0,14.0,14.0,15.0,20.0,14.0,12.0,14.0,14.0,15.0,15.0,14.0,14.0,13.0,16.0,15.0,14.0,15.0,15.0
marktkramer,14.0,15.0,14.0,14.0,14.0,15.0,14.0,13.0,14.0,14.0,14.0,14.0,14.0,15.0,14.0,14.0,20.0,14.0,14.0,14.0,15.0,16.0,15.0,14.0,15.0,16.0,14.0,14.0,15.0,15.0
minister,14.0,15.0,15.0,15.0,16.0,14.0,15.0,15.0,15.0,17.0,16.0,15.0,14.0,15.0,15.0,12.0,14.0,20.0,14.0,15.0,14.0,14.0,15.0,15.0,14.0,14.0,14.0,15.0,14.0,14.0
opvoedster,14.0,14.0,14.0,14.0,15.0,15.0,15.0,15.0,14.0,14.0,14.0,14.0,14.0,15.0,17.0,14.0,14.0,14.0,20.0,14.0,12.0,15.0,16.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
piloot,14.0,15.0,15.0,15.0,15.0,15.0,14.0,14.0,16.0,15.0,16.0,15.0,15.0,14.0,14.0,14.0,14.0,15.0,14.0,20.0,14.0,14.0,15.0,15.0,14.0,14.0,15.0,15.0,15.0,13.0
politieagent,15.0,14.0,14.0,14.0,14.0,16.0,15.0,17.0,14.0,14.0,14.0,15.0,14.0,15.0,15.0,15.0,15.0,14.0,12.0,14.0,20.0,17.0,16.0,16.0,17.0,15.0,14.0,15.0,15.0,14.0
postbode,15.0,14.0,14.0,14.0,14.0,15.0,14.0,15.0,15.0,14.0,14.0,14.0,14.0,15.0,15.0,15.0,16.0,14.0,15.0,14.0,17.0,20.0,16.0,14.0,15.0,15.0,15.0,15.0,15.0,15.0
psycholoog,14.0,15.0,15.0,15.0,15.0,14.0,14.0,15.0,15.0,16.0,15.0,15.0,16.0,14.0,16.0,14.0,15.0,15.0,16.0,15.0,16.0,16.0,20.0,15.0,14.0,14.0,15.0,15.0,14.0,14.0
rechter,16.0,15.0,15.0,15.0,15.0,15.0,13.0,15.0,15.0,16.0,15.0,15.0,15.0,14.0,14.0,14.0,14.0,15.0,15.0,15.0,16.0,14.0,15.0,20.0,14.0,15.0,14.0,15.0,14.0,14.0
secretaresse,15.0,15.0,15.0,15.0,14.0,15.0,15.0,15.0,16.0,14.0,14.0,15.0,14.0,15.0,15.0,13.0,15.0,14.0,15.0,14.0,17.0,15.0,14.0,14.0,20.0,15.0,14.0,14.0,14.0,17.0
slager,15.0,14.0,14.0,14.0,15.0,15.0,14.0,14.0,14.0,14.0,14.0,15.0,14.0,15.0,14.0,16.0,16.0,14.0,15.0,14.0,15.0,15.0,14.0,15.0,15.0,20.0,14.0,15.0,14.0,16.0
stewardess,14.0,14.0,15.0,15.0,15.0,15.0,15.0,14.0,14.0,14.0,16.0,15.0,15.0,16.0,15.0,15.0,14.0,14.0,15.0,15.0,14.0,15.0,15.0,14.0,14.0,14.0,20.0,15.0,14.0,16.0
tandarts,12.0,15.0,15.0,15.0,15.0,14.0,15.0,15.0,17.0,15.0,18.0,15.0,16.0,14.0,15.0,14.0,14.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,14.0,15.0,15.0,20.0,14.0,14.0
vuilnisman,15.0,15.0,14.0,14.0,14.0,14.0,14.0,15.0,14.0,14.0,15.0,14.0,12.0,15.0,15.0,15.0,15.0,14.0,15.0,15.0,15.0,15.0,14.0,14.0,14.0,14.0,14.0,14.0,20.0,14.0
winkelbediende,14.0,14.0,14.0,14.0,15.0,16.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,15.0,15.0,15.0,15.0,14.0,15.0,13.0,14.0,15.0,14.0,14.0,17.0,16.0,16.0,14.0,14.0,20.0
