exemplar,acteur,advocaat,apotheker,archeoloog,architect,bakker,boekhouder,brandweerman,dierenarts,directeur,dokter,informaticus,kinesist,kok,leraar,loodgieter,marktkramer,minister,opvoedster,piloot,politieagent,postbode,psycholoog,rechter,secretaresse,slager,stewardess,tandarts,vuilnisman,winkelbediende
acteur,20.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,9.0,8.0,9.0,8.0,6.0,8.0,9.0,9.0,9.0,7.0,8.0,8.0,9.0,9.0,7.0,9.0,9.0,10.0,12.0,7.0,8.0,5.0
advocaat,8.0,20.0,15.0,11.0,13.0,7.0,9.0,7.0,9.0,15.0,15.0,11.0,11.0,9.0,10.0,9.0,7.0,15.0,9.0,13.0,12.0,8.0,13.0,16.0,8.0,9.0,9.0,11.0,7.0,8.0
apotheker,8.0,15.0,20.0,9.0,12.0,9.0,8.0,9.0,9.0,15.0,14.0,13.0,11.0,9.0,8.0,7.0,8.0,12.0,9.0,13.0,9.0,9.0,15.0,11.0,7.0,7.0,10.0,13.0,9.0,7.0
archeoloog,8.0,11.0,9.0,20.0,10.0,9.0,9.0,9.0,10.0,11.0,9.0,11.0,11.0,8.0,9.0,9.0,9.0,9.0,8.0,12.0,9.0,8.0,10.0,8.0,9.0,8.0,10.0,11.0,9.0,9.0
architect,8.0,13.0,12.0,10.0,20.0,8.0,7.0,9.0,10.0,12.0,15.0,12.0,12.0,9.0,8.0,9.0,8.0,14.0,8.0,13.0,9.0,8.0,12.0,10.0,9.0,8.0,9.0,12.0,9.0,7.0
bakker,8.0,7.0,9.0,9.0,8.0,20.0,6.0,7.0,8.0,8.0,9.0,8.0,9.0,14.0,10.0,9.0,10.0,5.0,9.0,9.0,9.0,10.0,9.0,7.0,10.0,10.0,10.0,9.0,8.0,9.0
boekhouder,8.0,9.0,8.0,9.0,7.0,6.0,20.0,9.0,10.0,11.0,10.0,11.0,8.0,10.0,10.0,9.0,9.0,9.0,10.0,9.0,8.0,10.0,9.0,9.0,10.0,9.0,8.0,9.0,9.0,7.0
brandweerman,9.0,7.0,9.0,9.0,9.0,7.0,9.0,20.0,8.0,9.0,8.0,9.0,8.0,9.0,8.0,11.0,7.0,8.0,9.0,10.0,15.0,7.0,9.0,9.0,8.0,8.0,10.0,8.0,9.0,9.0
dierenarts,9.0,9.0,9.0,10.0,10.0,8.0,10.0,8.0,20.0,9.0,10.0,9.0,10.0,9.0,7.0,9.0,7.0,9.0,9.0,5.0,8.0,9.0,9.0,9.0,5.0,10.0,9.0,9.0,8.0,5.0
directeur,8.0,15.0,15.0,11.0,12.0,8.0,11.0,9.0,9.0,20.0,13.0,13.0,11.0,8.0,9.0,5.0,7.0,14.0,8.0,12.0,9.0,8.0,14.0,15.0,9.0,8.0,8.0,9.0,9.0,9.0
dokter,9.0,15.0,14.0,9.0,15.0,9.0,10.0,8.0,10.0,13.0,20.0,13.0,15.0,10.0,8.0,7.0,8.0,13.0,8.0,13.0,7.0,7.0,15.0,16.0,8.0,8.0,9.0,14.0,8.0,8.0
informaticus,8.0,11.0,13.0,11.0,12.0,8.0,11.0,9.0,9.0,13.0,13.0,20.0,10.0,10.0,6.0,8.0,3.0,14.0,8.0,13.0,9.0,9.0,11.0,13.0,8.0,5.0,9.0,14.0,9.0,7.0
kinesist,6.0,11.0,11.0,11.0,12.0,9.0,8.0,8.0,10.0,11.0,15.0,10.0,20.0,9.0,9.0,9.0,7.0,11.0,8.0,11.0,9.0,9.0,12.0,12.0,9.0,8.0,9.0,14.0,9.0,5.0
kok,8.0,9.0,9.0,8.0,9.0,14.0,10.0,9.0,9.0,8.0,10.0,10.0,9.0,20.0,12.0,9.0,11.0,10.0,10.0,9.0,10.0,5.0,9.0,8.0,9.0,11.0,9.0,7.0,9.0,10.0
leraar,9.0,10.0,8.0,9.0,8.0,10.0,10.0,8.0,7.0,9.0,8.0,6.0,9.0,12.0,20.0,9.0,8.0,8.0,14.0,7.0,8.0,7.0,9.0,5.0,13.0,8.0,8.0,9.0,7.0,10.0
loodgieter,9.0,9.0,7.0,9.0,9.0,9.0,9.0,11.0,9.0,5.0,7.0,8.0,9.0,9.0,9.0,20.0,10.0,9.0,9.0,9.0,7.0,12.0,9.0,8.0,11.0,8.0,7.0,8.0,12.0,4.0
marktkramer,9.0,7.0,8.0,9.0,8.0,10.0,9.0,7.0,7.0,7.0,8.0,3.0,7.0,11.0,8.0,10.0,20.0,6.0,6.0,4.0,7.0,10.0,8.0,7.0,7.0,9.0,8.0,8.0,10.0,11.0
minister,7.0,15.0,12.0,9.0,14.0,5.0,9.0,8.0,9.0,14.0,13.0,14.0,11.0,10.0,8.0,9.0,6.0,20.0,7.0,14.0,8.0,9.0,13.0,14.0,7.0,9.0,9.0,9.0,9.0,7.0
opvoedster,8.0,9.0,9.0,8.0,8.0,9.0,10.0,9.0,9.0,8.0,8.0,8.0,8.0,10.0,14.0,9.0,6.0,7.0,20.0,8.0,10.0,10.0,9.0,7.0,10.0,9.0,9.0,9.0,10.0,10.0
piloot,8.0,13.0,13.0,12.0,13.0,9.0,9.0,10.0,5.0,12.0,13.0,13.0,11.0,9.0,7.0,9.0,4.0,14.0,8.0,20.0,8.0,8.0,13.0,14.0,7.0,8.0,15.0,11.0,6.0,8.0
politieagent,9.0,12.0,9.0,9.0,9.0,9.0,8.0,15.0,8.0,9.0,7.0,9.0,9.0,10.0,8.0,7.0,7.0,8.0,10.0,8.0,20.0,8.0,9.0,10.0,6.0,10.0,11.0,9.0,10.0,11.0
postbode,9.0,8.0,9.0,8.0,8.0,10.0,10.0,7.0,9.0,8.0,7.0,9.0,9.0,5.0,7.0,12.0,10.0,9.0,10.0,8.0,8.0,20.0,6.0,7.0,12.0,11.0,9.0,9.0,11.0,13.0
psycholoog,7.0,13.0,15.0,10.0,12.0,9.0,9.0,9.0,9.0,14.0,15.0,11.0,12.0,9.0,9.0,9.0,8.0,13.0,9.0,13.0,9.0,6.0,20.0,14.0,8.0,7.0,8.0,10.0,9.0,8.0
rechter,9.0,16.0,11.0,8.0,10.0,7.0,9.0,9.0,9.0,15.0,16.0,13.0,12.0,8.0,5.0,8.0,7.0,14.0,7.0,14.0,10.0,7.0,14.0,20.0,8.0,8.0,4.0,12.0,9.0,7.0
secretaresse,9.0,8.0,7.0,9.0,9.0,10.0,10.0,8.0,5.0,9.0,8.0,8.0,9.0,9.0,13.0,11.0,7.0,7.0,10.0,7.0,6.0,12.0,8.0,8.0,20.0,9.0,9.0,9.0,8.0,12.0
slager,10.0,9.0,7.0,8.0,8.0,10.0,9.0,8.0,10.0,8.0,8.0,5.0,8.0,11.0,8.0,8.0,9.0,9.0,9.0,8.0,10.0,11.0,7.0,8.0,9.0,20.0,8.0,7.0,9.0,10.0
stewardess,12.0,9.0,10.0,10.0,9.0,10.0,8.0,10.0,9.0,8.0,9.0,9.0,9.0,9.0,8.0,7.0,8.0,9.0,9.0,15.0,11.0,9.0,8.0,4.0,9.0,8.0,20.0,8.0,5.0,9.0
tandarts,7.0,11.0,13.0,11.0,12.0,9.0,9.0,8.0,9.0,9.0,14.0,14.0,14.0,7.0,9.0,8.0,8.0,9.0,9.0,11.0,9.0,9.0,10.0,12.0,9.0,7.0,8.0,20.0,8.0,9.0
vuilnisman,8.0,7.0,9.0,9.0,9.0,8.0,9.0,9.0,8.0,9.0,8.0,9.0,9.0,9.0,7.0,12.0,10.0,9.0,10.0,6.0,10.0,11.0,9.0,9.0,8.0,9.0,5.0,8.0,20.0,9.0
winkelbediende,5.0,8.0,7.0,9.0,7.0,9.0,7.0,9.0,5.0,9.0,8.0,7.0,5.0,10.0,10.0,4.0,11.0,7.0,10.0,8.0,11.0,13.0,8.0,7.0,12.0,10.0,9.0,9.0,9.0,20.0
