exemplar,acteur,advocaat,apotheker,archeoloog,architect,bakker,boekhouder,brandweerman,dierenarts,directeur,dokter,informaticus,kinesist,kok,leraar,loodgieter,marktkramer,minister,opvoedster,piloot,politieagent,postbode,psycholoog,rechter,secretaresse,slager,stewardess,tandarts,vuilnisman,winkelbediende
acteur,20.0,10.0,10.0,11.0,11.0,10.0,9.0,12.0,12.0,12.0,12.0,11.0,11.0,10.0,11.0,10.0,13.0,11.0,11.0,10.0,9.0,9.0,12.0,9.0,10.0,11.0,11.0,10.0,10.0,10.0
advocaat,10.0,20.0,11.0,10.0,12.0,10.0,16.0,13.0,12.0,14.0,14.0,11.0,10.0,11.0,11.0,10.0,10.0,14.0,10.0,12.0,14.0,11.0,12.0,15.0,12.0,9.0,10.0,10.0,10.0,10.0
apotheker,10.0,11.0,20.0,12.0,11.0,16.0,11.0,11.0,12.0,9.0,13.0,10.0,12.0,10.0,9.0,10.0,12.0,11.0,12.0,10.0,10.0,11.0,13.0,11.0,13.0,9.0,10.0,13.0,10.0,13.0
archeoloog,11.0,10.0,12.0,20.0,12.0,10.0,12.0,13.0,11.0,11.0,10.0,10.0,10.0,10.0,12.0,11.0,10.0,10.0,10.0,11.0,10.0,10.0,10.0,11.0,9.0,10.0,11.0,11.0,9.0,9.0
architect,11.0,12.0,11.0,12.0,20.0,9.0,11.0,10.0,10.0,12.0,10.0,14.0,11.0,10.0,11.0,10.0,10.0,14.0,9.0,11.0,12.0,11.0,11.0,11.0,10.0,11.0,12.0,12.0,10.0,10.0
bakker,10.0,10.0,16.0,10.0,9.0,20.0,15.0,12.0,11.0,10.0,12.0,9.0,10.0,14.0,11.0,10.0,13.0,11.0,11.0,10.0,14.0,9.0,9.0,10.0,12.0,15.0,9.0,9.0,9.0,18.0
boekhouder,9.0,16.0,11.0,12.0,11.0,15.0,20.0,10.0,9.0,13.0,11.0,13.0,10.0,11.0,13.0,9.0,10.0,15.0,10.0,13.0,11.0,12.0,10.0,13.0,14.0,11.0,14.0,11.0,10.0,12.0
brandweerman,12.0,13.0,11.0,13.0,10.0,12.0,10.0,20.0,10.0,10.0,15.0,11.0,9.0,11.0,10.0,13.0,9.0,11.0,9.0,13.0,14.0,12.0,11.0,11.0,10.0,10.0,10.0,10.0,12.0,10.0
dierenarts,12.0,12.0,12.0,11.0,10.0,11.0,9.0,10.0,20.0,11.0,16.0,10.0,15.0,11.0,11.0,10.0,10.0,10.0,11.0,10.0,11.0,11.0,12.0,11.0,10.0,15.0,8.0,15.0,10.0,11.0
directeur,12.0,14.0,9.0,11.0,12.0,10.0,13.0,10.0,11.0,20.0,13.0,13.0,9.0,9.0,15.0,10.0,10.0,11.0,12.0,12.0,12.0,10.0,10.0,12.0,12.0,9.0,13.0,11.0,8.0,12.0
dokter,12.0,14.0,13.0,10.0,10.0,12.0,11.0,15.0,16.0,13.0,20.0,13.0,13.0,9.0,11.0,11.0,10.0,13.0,13.0,15.0,9.0,10.0,14.0,14.0,12.0,11.0,10.0,15.0,9.0,10.0
informaticus,11.0,11.0,10.0,10.0,14.0,9.0,13.0,11.0,10.0,13.0,13.0,20.0,11.0,10.0,12.0,9.0,10.0,13.0,9.0,12.0,12.0,11.0,13.0,12.0,12.0,11.0,10.0,11.0,9.0,11.0
kinesist,11.0,10.0,12.0,10.0,11.0,10.0,10.0,9.0,15.0,9.0,13.0,11.0,20.0,12.0,10.0,10.0,8.0,11.0,11.0,9.0,10.0,10.0,15.0,10.0,12.0,9.0,11.0,15.0,9.0,13.0
kok,10.0,11.0,10.0,10.0,10.0,14.0,11.0,11.0,11.0,9.0,9.0,10.0,12.0,20.0,11.0,12.0,11.0,11.0,11.0,11.0,10.0,9.0,10.0,10.0,11.0,16.0,11.0,10.0,9.0,13.0
leraar,11.0,11.0,9.0,12.0,11.0,11.0,13.0,10.0,11.0,15.0,11.0,12.0,10.0,11.0,20.0,9.0,10.0,12.0,13.0,10.0,14.0,14.0,12.0,11.0,12.0,9.0,12.0,12.0,10.0,10.0
loodgieter,10.0,10.0,10.0,11.0,10.0,10.0,9.0,13.0,10.0,10.0,11.0,9.0,10.0,12.0,9.0,20.0,11.0,11.0,9.0,10.0,9.0,10.0,10.0,10.0,9.0,10.0,9.0,12.0,10.0,11.0
marktkramer,13.0,10.0,12.0,10.0,10.0,13.0,10.0,9.0,10.0,10.0,10.0,10.0,8.0,11.0,10.0,11.0,20.0,17.0,10.0,10.0,11.0,11.0,9.0,10.0,11.0,12.0,10.0,9.0,9.0,15.0
minister,11.0,14.0,11.0,10.0,14.0,11.0,15.0,11.0,10.0,11.0,13.0,13.0,11.0,11.0,12.0,11.0,17.0,20.0,10.0,12.0,13.0,10.0,11.0,13.0,12.0,8.0,10.0,11.0,10.0,11.0
