exemplar,acteur,advocaat,apotheker,archeoloog,architect,bakker,boekhouder,brandweerman,dierenarts,directeur,dokter,informaticus,kinesist,kok,leraar,loodgieter,marktkramer,minister,opvoedster,piloot,politieagent,postbode,psycholoog,rechter,secretaresse,slager,stewardess,tandarts,vuilnisman,winkelbediende
acteur,20.0,13.0,9.0,10.0,9.0,13.0,10.0,8.0,10.0,9.0,7.0,10.0,10.0,9.0,9.0,8.0,8.0,8.0,8.0,10.0,10.0,11.0,9.0,7.0,9.0,10.0,9.0,8.0,10.0,9.0
advocaat,13.0,20.0,9.0,8.0,11.0,9.0,12.0,9.0,9.0,12.0,12.0,14.0,10.0,9.0,12.0,6.0,4.0,14.0,12.0,13.0,13.0,8.0,14.0,14.0,11.0,6.0,9.0,11.0,4.0,7.0
apotheker,9.0,9.0,20.0,6.0,10.0,9.0,8.0,7.0,13.0,9.0,14.0,8.0,13.0,9.0,8.0,8.0,13.0,11.0,8.0,11.0,10.0,9.0,13.0,10.0,11.0,9.0,10.0,14.0,6.0,13.0
archeoloog,10.0,8.0,6.0,20.0,12.0,7.0,8.0,12.0,8.0,12.0,11.0,12.0,9.0,10.0,9.0,6.0,7.0,12.0,9.0,9.0,9.0,9.0,8.0,13.0,8.0,8.0,11.0,8.0,9.0,10.0
architect,9.0,11.0,10.0,12.0,20.0,9.0,12.0,9.0,14.0,13.0,10.0,14.0,12.0,9.0,12.0,8.0,9.0,11.0,7.0,13.0,8.0,8.0,13.0,13.0,9.0,9.0,7.0,11.0,4.0,8.0
bakker,13.0,9.0,9.0,7.0,9.0,20.0,11.0,12.0,8.0,7.0,8.0,7.0,9.0,14.0,8.0,11.0,13.0,6.0,9.0,8.0,9.0,8.0,9.0,6.0,8.0,12.0,9.0,12.0,9.0,14.0
boekhouder,10.0,12.0,8.0,8.0,12.0,11.0,20.0,7.0,7.0,12.0,10.0,12.0,8.0,9.0,12.0,9.0,10.0,12.0,7.0,8.0,9.0,8.0,12.0,12.0,14.0,8.0,8.0,10.0,8.0,10.0
brandweerman,8.0,9.0,7.0,12.0,9.0,12.0,7.0,20.0,8.0,8.0,7.0,4.0,9.0,9.0,11.0,12.0,6.0,8.0,7.0,6.0,11.0,10.0,9.0,8.0,8.0,9.0,9.0,8.0,12.0,6.0
dierenarts,10.0,9.0,13.0,8.0,14.0,8.0,7.0,8.0,20.0,7.0,12.0,8.0,13.0,9.0,9.0,7.0,8.0,10.0,11.0,8.0,8.0,10.0,13.0,12.0,8.0,12.0,10.0,14.0,7.0,9.0
directeur,9.0,12.0,9.0,12.0,13.0,7.0,12.0,8.0,7.0,20.0,12.0,12.0,10.0,8.0,12.0,9.0,9.0,13.0,11.0,11.0,10.0,10.0,12.0,11.0,12.0,9.0,10.0,11.0,5.0,10.0
dokter,7.0,12.0,14.0,11.0,10.0,8.0,10.0,7.0,12.0,12.0,20.0,13.0,15.0,9.0,10.0,4.0,6.0,11.0,12.0,13.0,10.0,7.0,14.0,11.0,11.0,10.0,10.0,14.0,7.0,8.0
informaticus,10.0,14.0,8.0,12.0,14.0,7.0,12.0,4.0,8.0,12.0,13.0,20.0,7.0,9.0,11.0,6.0,8.0,12.0,5.0,11.0,10.0,8.0,13.0,11.0,11.0,7.0,9.0,13.0,4.0,7.0
kinesist,10.0,10.0,13.0,9.0,12.0,9.0,8.0,9.0,13.0,10.0,15.0,7.0,20.0,8.0,8.0,8.0,9.0,7.0,7.0,10.0,10.0,7.0,14.0,9.0,9.0,6.0,10.0,12.0,8.0,6.0
kok,9.0,9.0,9.0,10.0,9.0,14.0,9.0,9.0,9.0,8.0,9.0,9.0,8.0,20.0,10.0,8.0,10.0,8.0,11.0,7.0,10.0,10.0,8.0,9.0,8.0,12.0,11.0,14.0,8.0,11.0
leraar,9.0,12.0,8.0,9.0,12.0,8.0,12.0,11.0,9.0,12.0,10.0,11.0,8.0,10.0,20.0,10.0,9.0,10.0,16.0,10.0,10.0,9.0,13.0,8.0,11.0,11.0,10.0,10.0,9.0,8.0
