exemplar,acteur,advocaat,apotheker,archeoloog,architect,bakker,boekhouder,brandweerman,dierenarts,directeur,dokter,informaticus,kinesist,kok,leraar,loodgieter,marktkramer,minister,opvoedster,piloot,politieagent,postbode,psycholoog,rechter,secretaresse,slager,stewardess,tandarts,vuilnisman,winkelbediende
acteur,20.0,13.0,4.0,7.0,6.0,5.0,4.0,2.0,4.0,10.0,6.0,4.0,5.0,10.0,6.0,4.0,7.0,13.0,9.0,7.0,4.0,4.0,7.0,7.0,7.0,4.0,11.0,4.0,5.0,7.0
advocaat,13.0,20.0,7.0,5.0,4.0,8.0,6.0,4.0,6.0,7.0,13.0,14.0,7.0,4.0,14.0,8.0,3.0,11.0,4.0,2.0,4.0,4.0,8.0,18.0,7.0,4.0,6.0,7.0,4.0,4.0
apotheker,4.0,7.0,20.0,4.0,5.0,10.0,8.0,4.0,13.0,9.0,13.0,4.0,15.0,5.0,8.0,6.0,4.0,4.0,9.0,4.0,4.0,6.0,5.0,6.0,8.0,8.0,4.0,17.0,4.0,1.0
archeoloog,7.0,5.0,4.0,20.0,13.0,5.0,7.0,2.0,4.0,7.0,4.0,7.0,4.0,6.0,6.0,8.0,4.0,5.0,9.0,2.0,5.0,5.0,12.0,4.0,4.0,4.0,4.0,2.0,7.0,6.0
architect,6.0,4.0,5.0,13.0,20.0,12.0,12.0,6.0,9.0,12.0,7.0,6.0,5.0,4.0,4.0,9.0,5.0,9.0,6.0,2.0,4.0,4.0,4.0,5.0,7.0,6.0,4.0,6.0,4.0,3.0
bakker,5.0,8.0,10.0,5.0,12.0,20.0,2.0,4.0,2.0,6.0,2.0,8.0,4.0,13.0,2.0,7.0,6.0,4.0,7.0,4.0,4.0,6.0,4.0,3.0,4.0,14.0,7.0,4.0,4.0,12.0
boekhouder,4.0,6.0,8.0,7.0,12.0,2.0,20.0,4.0,7.0,11.0,7.0,12.0,8.0,4.0,8.0,3.0,5.0,13.0,6.0,8.0,5.0,16.0,5.0,12.0,14.0,6.0,7.0,2.0,4.0,9.0
brandweerman,2.0,4.0,4.0,2.0,6.0,4.0,4.0,20.0,4.0,3.0,9.0,3.0,5.0,6.0,7.0,3.0,2.0,5.0,5.0,8.0,15.0,4.0,6.0,7.0,7.0,6.0,8.0,8.0,8.0,12.0
dierenarts,4.0,6.0,13.0,4.0,9.0,2.0,7.0,4.0,20.0,4.0,17.0,4.0,9.0,4.0,4.0,4.0,7.0,1.0,5.0,4.0,2.0,7.0,8.0,7.0,4.0,11.0,2.0,7.0,4.0,4.0
directeur,10.0,7.0,9.0,7.0,12.0,6.0,11.0,3.0,4.0,20.0,8.0,9.0,11.0,7.0,15.0,2.0,2.0,13.0,11.0,9.0,4.0,5.0,8.0,7.0,14.0,1.0,6.0,2.0,4.0,3.0
