exemplar,badminton,ballet,baseball,basketbal,biljarten,boksen,golf,handbal,hardlopen,ijshockey,judo,kogelstoten,paardrijden,rugby,schaken,schermen,skiën,sportvissen,squash,surfen,tafeltennis,tennis,turnen,verspringen,voetbal,volleybal,wandelen,wielrennen,zeilen,zwemmen
badminton,20.0,4.0,7.0,7.0,4.0,7.0,7.0,6.0,6.0,4.0,4.0,8.0,2.0,7.0,2.0,6.0,1.0,1.0,16.0,4.0,13.0,17.0,4.0,4.0,6.0,12.0,8.0,1.0,1.0,1.0
ballet,4.0,20.0,7.0,4.0,4.0,10.0,5.0,6.0,6.0,2.0,9.0,1.0,6.0,6.0,2.0,1.0,7.0,3.0,1.0,11.0,1.0,4.0,16.0,11.0,5.0,10.0,10.0,2.0,3.0,12.0
baseball,7.0,7.0,20.0,8.0,8.0,7.0,16.0,12.0,4.0,4.0,2.0,15.0,3.0,16.0,1.0,4.0,1.0,1.0,13.0,5.0,7.0,3.0,12.0,3.0,10.0,5.0,4.0,2.0,3.0,1.0
basketbal,7.0,4.0,8.0,20.0,9.0,10.0,4.0,15.0,7.0,8.0,1.0,13.0,4.0,7.0,4.0,4.0,1.0,1.0,10.0,4.0,6.0,4.0,4.0,3.0,8.0,10.0,2.0,4.0,4.0,1.0
biljarten,4.0,4.0,8.0,9.0,20.0,8.0,15.0,8.0,1.0,10.0,1.0,6.0,5.0,4.0,6.0,3.0,2.0,6.0,9.0,4.0,8.0,6.0,4.0,3.0,8.0,5.0,7.0,1.0,1.0,3.0
boksen,7.0,10.0,7.0,10.0,8.0,20.0,6.0,3.0,1.0,3.0,13.0,12.0,3.0,12.0,1.0,14.0,1.0,2.0,6.0,2.0,4.0,6.0,2.0,6.0,2.0,11.0,8.0,2.0,1.0,2.0
golf,7.0,5.0,16.0,4.0,15.0,6.0,20.0,3.0,2.0,16.0,1.0,9.0,3.0,6.0,2.0,3.0,3.0,3.0,10.0,1.0,10.0,5.0,10.0,5.0,11.0,3.0,13.0,1.0,4.0,4.0
handbal,6.0,6.0,12.0,15.0,8.0,3.0,3.0,20.0,4.0,3.0,4.0,12.0,1.0,16.0,2.0,4.0,1.0,1.0,10.0,4.0,4.0,4.0,4.0,9.0,15.0,9.0,13.0,1.0,3.0,4.0
hardlopen,6.0,6.0,4.0,7.0,1.0,1.0,2.0,4.0,20.0,7.0,4.0,12.0,10.0,15.0,1.0,2.0,10.0,6.0,10.0,2.0,2.0,3.0,10.0,13.0,12.0,4.0,18.0,14.0,8.0,10.0
ijshockey,4.0,2.0,4.0,8.0,10.0,3.0,16.0,3.0,7.0,20.0,1.0,10.0,1.0,10.0,1.0,12.0,7.0,1.0,13.0,2.0,7.0,1.0,5.0,4.0,12.0,7.0,12.0,3.0,1.0,2.0
judo,4.0,9.0,2.0,1.0,1.0,13.0,1.0,4.0,4.0,1.0,20.0,4.0,2.0,12.0,2.0,10.0,1.0,2.0,2.0,2.0,4.0,5.0,10.0,5.0,5.0,2.0,4.0,2.0,2.0,1.0
kogelstoten,8.0,1.0,15.0,13.0,6.0,12.0,9.0,12.0,12.0,10.0,4.0,20.0,2.0,15.0,1.0,4.0,1.0,1.0,10.0,1.0,5.0,7.0,5.0,13.0,8.0,5.0,11.0,1.0,1.0,1.0
paardrijden,2.0,6.0,3.0,4.0,5.0,3.0,3.0,1.0,10.0,1.0,2.0,2.0,20.0,4.0,4.0,2.0,8.0,8.0,1.0,7.0,6.0,1.0,2.0,9.0,1.0,1.0,10.0,2.0,8.0,1.0
