exemplar,badminton,ballet,baseball,basketbal,biljarten,boksen,golf,handbal,hardlopen,ijshockey,judo,kogelstoten,paardrijden,rugby,schaken,schermen,skiën,sportvissen,squash,surfen,tafeltennis,tennis,turnen,verspringen,voetbal,volleybal,wandelen,wielrennen,zeilen,zwemmen
badminton,20.0,14.0,5.0,7.0,7.0,2.0,8.0,6.0,4.0,8.0,6.0,6.0,3.0,2.0,13.0,8.0,3.0,3.0,15.0,5.0,14.0,4.0,12.0,2.0,8.0,6.0,6.0,4.0,4.0,8.0
ballet,14.0,20.0,2.0,2.0,15.0,1.0,4.0,4.0,4.0,1.0,2.0,3.0,4.0,2.0,7.0,5.0,3.0,2.0,2.0,5.0,11.0,7.0,18.0,5.0,3.0,9.0,8.0,4.0,3.0,4.0
baseball,5.0,2.0,20.0,7.0,4.0,13.0,2.0,7.0,8.0,14.0,6.0,16.0,3.0,18.0,3.0,2.0,4.0,3.0,17.0,3.0,2.0,2.0,5.0,2.0,10.0,13.0,3.0,4.0,4.0,3.0
basketbal,7.0,2.0,7.0,20.0,4.0,9.0,7.0,16.0,6.0,5.0,4.0,10.0,4.0,5.0,2.0,3.0,2.0,3.0,5.0,6.0,4.0,4.0,6.0,10.0,15.0,9.0,7.0,3.0,3.0,3.0
biljarten,7.0,15.0,4.0,4.0,20.0,2.0,14.0,4.0,3.0,8.0,2.0,6.0,3.0,2.0,14.0,6.0,3.0,5.0,5.0,5.0,4.0,6.0,5.0,2.0,3.0,4.0,12.0,4.0,4.0,8.0
boksen,2.0,1.0,13.0,9.0,2.0,20.0,2.0,6.0,11.0,4.0,12.0,11.0,3.0,16.0,1.0,2.0,4.0,2.0,4.0,2.0,2.0,2.0,1.0,11.0,9.0,2.0,3.0,4.0,3.0,2.0
golf,8.0,4.0,2.0,7.0,14.0,2.0,20.0,3.0,3.0,12.0,6.0,7.0,7.0,4.0,16.0,4.0,3.0,4.0,14.0,6.0,12.0,6.0,8.0,4.0,4.0,3.0,8.0,6.0,8.0,4.0
handbal,6.0,4.0,7.0,16.0,4.0,6.0,3.0,20.0,9.0,5.0,4.0,7.0,3.0,6.0,3.0,4.0,5.0,3.0,3.0,3.0,9.0,9.0,6.0,9.0,16.0,14.0,3.0,5.0,4.0,3.0
hardlopen,4.0,4.0,8.0,6.0,3.0,11.0,3.0,9.0,20.0,10.0,9.0,10.0,11.0,8.0,1.0,4.0,6.0,3.0,5.0,6.0,3.0,5.0,5.0,9.0,8.0,5.0,11.0,5.0,5.0,6.0
ijshockey,8.0,1.0,14.0,5.0,8.0,4.0,12.0,5.0,10.0,20.0,12.0,5.0,3.0,15.0,5.0,4.0,3.0,4.0,4.0,5.0,3.0,3.0,3.0,4.0,6.0,5.0,3.0,3.0,6.0,11.0
judo,6.0,2.0,6.0,4.0,2.0,12.0,6.0,4.0,9.0,12.0,20.0,7.0,3.0,9.0,3.0,3.0,2.0,3.0,7.0,3.0,3.0,8.0,7.0,4.0,3.0,6.0,2.0,4.0,5.0,3.0
kogelstoten,6.0,3.0,16.0,10.0,6.0,11.0,7.0,7.0,10.0,5.0,7.0,20.0,2.0,6.0,2.0,3.0,2.0,3.0,11.0,3.0,6.0,10.0,6.0,9.0,7.0,10.0,2.0,3.0,2.0,3.0
paardrijden,3.0,4.0,3.0,4.0,3.0,3.0,7.0,3.0,11.0,3.0,3.0,2.0,20.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,10.0,3.0,3.0
rugby,2.0,2.0,18.0,5.0,2.0,16.0,4.0,6.0,8.0,15.0,9.0,6.0,3.0,20.0,7.0,3.0,6.0,2.0,2.0,2.0,6.0,7.0,3.0,8.0,7.0,7.0,12.0,2.0,6.0,3.0
schaken,13.0,7.0,3.0,2.0,14.0,1.0,16.0,3.0,1.0,5.0,3.0,2.0,4.0,7.0,20.0,10.0,2.0,9.0,4.0,4.0,13.0,5.0,6.0,2.0,2.0,2.0,15.0,2.0,3.0,2.0
schermen,8.0,5.0,2.0,3.0,6.0,2.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,10.0,20.0,5.0,2.0,6.0,3.0,6.0,6.0,3.0,6.0,6.0,4.0,4.0,2.0,8.0,2.0
skiën,3.0,3.0,4.0,2.0,3.0,4.0,3.0,5.0,6.0,3.0,2.0,2.0,3.0,6.0,2.0,5.0,20.0,2.0,6.0,12.0,4.0,7.0,3.0,5.0,4.0,3.0,12.0,6.0,4.0,3.0
sportvissen,3.0,2.0,3.0,3.0,5.0,2.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,2.0,9.0,2.0,2.0,20.0,2.0,13.0,7.0,3.0,3.0,3.0,4.0,3.0,11.0,3.0,13.0,18.0
squash,15.0,2.0,17.0,5.0,5.0,4.0,14.0,3.0,5.0,4.0,7.0,11.0,3.0,2.0,4.0,6.0,6.0,2.0,20.0,3.0,11.0,19.0,4.0,6.0,7.0,7.0,12.0,3.0,5.0,5.0
surfen,5.0,5.0,3.0,6.0,5.0,2.0,6.0,3.0,6.0,5.0,3.0,3.0,3.0,2.0,4.0,3.0,12.0,13.0,3.0,20.0,5.0,3.0,3.0,3.0,5.0,3.0,4.0,3.0,19.0,16.0
tafeltennis,14.0,11.0,2.0,4.0,4.0,2.0,12.0,9.0,3.0,3.0,3.0,6.0,3.0,6.0,13.0,6.0,4.0,7.0,11.0,5.0,20.0,18.0,3.0,3.0,4.0,7.0,8.0,3.0,2.0,3.0
tennis,4.0,7.0,2.0,4.0,6.0,2.0,6.0,9.0,5.0,3.0,8.0,10.0,4.0,7.0,5.0,6.0,7.0,3.0,19.0,3.0,18.0,20.0,3.0,5.0,8.0,5.0,6.0,4.0,4.0,3.0
turnen,12.0,18.0,5.0,6.0,5.0,1.0,8.0,6.0,5.0,3.0,7.0,6.0,3.0,3.0,6.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,20.0,8.0,2.0,8.0,4.0,5.0,4.0,8.0
verspringen,2.0,5.0,2.0,10.0,2.0,11.0,4.0,9.0,9.0,4.0,4.0,9.0,3.0,8.0,2.0,6.0,5.0,3.0,6.0,3.0,3.0,5.0,8.0,20.0,11.0,4.0,6.0,3.0,3.0,2.0
voetbal,8.0,3.0,10.0,15.0,3.0,9.0,4.0,16.0,8.0,6.0,3.0,7.0,3.0,7.0,2.0,6.0,4.0,4.0,7.0,5.0,4.0,8.0,2.0,11.0,20.0,8.0,8.0,3.0,6.0,2.0
volleybal,6.0,9.0,13.0,9.0,4.0,2.0,3.0,14.0,5.0,5.0,6.0,10.0,3.0,7.0,2.0,4.0,3.0,3.0,7.0,3.0,7.0,5.0,8.0,4.0,8.0,20.0,3.0,3.0,3.0,4.0
wandelen,6.0,8.0,3.0,7.0,12.0,3.0,8.0,3.0,11.0,3.0,2.0,2.0,3.0,12.0,15.0,4.0,12.0,11.0,12.0,4.0,8.0,6.0,4.0,6.0,8.0,3.0,20.0,13.0,6.0,4.0
wielrennen,4.0,4.0,4.0,3.0,4.0,4.0,6.0,5.0,5.0,3.0,4.0,3.0,10.0,2.0,2.0,2.0,6.0,3.0,3.0,3.0,3.0,4.0,5.0,3.0,3.0,3.0,13.0,20.0,3.0,3.0
zeilen,4.0,3.0,4.0,3.0,4.0,3.0,8.0,4.0,5.0,6.0,5.0,2.0,3.0,6.0,3.0,8.0,4.0,13.0,5.0,19.0,2.0,4.0,4.0,3.0,6.0,3.0,6.0,3.0,20.0,17.0
zwemmen,8.0,4.0,3.0,3.0,8.0,2.0,4.0,3.0,6.0,11.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,18.0,5.0,16.0,3.0,3.0,8.0,2.0,2.0,4.0,4.0,3.0,17.0,20.0
