exemplar,badminton,ballet,baseball,basketbal,biljarten,boksen,golf,handbal,hardlopen,ijshockey,judo,kogelstoten,paardrijden,rugby,schaken,schermen,skiën,sportvissen,squash,surfen,tafeltennis,tennis,turnen,verspringen,voetbal,volleybal,wandelen,wielrennen,zeilen,zwemmen
badminton,20.0,1.0,14.0,1.0,2.0,1.0,3.0,4.0,1.0,4.0,1.0,2.0,1.0,2.0,4.0,6.0,1.0,1.0,15.0,1.0,11.0,13.0,3.0,1.0,4.0,12.0,2.0,1.0,1.0,1.0
ballet,1.0,20.0,2.0,4.0,1.0,13.0,2.0,4.0,2.0,11.0,6.0,1.0,2.0,6.0,2.0,4.0,3.0,1.0,4.0,2.0,3.0,5.0,16.0,6.0,5.0,2.0,3.0,1.0,1.0,5.0
baseball,14.0,2.0,20.0,5.0,2.0,4.0,2.0,3.0,5.0,4.0,1.0,13.0,1.0,10.0,1.0,3.0,1.0,1.0,12.0,1.0,3.0,6.0,5.0,4.0,3.0,4.0,2.0,1.0,1.0,1.0
basketbal,1.0,4.0,5.0,20.0,1.0,5.0,2.0,10.0,8.0,7.0,1.0,8.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,5.0,5.0,2.0,5.0,5.0,3.0,1.0,1.0,1.0
biljarten,2.0,1.0,2.0,1.0,20.0,1.0,3.0,2.0,1.0,2.0,1.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0
boksen,1.0,13.0,4.0,5.0,1.0,20.0,1.0,2.0,4.0,4.0,9.0,5.0,1.0,9.0,2.0,13.0,1.0,1.0,2.0,1.0,6.0,6.0,12.0,3.0,2.0,2.0,4.0,1.0,1.0,1.0
golf,3.0,2.0,2.0,2.0,3.0,1.0,20.0,2.0,3.0,7.0,1.0,4.0,1.0,1.0,3.0,2.0,2.0,1.0,10.0,1.0,4.0,2.0,2.0,1.0,3.0,2.0,16.0,1.0,1.0,1.0
handbal,4.0,4.0,3.0,10.0,2.0,2.0,2.0,20.0,4.0,5.0,2.0,9.0,1.0,11.0,1.0,1.0,1.0,1.0,3.0,1.0,6.0,5.0,4.0,2.0,12.0,4.0,2.0,3.0,1.0,1.0
hardlopen,1.0,2.0,5.0,8.0,1.0,4.0,3.0,4.0,20.0,4.0,2.0,2.0,6.0,6.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,5.0,7.0,4.0,5.0,4.0,15.0,5.0,1.0,2.0
ijshockey,4.0,11.0,4.0,7.0,2.0,4.0,7.0,5.0,4.0,20.0,4.0,1.0,1.0,8.0,1.0,5.0,5.0,2.0,2.0,1.0,3.0,9.0,5.0,2.0,7.0,3.0,4.0,1.0,1.0,3.0
judo,1.0,6.0,1.0,1.0,1.0,9.0,1.0,2.0,2.0,4.0,20.0,1.0,1.0,12.0,1.0,12.0,1.0,1.0,1.0,1.0,1.0,2.0,14.0,4.0,2.0,2.0,2.0,1.0,1.0,1.0
kogelstoten,2.0,1.0,13.0,8.0,3.0,5.0,4.0,9.0,2.0,1.0,1.0,20.0,1.0,5.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,4.0,2.0,2.0,3.0,2.0,2.0,1.0,1.0
paardrijden,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,6.0,5.0,3.0,1.0
rugby,2.0,6.0,10.0,2.0,1.0,9.0,1.0,11.0,6.0,8.0,12.0,5.0,1.0,20.0,1.0,2.0,1.0,1.0,4.0,1.0,2.0,4.0,9.0,1.0,3.0,7.0,4.0,1.0,1.0,1.0
schaken,4.0,2.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0
schermen,6.0,4.0,3.0,1.0,2.0,13.0,2.0,1.0,2.0,5.0,12.0,1.0,1.0,2.0,1.0,20.0,2.0,1.0,4.0,1.0,8.0,10.0,6.0,1.0,1.0,2.0,5.0,1.0,1.0,1.0
skiën,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,5.0,1.0,1.0,8.0,1.0,1.0,2.0,20.0,1.0,1.0,5.0,2.0,1.0,11.0,2.0,1.0,1.0,5.0,2.0,1.0,3.0
sportvissen,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,20.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,10.0,2.0
squash,15.0,4.0,12.0,3.0,3.0,2.0,10.0,3.0,2.0,2.0,1.0,1.0,1.0,4.0,2.0,4.0,1.0,1.0,20.0,1.0,14.0,17.0,5.0,2.0,1.0,3.0,4.0,1.0,1.0,1.0
surfen,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,2.0,1.0,20.0,1.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,14.0,1.0
tafeltennis,11.0,3.0,3.0,1.0,3.0,6.0,4.0,6.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,8.0,2.0,1.0,14.0,1.0,20.0,17.0,1.0,1.0,3.0,5.0,2.0,1.0,2.0,1.0
tennis,13.0,5.0,6.0,5.0,2.0,6.0,2.0,5.0,5.0,9.0,2.0,2.0,1.0,4.0,2.0,10.0,1.0,1.0,17.0,1.0,17.0,20.0,6.0,1.0,5.0,14.0,2.0,1.0,2.0,1.0
turnen,3.0,16.0,5.0,5.0,1.0,12.0,2.0,4.0,7.0,5.0,14.0,4.0,1.0,9.0,1.0,6.0,11.0,1.0,5.0,4.0,1.0,6.0,20.0,8.0,10.0,10.0,6.0,2.0,1.0,5.0
verspringen,1.0,6.0,4.0,2.0,1.0,3.0,1.0,2.0,4.0,2.0,4.0,2.0,4.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,8.0,20.0,2.0,2.0,2.0,1.0,1.0,2.0
voetbal,4.0,5.0,3.0,5.0,1.0,2.0,3.0,12.0,5.0,7.0,2.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,5.0,10.0,2.0,20.0,2.0,8.0,1.0,1.0,1.0
volleybal,12.0,2.0,4.0,5.0,2.0,2.0,2.0,4.0,4.0,3.0,2.0,3.0,1.0,7.0,1.0,2.0,1.0,1.0,3.0,1.0,5.0,14.0,10.0,2.0,2.0,20.0,2.0,1.0,1.0,2.0
wandelen,2.0,3.0,2.0,3.0,1.0,4.0,16.0,2.0,15.0,4.0,2.0,2.0,6.0,4.0,2.0,5.0,5.0,2.0,4.0,1.0,2.0,2.0,6.0,2.0,8.0,2.0,20.0,1.0,2.0,1.0
wielrennen,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,5.0,1.0,1.0,2.0,5.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0
zeilen,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,10.0,1.0,14.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,20.0,8.0
zwemmen,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,5.0,2.0,1.0,2.0,1.0,1.0,8.0,20.0
