exemplar,bought in a store,can be dangerous,can be dishwashed,can be electronic,can be used to cut things,can be used to eat with,can stand heat,comes in different materials,comes in very handy,especially used by women,everybody has it,exists in different forms,exists in different kinds,feels cold to the skin,has a grip,has been existing for a long time,has to be washed after use,is a tool,is bought in a specialist shop,is electronic,is expensive,is firm,is found in a cupboard,is functional,is grey,is indispensable,is multifunctional,is sharp,is sometimes given to newly-weds as a present,is used to prepare food,is white,made of metal,made of plastic,made of wood,makes work in the kitchen easier,produces noise,used for cooking,used in the kitchen,used to store food
apron,4,0,1,0,0,0,2,1,2,3,0,3,3,0,0,2,0,1,1,0,0,1,2,3,0,1,2,0,1,1,1,0,1,0,1,0,3,4,0
bottle,4,0,2,0,0,0,2,4,1,0,4,4,2,1,0,4,1,1,1,0,0,4,3,4,0,2,4,0,2,0,0,0,4,0,2,0,1,4,2
bowl,4,0,4,0,0,1,3,4,3,1,3,3,4,0,1,4,4,1,2,0,0,3,4,4,0,1,4,0,2,4,0,2,3,1,3,0,3,4,3
can opener,4,2,2,2,1,0,2,2,4,0,3,3,2,2,3,1,0,3,1,0,0,4,4,4,0,2,1,1,1,3,0,4,4,0,4,1,0,4,0
colander,4,0,4,0,0,0,1,4,3,1,0,4,3,0,4,1,4,2,2,0,0,4,4,4,0,1,0,0,1,4,0,3,4,0,4,0,4,4,0
electric kettle,4,1,0,3,0,0,2,2,4,1,0,4,3,0,2,1,0,2,2,3,1,2,4,4,0,1,0,0,3,3,1,2,4,0,4,2,3,4,0
fork,4,0,4,0,0,4,3,4,3,0,4,3,3,2,1,4,4,2,1,0,0,4,4,4,1,2,2,3,3,3,0,3,2,0,3,0,4,4,0
fridge,4,0,0,3,0,0,0,3,3,1,4,3,3,3,4,2,0,1,3,3,4,4,0,4,0,2,1,0,4,0,1,4,4,0,3,3,1,4,4
glass,4,2,4,0,0,0,3,0,2,0,4,4,4,1,0,3,4,1,1,0,0,2,4,4,0,2,2,0,2,0,0,0,0,0,3,0,1,4,0
grater,4,1,4,0,0,0,1,2,4,1,0,3,3,2,3,2,4,2,2,0,0,3,4,4,1,1,1,1,2,4,0,4,1,0,4,0,4,4,0
kettle,4,0,4,0,0,0,4,3,2,1,0,1,2,1,3,4,4,1,2,0,0,3,4,3,2,2,1,0,1,4,0,4,0,0,4,2,2,4,0
knife,4,3,4,0,4,4,3,4,2,0,4,3,4,2,2,4,4,2,1,0,0,4,4,3,1,2,3,4,3,3,0,4,2,0,4,0,4,4,0
microwave oven,4,1,1,4,0,0,3,2,3,1,1,3,3,1,1,1,1,1,3,4,3,3,0,4,0,1,4,0,4,4,0,4,4,0,4,3,3,4,0
mixer,4,3,4,3,1,0,1,2,4,2,0,3,4,1,4,1,4,2,2,4,1,3,4,4,0,1,4,1,4,4,1,4,4,0,4,4,3,4,0
mug,4,0,4,0,0,1,3,3,2,0,4,4,4,2,3,3,4,1,2,0,0,3,4,4,0,1,2,0,3,1,1,0,0,0,3,0,1,4,1
nutcracker,4,0,4,0,0,0,0,2,3,0,0,3,3,0,2,2,0,3,2,0,0,4,4,3,0,1,0,0,1,1,0,4,3,0,4,0,0,4,0
oven,4,4,0,3,0,0,4,3,2,2,0,3,3,0,2,4,1,1,4,4,3,4,0,4,1,1,4,0,3,4,0,4,0,0,4,2,4,4,0
pan,4,1,4,0,0,0,4,4,3,1,4,4,4,1,2,3,4,1,2,0,0,4,4,4,1,2,1,0,3,4,0,4,1,0,4,0,4,4,0
percolator,4,0,1,3,0,0,3,2,4,1,0,3,4,0,1,1,2,1,3,4,2,3,2,4,0,1,1,0,3,2,0,3,4,0,3,2,0,4,0
place mat,4,0,2,1,0,0,4,4,3,0,2,4,3,0,0,1,0,1,1,0,0,1,4,4,0,1,1,0,1,0,0,1,3,1,2,0,0,4,0
plate,4,0,4,0,0,2,3,4,3,0,4,4,4,2,0,4,4,1,2,0,0,3,4,4,1,2,3,0,4,1,1,0,2,0,3,0,0,4,0
pot,4,0,4,0,0,0,4,4,2,1,4,4,4,1,4,4,4,1,2,0,0,4,4,4,1,2,2,0,3,4,0,4,1,0,3,0,4,4,2
scales,4,0,0,2,0,0,1,3,4,1,0,4,4,0,0,2,1,2,3,2,0,2,4,4,0,1,1,0,3,3,0,4,3,0,4,0,3,4,0
scissors,4,2,4,0,2,0,1,2,4,0,4,2,4,2,3,4,1,3,1,0,0,3,4,4,1,2,2,4,1,0,0,4,2,0,4,0,3,4,0
