exemplar,builds nests,can fly,can walk,chirps (tsjilpt),eats small animals,eats worms,flutters,has a beak,has a bill,has air sacs,has beady eyes,has feathers,has legs (poten),has two paws,has two wings,has wings,in the morning,is a migratory bird,is able to reproduce,is an animal,is found in trees,is sometimes eaten by man,is sometimes kept as a pet,lays eggs,lives in a cage,lives in the wild,sings,sings (whistles)
blackbird,4,4,4,1,0,4,4,4,4,3,3,4,4,4,4,4,0,1,4,4,4,0,1,4,0,4,3,2
canary,4,4,4,2,0,1,4,4,4,3,0,4,4,4,4,4,0,0,4,4,4,0,4,4,4,2,3,4
chickadee,4,4,4,2,0,3,4,4,4,3,1,4,4,4,4,4,0,1,4,4,4,0,1,4,0,4,2,2
chicken,3,2,4,0,0,3,1,4,4,1,0,4,4,4,4,4,0,0,4,4,0,4,4,4,0,0,0,0
crow,4,4,4,0,1,4,4,4,4,3,3,4,4,4,4,4,1,1,4,4,4,0,0,4,0,4,0,0
cuckoo,3,4,4,0,0,4,3,4,4,3,0,4,4,4,4,4,0,1,4,4,4,0,0,4,1,4,1,1
dove,4,4,4,0,0,2,4,4,4,3,0,4,4,4,4,4,0,0,4,4,4,4,2,4,0,4,0,0
duck,3,3,4,0,0,1,3,4,4,2,0,4,4,4,4,4,0,3,4,4,0,3,3,4,0,4,0,0
eagle,4,4,4,0,4,1,2,4,4,3,0,4,4,4,4,4,0,0,4,4,3,0,1,4,0,4,0,0
falcon,4,4,4,0,4,1,3,4,4,3,0,4,4,4,4,4,0,0,4,4,4,0,0,4,0,4,0,0
heron,4,4,4,0,2,1,3,4,4,3,0,4,4,4,4,4,0,3,4,4,3,0,0,4,0,4,0,0
magpie,4,4,4,0,0,4,4,4,4,3,2,4,4,4,4,4,0,1,4,4,4,0,0,4,0,4,1,1
ostrich,3,0,4,0,2,1,1,4,4,1,0,4,4,4,4,4,0,1,4,4,0,4,1,4,0,3,0,0
owl,4,4,4,0,4,2,3,4,4,3,0,4,4,4,4,4,0,0,4,4,4,0,0,4,0,4,0,0
parakeet,4,4,4,1,0,1,3,4,4,3,0,4,4,4,4,4,0,0,4,4,4,0,4,4,4,2,2,2
parrot,4,4,4,0,0,1,4,4,4,3,0,4,4,4,4,4,0,2,4,4,4,0,4,4,3,4,0,1
peacock,4,2,4,0,0,3,1,4,4,1,0,4,4,4,4,4,0,0,4,4,0,0,4,4,0,3,1,1
pelican,4,4,4,0,2,0,2,4,4,2,0,4,4,4,4,4,0,1,4,4,2,0,0,4,0,4,0,0
penguin,3,0,4,0,2,0,1,4,4,2,0,2,4,4,4,4,0,0,4,4,0,0,0,4,0,4,0,0
pheasant,4,4,4,0,0,4,2,4,4,1,0,4,4,4,4,4,0,0,4,4,1,4,2,4,0,4,0,0
robin,4,4,4,2,0,3,4,4,4,3,1,4,4,4,4,4,0,0,4,4,4,0,0,4,0,4,1,2
rooster,1,2,4,0,0,3,1,4,4,1,0,4,4,4,4,4,3,0,4,4,0,3,4,2,0,0,0,0
seagull,4,4,4,0,1,0,4,4,4,3,0,4,4,4,4,4,0,1,4,4,1,0,0,4,0,4,0,0
sparrow,4,4,4,4,0,2,4,4,4,3,2,4,4,4,4,4,0,0,4,4,4,0,0,4,0,4,2,2
stork,4,4,4,0,2,2,3,4,4,3,0,4,4,4,4,4,0,3,4,4,3,0,1,4,0,4,0,1
swallow,4,4,4,0,1,3,4,4,4,3,0,4,4,4,4,4,0,4,4,4,2,0,0,3,0,3,2,1
swan,3,4,4,0,1,1,2,4,4,2,0,4,4,4,4,4,0,2,4,4,1,0,3,4,0,4,1,0
turkey,3,2,4,0,0,1,1,4,4,1,0,4,4,4,4,4,0,0,4,4,0,4,4,4,0,1,0,0
vulture,4,4,4,0,4,0,2,4,4,3,0,4,4,4,4,4,0,0,4,4,3,0,0,4,0,4,0,0
woodpecker,4,4,4,0,0,4,4,4,4,3,0,4,4,4,4,4,0,0,4,4,4,0,0,4,0,4,0,1
