exemplar,bazooka,bijl,boksbeugel,boog,dolk,geweer,granaat,kanon,katapult,knuppel,mitrailleur,pistool,schild,speer,stok,tank,touw,tweeloop,zwaard,zweep
bazooka,20.0,1.0,1.0,1.0,1.0,15.0,1.0,20.0,15.0,1.0,10.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,20.0,1.0
bijl,1.0,20.0,1.0,1.0,15.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,20.0,1.0,20.0,1.0,20.0,1.0
boksbeugel,1.0,1.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
boog,1.0,1.0,1.0,20.0,2.0,10.0,1.0,10.0,20.0,1.0,1.0,1.0,1.0,20.0,20.0,1.0,20.0,1.0,1.0,1.0
dolk,1.0,15.0,1.0,2.0,20.0,2.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,15.0,1.0,1.0,1.0,1.0,20.0,1.0
geweer,15.0,1.0,1.0,10.0,2.0,20.0,1.0,1.0,1.0,1.0,15.0,20.0,1.0,1.0,1.0,1.0,1.0,20.0,5.0,1.0
granaat,1.0,1.0,1.0,1.0,1.0,1.0,20.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,1.0
kanon,20.0,1.0,1.0,10.0,1.0,1.0,20.0,20.0,15.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
katapult,15.0,1.0,1.0,20.0,1.0,1.0,1.0,15.0,20.0,1.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,5.0,1.0,1.0
knuppel,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,20.0,20.0,20.0,1.0,1.0,10.0,15.0,1.0
mitrailleur,10.0,1.0,15.0,1.0,10.0,15.0,1.0,1.0,1.0,1.0,20.0,15.0,1.0,15.0,1.0,1.0,1.0,20.0,1.0,10.0
pistool,1.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,1.0,15.0,20.0,1.0,1.0,1.0,1.0,1.0,15.0,1.0,1.0
schild,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,20.0,1.0,1.0,1.0,1.0,1.0,20.0,1.0
speer,1.0,20.0,1.0,20.0,15.0,1.0,1.0,1.0,1.0,20.0,15.0,1.0,1.0,20.0,20.0,1.0,1.0,1.0,20.0,1.0
stok,1.0,20.0,1.0,20.0,1.0,1.0,1.0,1.0,20.0,20.0,1.0,1.0,1.0,20.0,20.0,1.0,1.0,1.0,1.0,1.0
tank,20.0,1.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,20.0,5.0,1.0,1.0
touw,1.0,20.0,1.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,20.0,1.0,1.0,20.0
tweeloop,1.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,5.0,10.0,20.0,15.0,1.0,1.0,1.0,5.0,1.0,20.0,1.0,1.0
zwaard,20.0,20.0,1.0,1.0,20.0,5.0,1.0,1.0,1.0,15.0,1.0,1.0,20.0,20.0,1.0,1.0,1.0,1.0,20.0,1.0
zweep,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,20.0
