exemplar,bazooka,bijl,boksbeugel,boog,dolk,geweer,granaat,kanon,katapult,knuppel,mitrailleur,pistool,schild,speer,stok,tank,touw,tweeloop,zwaard,zweep
bazooka,20.0,5.0,4.0,3.0,5.0,9.0,6.0,14.0,10.0,6.0,9.0,10.0,2.0,4.0,5.0,10.0,4.0,10.0,6.0,4.0
bijl,5.0,20.0,7.0,4.0,12.0,6.0,7.0,4.0,5.0,12.0,6.0,5.0,5.0,7.0,9.0,6.0,4.0,5.0,10.0,4.0
boksbeugel,4.0,7.0,20.0,4.0,8.0,4.0,4.0,7.0,5.0,8.0,6.0,4.0,3.0,4.0,6.0,6.0,7.0,5.0,7.0,5.0
boog,3.0,4.0,4.0,20.0,5.0,4.0,3.0,8.0,9.0,5.0,5.0,8.0,2.0,7.0,8.0,5.0,8.0,8.0,7.0,10.0
dolk,5.0,12.0,8.0,5.0,20.0,6.0,4.0,3.0,6.0,9.0,6.0,5.0,2.0,11.0,12.0,3.0,5.0,4.0,13.0,6.0
geweer,9.0,6.0,4.0,4.0,6.0,20.0,5.0,11.0,6.0,8.0,14.0,15.0,4.0,8.0,5.0,6.0,6.0,16.0,6.0,4.0
granaat,6.0,7.0,4.0,3.0,4.0,5.0,20.0,7.0,5.0,6.0,7.0,8.0,3.0,4.0,6.0,2.0,3.0,4.0,5.0,6.0
kanon,14.0,4.0,7.0,8.0,3.0,11.0,7.0,20.0,10.0,3.0,9.0,8.0,2.0,8.0,7.0,10.0,4.0,10.0,4.0,8.0
katapult,10.0,5.0,5.0,9.0,6.0,6.0,5.0,10.0,20.0,9.0,9.0,7.0,8.0,13.0,8.0,8.0,9.0,6.0,7.0,11.0
knuppel,6.0,12.0,8.0,5.0,9.0,8.0,6.0,3.0,9.0,20.0,7.0,8.0,5.0,8.0,11.0,3.0,6.0,8.0,12.0,11.0
mitrailleur,9.0,6.0,6.0,5.0,6.0,14.0,7.0,9.0,9.0,7.0,20.0,9.0,4.0,7.0,7.0,8.0,7.0,10.0,7.0,7.0
pistool,10.0,5.0,4.0,8.0,5.0,15.0,8.0,8.0,7.0,8.0,9.0,20.0,3.0,6.0,7.0,8.0,3.0,12.0,6.0,5.0
schild,2.0,5.0,3.0,2.0,2.0,4.0,3.0,2.0,8.0,5.0,4.0,3.0,20.0,2.0,9.0,3.0,5.0,6.0,4.0,4.0
speer,4.0,7.0,4.0,7.0,11.0,8.0,4.0,8.0,13.0,8.0,7.0,6.0,2.0,20.0,9.0,6.0,8.0,7.0,8.0,7.0
stok,5.0,9.0,6.0,8.0,12.0,5.0,6.0,7.0,8.0,11.0,7.0,7.0,9.0,9.0,20.0,5.0,6.0,8.0,9.0,8.0
tank,10.0,6.0,6.0,5.0,3.0,6.0,2.0,10.0,8.0,3.0,8.0,8.0,3.0,6.0,5.0,20.0,3.0,8.0,3.0,3.0
touw,4.0,4.0,7.0,8.0,5.0,6.0,3.0,4.0,9.0,6.0,7.0,3.0,5.0,8.0,6.0,3.0,20.0,3.0,8.0,17.0
tweeloop,10.0,5.0,5.0,8.0,4.0,16.0,4.0,10.0,6.0,8.0,10.0,12.0,6.0,7.0,8.0,8.0,3.0,20.0,7.0,5.0
zwaard,6.0,10.0,7.0,7.0,13.0,6.0,5.0,4.0,7.0,12.0,7.0,6.0,4.0,8.0,9.0,3.0,8.0,7.0,20.0,9.0
zweep,4.0,4.0,5.0,10.0,6.0,4.0,6.0,8.0,11.0,11.0,7.0,5.0,4.0,7.0,8.0,3.0,17.0,5.0,9.0,20.0
