exemplar,bazooka,bijl,boksbeugel,boog,dolk,geweer,granaat,kanon,katapult,knuppel,mitrailleur,pistool,schild,speer,stok,tank,touw,tweeloop,zwaard,zweep
bazooka,20.0,14.0,16.0,8.0,12.0,16.0,18.0,17.0,18.0,14.0,18.0,14.0,7.0,12.0,8.0,17.0,7.0,14.0,5.0,12.0
bijl,14.0,20.0,16.0,17.0,18.0,14.0,12.0,16.0,16.0,18.0,10.0,12.0,18.0,18.0,18.0,16.0,10.0,12.0,18.0,17.0
boksbeugel,16.0,16.0,20.0,12.0,18.0,13.0,17.0,12.0,11.0,16.0,18.0,18.0,12.0,10.0,12.0,15.0,11.0,11.0,14.0,13.0
boog,8.0,17.0,12.0,20.0,19.0,14.0,17.0,16.0,17.0,11.0,13.0,15.0,19.0,19.0,10.0,17.0,18.0,13.0,18.0,15.0
dolk,12.0,18.0,18.0,19.0,20.0,14.0,12.0,14.0,17.0,18.0,16.0,15.0,19.0,19.0,12.0,11.0,12.0,12.0,19.0,17.0
geweer,16.0,14.0,13.0,14.0,14.0,20.0,17.0,14.0,17.0,14.0,18.0,16.0,15.0,18.0,13.0,13.0,17.0,19.0,12.0,14.0
granaat,18.0,12.0,17.0,17.0,12.0,17.0,20.0,18.0,16.0,14.0,15.0,19.0,14.0,13.0,12.0,18.0,8.0,16.0,12.0,12.0
kanon,17.0,16.0,12.0,16.0,14.0,14.0,18.0,20.0,18.0,11.0,18.0,17.0,17.0,14.0,12.0,18.0,13.0,15.0,11.0,7.0
katapult,18.0,16.0,11.0,17.0,17.0,17.0,16.0,18.0,20.0,16.0,17.0,6.0,15.0,19.0,14.0,16.0,17.0,18.0,16.0,16.0
knuppel,14.0,18.0,16.0,11.0,18.0,14.0,14.0,11.0,16.0,20.0,14.0,17.0,18.0,18.0,20.0,12.0,17.0,16.0,13.0,13.0
mitrailleur,18.0,10.0,18.0,13.0,16.0,18.0,15.0,18.0,17.0,14.0,20.0,19.0,10.0,16.0,12.0,19.0,7.0,18.0,15.0,11.0
pistool,14.0,12.0,18.0,15.0,15.0,16.0,19.0,17.0,6.0,17.0,19.0,20.0,13.0,14.0,14.0,18.0,14.0,17.0,14.0,16.0
schild,7.0,18.0,12.0,19.0,19.0,15.0,14.0,17.0,15.0,18.0,10.0,13.0,20.0,20.0,19.0,13.0,14.0,11.0,20.0,17.0
speer,12.0,18.0,10.0,19.0,19.0,18.0,13.0,14.0,19.0,18.0,16.0,14.0,20.0,20.0,18.0,11.0,12.0,11.0,17.0,11.0
stok,8.0,18.0,12.0,10.0,12.0,13.0,12.0,12.0,14.0,20.0,12.0,14.0,19.0,18.0,20.0,8.0,19.0,14.0,17.0,16.0
tank,17.0,16.0,15.0,17.0,11.0,13.0,18.0,18.0,16.0,12.0,19.0,18.0,13.0,11.0,8.0,20.0,12.0,16.0,16.0,11.0
touw,7.0,10.0,11.0,18.0,12.0,17.0,8.0,13.0,17.0,17.0,7.0,14.0,14.0,12.0,19.0,12.0,20.0,11.0,12.0,18.0
tweeloop,14.0,12.0,11.0,13.0,12.0,19.0,16.0,15.0,18.0,16.0,18.0,17.0,11.0,11.0,14.0,16.0,11.0,20.0,14.0,12.0
zwaard,5.0,18.0,14.0,18.0,19.0,12.0,12.0,11.0,16.0,13.0,15.0,14.0,20.0,17.0,17.0,16.0,12.0,14.0,20.0,19.0
zweep,12.0,17.0,13.0,15.0,17.0,14.0,12.0,7.0,16.0,13.0,11.0,16.0,17.0,11.0,16.0,11.0,18.0,12.0,19.0,20.0
