exemplar,bazooka,bijl,boksbeugel,boog,dolk,geweer,granaat,kanon,katapult,knuppel,mitrailleur,pistool,schild,speer,stok,tank,touw,tweeloop,zwaard,zweep
bazooka,20.0,3.0,2.0,2.0,2.0,12.0,8.0,3.0,2.0,2.0,8.0,3.0,4.0,1.0,4.0,5.0,1.0,5.0,2.0,2.0
bijl,3.0,20.0,2.0,3.0,2.0,3.0,1.0,1.0,2.0,7.0,2.0,3.0,3.0,4.0,5.0,5.0,1.0,2.0,1.0,3.0
boksbeugel,2.0,2.0,20.0,1.0,2.0,1.0,3.0,3.0,1.0,3.0,1.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,2.0,1.0
boog,2.0,3.0,1.0,20.0,6.0,3.0,1.0,1.0,2.0,5.0,1.0,4.0,8.0,8.0,5.0,3.0,1.0,2.0,3.0,1.0
dolk,2.0,2.0,2.0,6.0,20.0,4.0,2.0,4.0,2.0,2.0,2.0,5.0,8.0,6.0,4.0,6.0,1.0,6.0,16.0,2.0
geweer,12.0,3.0,1.0,3.0,4.0,20.0,2.0,2.0,2.0,3.0,15.0,20.0,4.0,3.0,4.0,3.0,2.0,15.0,3.0,2.0
granaat,8.0,1.0,3.0,1.0,2.0,2.0,20.0,2.0,3.0,2.0,5.0,3.0,4.0,3.0,1.0,8.0,1.0,2.0,1.0,3.0
kanon,3.0,1.0,3.0,1.0,4.0,2.0,2.0,20.0,2.0,2.0,10.0,5.0,3.0,3.0,1.0,5.0,1.0,6.0,2.0,1.0
katapult,2.0,2.0,1.0,2.0,2.0,2.0,3.0,2.0,20.0,3.0,1.0,3.0,2.0,4.0,3.0,1.0,1.0,1.0,3.0,6.0
knuppel,2.0,7.0,3.0,5.0,2.0,3.0,2.0,2.0,3.0,20.0,3.0,3.0,6.0,9.0,6.0,5.0,3.0,1.0,5.0,4.0
mitrailleur,8.0,2.0,1.0,1.0,2.0,15.0,5.0,10.0,1.0,3.0,20.0,13.0,2.0,4.0,3.0,8.0,3.0,10.0,5.0,2.0
pistool,3.0,3.0,3.0,4.0,5.0,20.0,3.0,5.0,3.0,3.0,13.0,20.0,9.0,2.0,4.0,1.0,1.0,13.0,12.0,1.0
schild,4.0,3.0,3.0,8.0,8.0,4.0,4.0,3.0,2.0,6.0,2.0,9.0,20.0,2.0,1.0,3.0,1.0,2.0,2.0,1.0
speer,1.0,4.0,3.0,8.0,6.0,3.0,3.0,3.0,4.0,9.0,4.0,2.0,2.0,20.0,2.0,1.0,2.0,2.0,7.0,2.0
stok,4.0,5.0,1.0,5.0,4.0,4.0,1.0,1.0,3.0,6.0,3.0,4.0,1.0,2.0,20.0,1.0,3.0,1.0,7.0,4.0
tank,5.0,5.0,1.0,3.0,6.0,3.0,8.0,5.0,1.0,5.0,8.0,1.0,3.0,1.0,1.0,20.0,1.0,4.0,2.0,1.0
touw,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,2.0,3.0,1.0,20.0,1.0,1.0,2.0
tweeloop,5.0,2.0,3.0,2.0,6.0,15.0,2.0,6.0,1.0,1.0,10.0,13.0,2.0,2.0,1.0,4.0,1.0,20.0,6.0,1.0
zwaard,2.0,1.0,2.0,3.0,16.0,3.0,1.0,2.0,3.0,5.0,5.0,12.0,2.0,7.0,7.0,2.0,1.0,6.0,20.0,2.0
zweep,2.0,3.0,1.0,1.0,2.0,2.0,3.0,1.0,6.0,4.0,2.0,1.0,1.0,2.0,4.0,1.0,2.0,1.0,2.0,20.0
