exemplar,bazooka,bijl,boksbeugel,boog,dolk,geweer,granaat,kanon,katapult,knuppel,mitrailleur,pistool,schild,speer,stok,tank,touw,tweeloop,zwaard,zweep
bazooka,20.0,7.0,3.0,2.0,1.0,12.0,8.0,11.0,3.0,6.0,16.0,5.0,1.0,6.0,3.0,13.0,1.0,12.0,8.0,1.0
bijl,7.0,20.0,5.0,3.0,11.0,4.0,3.0,2.0,2.0,11.0,8.0,8.0,2.0,9.0,12.0,8.0,4.0,2.0,7.0,5.0
boksbeugel,3.0,5.0,20.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0
boog,2.0,3.0,1.0,20.0,5.0,5.0,7.0,1.0,9.0,4.0,2.0,1.0,7.0,1.0,2.0,1.0,3.0,2.0,6.0,2.0
dolk,1.0,11.0,2.0,5.0,20.0,5.0,6.0,5.0,2.0,9.0,2.0,7.0,11.0,11.0,12.0,2.0,1.0,5.0,9.0,4.0
geweer,12.0,4.0,1.0,5.0,5.0,20.0,7.0,9.0,7.0,12.0,11.0,19.0,1.0,5.0,3.0,3.0,1.0,13.0,3.0,6.0
granaat,8.0,3.0,2.0,7.0,6.0,7.0,20.0,9.0,2.0,6.0,9.0,8.0,2.0,5.0,2.0,9.0,2.0,11.0,6.0,3.0
kanon,11.0,2.0,2.0,1.0,5.0,9.0,9.0,20.0,2.0,2.0,12.0,4.0,6.0,3.0,1.0,15.0,1.0,12.0,5.0,2.0
katapult,3.0,2.0,2.0,9.0,2.0,7.0,2.0,2.0,20.0,3.0,1.0,2.0,3.0,4.0,13.0,2.0,7.0,1.0,3.0,9.0
knuppel,6.0,11.0,1.0,4.0,9.0,12.0,6.0,2.0,3.0,20.0,3.0,8.0,3.0,9.0,16.0,2.0,4.0,2.0,6.0,12.0
mitrailleur,16.0,8.0,1.0,2.0,2.0,11.0,9.0,12.0,1.0,3.0,20.0,11.0,5.0,5.0,1.0,13.0,1.0,11.0,7.0,3.0
pistool,5.0,8.0,1.0,1.0,7.0,19.0,8.0,4.0,2.0,8.0,11.0,20.0,1.0,6.0,3.0,2.0,1.0,19.0,6.0,4.0
schild,1.0,2.0,3.0,7.0,11.0,1.0,2.0,6.0,3.0,3.0,5.0,1.0,20.0,5.0,3.0,8.0,2.0,1.0,5.0,2.0
speer,6.0,9.0,2.0,1.0,11.0,5.0,5.0,3.0,4.0,9.0,5.0,6.0,5.0,20.0,6.0,6.0,2.0,2.0,6.0,7.0
stok,3.0,12.0,1.0,2.0,12.0,3.0,2.0,1.0,13.0,16.0,1.0,3.0,3.0,6.0,20.0,3.0,9.0,2.0,11.0,11.0
tank,13.0,8.0,1.0,1.0,2.0,3.0,9.0,15.0,2.0,2.0,13.0,2.0,8.0,6.0,3.0,20.0,1.0,3.0,4.0,1.0
touw,1.0,4.0,1.0,3.0,1.0,1.0,2.0,1.0,7.0,4.0,1.0,1.0,2.0,2.0,9.0,1.0,20.0,1.0,3.0,14.0
tweeloop,12.0,2.0,1.0,2.0,5.0,13.0,11.0,12.0,1.0,2.0,11.0,19.0,1.0,2.0,2.0,3.0,1.0,20.0,4.0,1.0
zwaard,8.0,7.0,2.0,6.0,9.0,3.0,6.0,5.0,3.0,6.0,7.0,6.0,5.0,6.0,11.0,4.0,3.0,4.0,20.0,5.0
zweep,1.0,5.0,3.0,2.0,4.0,6.0,3.0,2.0,9.0,12.0,3.0,4.0,2.0,7.0,11.0,1.0,14.0,1.0,5.0,20.0
