exemplar,bazooka,bijl,boksbeugel,boog,dolk,geweer,granaat,kanon,katapult,knuppel,mitrailleur,pistool,schild,speer,stok,tank,touw,tweeloop,zwaard,zweep
bazooka,20.0,,,,,,,,,,,,,,,,,,,
bijl,,20.0,,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,5.0,1.0,10.0,1.0,1.0,,1.0,1.0
boksbeugel,,,20.0,,,,,,,,,,,,,,,,,
boog,,1.0,,20.0,3.0,1.0,6.0,6.0,10.0,3.0,1.0,1.0,4.0,11.0,4.0,1.0,10.0,,2.0,2.0
dolk,,1.0,,3.0,20.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,,2.0,1.0
geweer,,1.0,,1.0,3.0,20.0,1.0,1.0,1.0,1.0,1.0,15.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0
granaat,,1.0,,6.0,1.0,1.0,20.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,,1.0,7.0
kanon,,2.0,,6.0,1.0,1.0,1.0,20.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,1.0,1.0
katapult,,1.0,,10.0,1.0,1.0,1.0,1.0,20.0,2.0,1.0,1.0,4.0,1.0,3.0,5.0,11.0,,3.0,1.0
knuppel,,3.0,,3.0,1.0,1.0,1.0,3.0,2.0,20.0,1.0,1.0,2.0,3.0,10.0,1.0,1.0,,1.0,1.0
mitrailleur,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,15.0,1.0,1.0,2.0,3.0,1.0,,1.0,1.0
pistool,,2.0,,1.0,1.0,15.0,2.0,1.0,1.0,1.0,15.0,20.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0
schild,,5.0,,4.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,20.0,13.0,2.0,1.0,1.0,,15.0,3.0
speer,,1.0,,11.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,13.0,20.0,10.0,1.0,1.0,,6.0,1.0
stok,,10.0,,4.0,1.0,1.0,3.0,1.0,3.0,10.0,2.0,1.0,2.0,10.0,20.0,1.0,1.0,,2.0,3.0
tank,,1.0,,1.0,1.0,1.0,1.0,2.0,5.0,1.0,3.0,1.0,1.0,1.0,1.0,20.0,1.0,,1.0,1.0
touw,,1.0,,10.0,1.0,1.0,1.0,1.0,11.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,,1.0,10.0
tweeloop,,,,,,,,,,,,,,,,,,20.0,,
zwaard,,1.0,,2.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,15.0,6.0,2.0,1.0,1.0,,20.0,1.0
zweep,,1.0,,2.0,1.0,1.0,7.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,10.0,,1.0,20.0
