exemplar,bazooka,bijl,boksbeugel,boog,dolk,geweer,granaat,kanon,katapult,knuppel,mitrailleur,pistool,schild,speer,stok,tank,touw,tweeloop,zwaard,zweep
bazooka,20.0,2.0,1.0,2.0,4.0,8.0,14.0,16.0,6.0,1.0,12.0,5.0,4.0,4.0,1.0,4.0,7.0,13.0,3.0,6.0
bijl,2.0,20.0,2.0,3.0,12.0,3.0,1.0,5.0,2.0,3.0,2.0,2.0,8.0,4.0,4.0,3.0,3.0,3.0,14.0,4.0
boksbeugel,1.0,2.0,20.0,3.0,11.0,2.0,3.0,2.0,4.0,15.0,3.0,5.0,12.0,5.0,4.0,2.0,3.0,2.0,3.0,6.0
boog,2.0,3.0,3.0,20.0,4.0,5.0,4.0,4.0,3.0,3.0,3.0,6.0,7.0,8.0,6.0,4.0,6.0,2.0,14.0,6.0
dolk,4.0,12.0,11.0,4.0,20.0,3.0,2.0,2.0,4.0,3.0,1.0,2.0,8.0,4.0,4.0,1.0,3.0,3.0,15.0,3.0
geweer,8.0,3.0,2.0,5.0,3.0,20.0,2.0,6.0,3.0,3.0,16.0,4.0,2.0,4.0,16.0,6.0,2.0,17.0,5.0,6.0
granaat,14.0,1.0,3.0,4.0,2.0,2.0,20.0,8.0,3.0,2.0,5.0,6.0,3.0,6.0,2.0,13.0,1.0,5.0,4.0,3.0
kanon,16.0,5.0,2.0,4.0,2.0,6.0,8.0,20.0,3.0,3.0,8.0,8.0,2.0,3.0,2.0,18.0,4.0,7.0,3.0,1.0
katapult,6.0,2.0,4.0,3.0,4.0,3.0,3.0,3.0,20.0,2.0,4.0,6.0,2.0,3.0,10.0,3.0,3.0,4.0,5.0,9.0
knuppel,1.0,3.0,15.0,3.0,3.0,3.0,2.0,3.0,2.0,20.0,2.0,4.0,6.0,14.0,2.0,2.0,3.0,5.0,15.0,7.0
mitrailleur,12.0,2.0,3.0,3.0,1.0,16.0,5.0,8.0,4.0,2.0,20.0,15.0,2.0,4.0,7.0,10.0,1.0,14.0,4.0,2.0
pistool,5.0,2.0,5.0,6.0,2.0,4.0,6.0,8.0,6.0,4.0,15.0,20.0,3.0,2.0,1.0,4.0,3.0,17.0,3.0,2.0
schild,4.0,8.0,12.0,7.0,8.0,2.0,3.0,2.0,2.0,6.0,2.0,3.0,20.0,7.0,5.0,5.0,8.0,3.0,8.0,3.0
speer,4.0,4.0,5.0,8.0,4.0,4.0,6.0,3.0,3.0,14.0,4.0,2.0,7.0,20.0,16.0,3.0,4.0,4.0,3.0,3.0
stok,1.0,4.0,4.0,6.0,4.0,16.0,2.0,2.0,10.0,2.0,7.0,1.0,5.0,16.0,20.0,1.0,4.0,3.0,8.0,4.0
tank,4.0,3.0,2.0,4.0,1.0,6.0,13.0,18.0,3.0,2.0,10.0,4.0,5.0,3.0,1.0,20.0,1.0,6.0,6.0,3.0
touw,7.0,3.0,3.0,6.0,3.0,2.0,1.0,4.0,3.0,3.0,1.0,3.0,8.0,4.0,4.0,1.0,20.0,2.0,5.0,16.0
tweeloop,13.0,3.0,2.0,2.0,3.0,17.0,5.0,7.0,4.0,5.0,14.0,17.0,3.0,4.0,3.0,6.0,2.0,20.0,2.0,3.0
zwaard,3.0,14.0,3.0,14.0,15.0,5.0,4.0,3.0,5.0,15.0,4.0,3.0,8.0,3.0,8.0,6.0,5.0,2.0,20.0,2.0
zweep,6.0,4.0,6.0,6.0,3.0,6.0,3.0,1.0,9.0,7.0,2.0,2.0,3.0,3.0,4.0,3.0,16.0,3.0,2.0,20.0
