exemplar,bazooka,bijl,boksbeugel,boog,dolk,geweer,granaat,kanon,katapult,knuppel,mitrailleur,pistool,schild,speer,stok,tank,touw,tweeloop,zwaard,zweep
bazooka,20.0,4.0,4.0,4.0,5.0,15.0,5.0,10.0,2.0,5.0,2.0,14.0,2.0,2.0,2.0,2.0,2.0,5.0,5.0,5.0
bijl,4.0,20.0,2.0,4.0,12.0,5.0,6.0,5.0,5.0,14.0,10.0,5.0,2.0,3.0,2.0,5.0,6.0,5.0,18.0,5.0
boksbeugel,4.0,2.0,20.0,2.0,6.0,2.0,5.0,2.0,5.0,17.0,6.0,2.0,3.0,2.0,5.0,2.0,2.0,2.0,5.0,2.0
boog,4.0,4.0,2.0,20.0,2.0,4.0,2.0,14.0,17.0,2.0,5.0,2.0,3.0,2.0,6.0,2.0,5.0,3.0,5.0,4.0
dolk,5.0,12.0,6.0,2.0,20.0,17.0,2.0,2.0,2.0,3.0,5.0,2.0,8.0,13.0,14.0,5.0,2.0,8.0,18.0,5.0
geweer,15.0,5.0,2.0,4.0,17.0,20.0,5.0,15.0,11.0,4.0,5.0,18.0,5.0,10.0,5.0,1.0,2.0,15.0,4.0,5.0
granaat,5.0,6.0,5.0,2.0,2.0,5.0,20.0,2.0,9.0,2.0,5.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,10.0,2.0
kanon,10.0,5.0,2.0,14.0,2.0,15.0,2.0,20.0,3.0,2.0,3.0,4.0,6.0,2.0,6.0,5.0,2.0,2.0,5.0,5.0
katapult,2.0,5.0,5.0,17.0,2.0,11.0,9.0,3.0,20.0,2.0,5.0,3.0,5.0,5.0,14.0,5.0,2.0,2.0,5.0,5.0
knuppel,5.0,14.0,17.0,2.0,3.0,4.0,2.0,2.0,2.0,20.0,3.0,2.0,2.0,5.0,14.0,1.0,2.0,2.0,6.0,5.0
mitrailleur,2.0,10.0,6.0,5.0,5.0,5.0,5.0,3.0,5.0,3.0,20.0,5.0,4.0,6.0,18.0,2.0,2.0,14.0,14.0,5.0
pistool,14.0,5.0,2.0,2.0,2.0,18.0,1.0,4.0,3.0,2.0,5.0,20.0,2.0,4.0,2.0,2.0,2.0,17.0,5.0,10.0
schild,2.0,2.0,3.0,3.0,8.0,5.0,2.0,6.0,5.0,2.0,4.0,2.0,20.0,5.0,2.0,2.0,2.0,5.0,8.0,4.0
speer,2.0,3.0,2.0,2.0,13.0,10.0,2.0,2.0,5.0,5.0,6.0,4.0,5.0,20.0,17.0,2.0,3.0,2.0,5.0,5.0
stok,2.0,2.0,5.0,6.0,14.0,5.0,2.0,6.0,14.0,14.0,18.0,2.0,2.0,17.0,20.0,2.0,2.0,2.0,5.0,6.0
tank,2.0,5.0,2.0,2.0,5.0,1.0,2.0,5.0,5.0,1.0,2.0,2.0,2.0,2.0,2.0,20.0,2.0,2.0,4.0,1.0
touw,2.0,6.0,2.0,5.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,20.0,2.0,2.0,14.0
tweeloop,5.0,5.0,2.0,3.0,8.0,15.0,2.0,2.0,2.0,2.0,14.0,17.0,5.0,2.0,2.0,2.0,2.0,20.0,2.0,5.0
zwaard,5.0,18.0,5.0,5.0,18.0,4.0,10.0,5.0,5.0,6.0,14.0,5.0,8.0,5.0,5.0,4.0,2.0,2.0,20.0,2.0
zweep,5.0,5.0,2.0,4.0,5.0,5.0,2.0,5.0,5.0,5.0,5.0,10.0,4.0,5.0,6.0,1.0,14.0,5.0,2.0,20.0
