exemplar,bazooka,bijl,boksbeugel,boog,dolk,geweer,granaat,kanon,katapult,knuppel,mitrailleur,pistool,schild,speer,stok,tank,touw,tweeloop,zwaard,zweep
bazooka,20.0,3.0,3.0,3.0,5.0,14.0,14.0,10.0,8.0,1.0,14.0,14.0,3.0,3.0,4.0,13.0,3.0,12.0,2.0,2.0
bijl,3.0,20.0,2.0,5.0,2.0,3.0,2.0,2.0,2.0,13.0,4.0,1.0,1.0,12.0,10.0,1.0,2.0,3.0,14.0,1.0
boksbeugel,3.0,2.0,20.0,4.0,2.0,1.0,4.0,2.0,3.0,5.0,4.0,4.0,1.0,1.0,2.0,1.0,2.0,5.0,3.0,6.0
boog,3.0,5.0,4.0,20.0,3.0,3.0,5.0,2.0,16.0,3.0,2.0,2.0,2.0,3.0,3.0,6.0,2.0,8.0,3.0,12.0
dolk,5.0,2.0,2.0,3.0,20.0,2.0,2.0,3.0,3.0,2.0,2.0,4.0,1.0,15.0,4.0,1.0,1.0,1.0,4.0,2.0
geweer,14.0,3.0,1.0,3.0,2.0,20.0,3.0,13.0,8.0,4.0,15.0,16.0,2.0,2.0,2.0,10.0,6.0,14.0,4.0,3.0
granaat,14.0,2.0,4.0,5.0,2.0,3.0,20.0,16.0,3.0,3.0,5.0,5.0,2.0,2.0,2.0,1.0,3.0,8.0,4.0,3.0
kanon,10.0,2.0,2.0,2.0,3.0,13.0,16.0,20.0,3.0,1.0,7.0,16.0,4.0,1.0,5.0,5.0,1.0,1.0,2.0,2.0
katapult,8.0,2.0,3.0,16.0,3.0,8.0,3.0,3.0,20.0,1.0,3.0,3.0,3.0,3.0,11.0,2.0,12.0,4.0,2.0,12.0
knuppel,1.0,13.0,5.0,3.0,2.0,4.0,3.0,1.0,1.0,20.0,6.0,2.0,3.0,12.0,18.0,1.0,3.0,5.0,15.0,10.0
mitrailleur,14.0,4.0,4.0,2.0,2.0,15.0,5.0,7.0,3.0,6.0,20.0,12.0,2.0,2.0,1.0,10.0,2.0,13.0,3.0,2.0
pistool,14.0,1.0,4.0,2.0,4.0,16.0,5.0,16.0,3.0,2.0,12.0,20.0,4.0,5.0,3.0,10.0,3.0,5.0,2.0,3.0
schild,3.0,1.0,1.0,2.0,1.0,2.0,2.0,4.0,3.0,3.0,2.0,4.0,20.0,5.0,4.0,10.0,4.0,2.0,14.0,3.0
speer,3.0,12.0,1.0,3.0,15.0,2.0,2.0,1.0,3.0,12.0,2.0,5.0,5.0,20.0,17.0,1.0,3.0,4.0,11.0,4.0
stok,4.0,10.0,2.0,3.0,4.0,2.0,2.0,5.0,11.0,18.0,1.0,3.0,4.0,17.0,20.0,3.0,2.0,12.0,14.0,12.0
tank,13.0,1.0,1.0,6.0,1.0,10.0,1.0,5.0,2.0,1.0,10.0,10.0,10.0,1.0,3.0,20.0,1.0,12.0,3.0,3.0
touw,3.0,2.0,2.0,2.0,1.0,6.0,3.0,1.0,12.0,3.0,2.0,3.0,4.0,3.0,2.0,1.0,20.0,4.0,2.0,19.0
tweeloop,12.0,3.0,5.0,8.0,1.0,14.0,8.0,1.0,4.0,5.0,13.0,5.0,2.0,4.0,12.0,12.0,4.0,20.0,2.0,3.0
zwaard,2.0,14.0,3.0,3.0,4.0,4.0,4.0,2.0,2.0,15.0,3.0,2.0,14.0,11.0,14.0,3.0,2.0,2.0,20.0,4.0
zweep,2.0,1.0,6.0,12.0,2.0,3.0,3.0,2.0,12.0,10.0,2.0,3.0,3.0,4.0,12.0,3.0,19.0,3.0,4.0,20.0
