exemplar,bazooka,bijl,boksbeugel,boog,dolk,geweer,granaat,kanon,katapult,knuppel,mitrailleur,pistool,schild,speer,stok,tank,touw,tweeloop,zwaard,zweep
bazooka,20.0,2.0,2.0,2.0,2.0,5.0,1.0,5.0,3.0,3.0,1.0,1.0,2.0,3.0,1.0,3.0,2.0,4.0,2.0,2.0
bijl,2.0,20.0,5.0,2.0,3.0,2.0,2.0,2.0,4.0,5.0,1.0,2.0,2.0,3.0,3.0,2.0,2.0,1.0,2.0,5.0
boksbeugel,2.0,5.0,20.0,2.0,2.0,2.0,8.0,2.0,1.0,3.0,2.0,1.0,2.0,1.0,2.0,3.0,8.0,2.0,5.0,4.0
boog,2.0,2.0,2.0,20.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,5.0,3.0,2.0,6.0
dolk,2.0,3.0,2.0,2.0,20.0,5.0,2.0,1.0,3.0,2.0,1.0,2.0,2.0,2.0,3.0,1.0,2.0,3.0,2.0,2.0
geweer,5.0,2.0,2.0,2.0,5.0,20.0,3.0,2.0,2.0,2.0,2.0,18.0,3.0,3.0,1.0,2.0,3.0,10.0,3.0,2.0
granaat,1.0,2.0,8.0,2.0,2.0,3.0,20.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,6.0,3.0,2.0,2.0,2.0,2.0
kanon,5.0,2.0,2.0,2.0,1.0,2.0,2.0,20.0,2.0,5.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,4.0,5.0,2.0
katapult,3.0,4.0,1.0,2.0,3.0,2.0,2.0,2.0,20.0,2.0,4.0,3.0,2.0,1.0,2.0,1.0,5.0,5.0,2.0,2.0
knuppel,3.0,5.0,3.0,1.0,2.0,2.0,2.0,5.0,2.0,20.0,2.0,5.0,2.0,1.0,2.0,2.0,2.0,1.0,5.0,2.0
mitrailleur,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,4.0,2.0,20.0,15.0,2.0,3.0,1.0,2.0,2.0,3.0,2.0,2.0
pistool,1.0,2.0,1.0,2.0,2.0,18.0,2.0,2.0,3.0,5.0,15.0,20.0,2.0,2.0,2.0,2.0,5.0,10.0,2.0,5.0
schild,2.0,2.0,2.0,1.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,20.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0
speer,3.0,3.0,1.0,2.0,2.0,3.0,3.0,2.0,1.0,1.0,3.0,2.0,2.0,20.0,2.0,2.0,2.0,3.0,2.0,4.0
stok,1.0,3.0,2.0,1.0,3.0,1.0,6.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,20.0,2.0,5.0,5.0,2.0,5.0
tank,3.0,2.0,3.0,2.0,1.0,2.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,20.0,2.0,2.0,4.0,2.0
touw,2.0,2.0,8.0,5.0,2.0,3.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,20.0,2.0,5.0,10.0
tweeloop,4.0,1.0,2.0,3.0,3.0,10.0,2.0,4.0,5.0,1.0,3.0,10.0,2.0,3.0,5.0,2.0,2.0,20.0,2.0,3.0
zwaard,2.0,2.0,5.0,2.0,2.0,3.0,2.0,5.0,2.0,5.0,2.0,2.0,2.0,2.0,2.0,4.0,5.0,2.0,20.0,1.0
zweep,2.0,5.0,4.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,2.0,4.0,5.0,2.0,10.0,3.0,1.0,20.0
