exemplar,bazooka,bijl,boksbeugel,boog,dolk,geweer,granaat,kanon,katapult,knuppel,mitrailleur,pistool,schild,speer,stok,tank,touw,tweeloop,zwaard,zweep
bazooka,20.0,5.0,5.0,4.0,5.0,16.0,13.0,13.0,6.0,5.0,12.0,13.0,7.0,6.0,4.0,14.0,4.0,13.0,6.0,6.0
bijl,5.0,20.0,7.0,5.0,12.0,6.0,6.0,7.0,10.0,6.0,6.0,4.0,6.0,8.0,6.0,5.0,4.0,5.0,7.0,5.0
boksbeugel,5.0,7.0,20.0,5.0,4.0,6.0,8.0,5.0,5.0,8.0,5.0,5.0,6.0,5.0,6.0,5.0,4.0,5.0,5.0,6.0
boog,4.0,5.0,5.0,20.0,7.0,7.0,5.0,5.0,5.0,5.0,7.0,5.0,9.0,12.0,5.0,5.0,4.0,5.0,6.0,7.0
dolk,5.0,12.0,4.0,7.0,20.0,8.0,5.0,7.0,5.0,5.0,5.0,6.0,6.0,8.0,8.0,5.0,4.0,5.0,14.0,4.0
geweer,16.0,6.0,6.0,7.0,8.0,20.0,9.0,13.0,8.0,9.0,12.0,16.0,4.0,8.0,5.0,10.0,4.0,16.0,9.0,4.0
granaat,13.0,6.0,8.0,5.0,5.0,9.0,20.0,10.0,8.0,8.0,10.0,10.0,5.0,6.0,4.0,8.0,4.0,9.0,5.0,5.0
kanon,13.0,7.0,5.0,5.0,7.0,13.0,10.0,20.0,5.0,6.0,12.0,13.0,5.0,6.0,4.0,14.0,5.0,13.0,5.0,4.0
katapult,6.0,10.0,5.0,5.0,5.0,8.0,8.0,5.0,20.0,6.0,5.0,10.0,5.0,8.0,9.0,6.0,10.0,8.0,8.0,7.0
knuppel,5.0,6.0,8.0,5.0,5.0,9.0,8.0,6.0,6.0,20.0,5.0,6.0,5.0,5.0,5.0,5.0,8.0,5.0,5.0,6.0
mitrailleur,12.0,6.0,5.0,7.0,5.0,12.0,10.0,12.0,5.0,5.0,20.0,9.0,12.0,5.0,10.0,13.0,5.0,10.0,7.0,12.0
pistool,13.0,4.0,5.0,5.0,6.0,16.0,10.0,13.0,10.0,6.0,9.0,20.0,8.0,5.0,4.0,8.0,4.0,13.0,6.0,5.0
schild,7.0,6.0,6.0,9.0,6.0,4.0,5.0,5.0,5.0,5.0,12.0,8.0,20.0,9.0,5.0,4.0,4.0,5.0,6.0,5.0
speer,6.0,8.0,5.0,12.0,8.0,8.0,6.0,6.0,8.0,5.0,5.0,5.0,9.0,20.0,14.0,5.0,5.0,5.0,10.0,6.0
stok,4.0,6.0,6.0,5.0,8.0,5.0,4.0,4.0,9.0,5.0,10.0,4.0,5.0,14.0,20.0,4.0,5.0,5.0,8.0,13.0
tank,14.0,5.0,5.0,5.0,5.0,10.0,8.0,14.0,6.0,5.0,13.0,8.0,4.0,5.0,4.0,20.0,4.0,13.0,5.0,4.0
touw,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,10.0,8.0,5.0,4.0,4.0,5.0,5.0,4.0,20.0,7.0,5.0,13.0
tweeloop,13.0,5.0,5.0,5.0,5.0,16.0,9.0,13.0,8.0,5.0,10.0,13.0,5.0,5.0,5.0,13.0,7.0,20.0,7.0,4.0
zwaard,6.0,7.0,5.0,6.0,14.0,9.0,5.0,5.0,8.0,5.0,7.0,6.0,6.0,10.0,8.0,5.0,5.0,7.0,20.0,7.0
zweep,6.0,5.0,6.0,7.0,4.0,4.0,5.0,4.0,7.0,6.0,12.0,5.0,5.0,6.0,13.0,4.0,13.0,4.0,7.0,20.0
