exemplar,ant,bee,beetle,bumblebee,butterfly,caterpillar,centipede,cockchafer,cockroach,cricket,dragonfly,earwig,flee,fly,fruit fly,grasshopper,horsefly,ladybug,leech,louse,mosquito,moth,spider,wasp,wood louse,worm
ant,20.0,10.0,12.0,10.0,10.0,10.0,10.0,13.0,10.0,11.0,10.0,12.0,12.0,12.0,13.0,13.0,16.0,16.0,10.0,12.0,14.0,10.0,13.0,10.0,12.0,10.0
bee,10.0,20.0,10.0,19.0,11.0,10.0,10.0,10.0,10.0,14.0,11.0,10.0,9.0,10.0,13.0,10.0,12.0,10.0,10.0,10.0,12.0,12.0,10.0,20.0,10.0,10.0
beetle,12.0,10.0,20.0,10.0,10.0,12.0,11.0,18.0,16.0,14.0,10.0,15.0,9.0,10.0,10.0,10.0,13.0,15.0,12.0,9.0,10.0,12.0,16.0,11.0,14.0,10.0
bumblebee,10.0,19.0,10.0,20.0,15.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,15.0,11.0,10.0,12.0,10.0,10.0,9.0,11.0,10.0,10.0,19.0,11.0,10.0
butterfly,10.0,11.0,10.0,15.0,20.0,15.0,10.0,10.0,11.0,15.0,14.0,9.0,8.0,11.0,10.0,13.0,11.0,11.0,7.0,8.0,13.0,19.0,13.0,12.0,10.0,10.0
caterpillar,10.0,10.0,12.0,10.0,15.0,20.0,19.0,13.0,13.0,10.0,14.0,13.0,10.0,10.0,10.0,11.0,11.0,12.0,17.0,9.0,10.0,11.0,10.0,12.0,12.0,15.0
centipede,10.0,10.0,11.0,10.0,10.0,19.0,20.0,12.0,10.0,11.0,10.0,14.0,9.0,11.0,10.0,12.0,10.0,12.0,10.0,9.0,10.0,11.0,10.0,10.0,14.0,15.0
cockchafer,13.0,10.0,18.0,10.0,10.0,13.0,12.0,20.0,16.0,13.0,10.0,14.0,9.0,11.0,10.0,10.0,13.0,13.0,12.0,10.0,10.0,10.0,12.0,10.0,14.0,1.0
cockroach,10.0,10.0,16.0,10.0,11.0,13.0,10.0,16.0,20.0,17.0,10.0,14.0,9.0,10.0,9.0,13.0,11.0,10.0,12.0,9.0,10.0,10.0,10.0,9.0,15.0,11.0
cricket,11.0,14.0,14.0,10.0,15.0,10.0,11.0,13.0,17.0,20.0,14.0,12.0,11.0,13.0,11.0,18.0,11.0,10.0,10.0,10.0,14.0,13.0,14.0,12.0,10.0,10.0
dragonfly,10.0,11.0,10.0,10.0,14.0,14.0,10.0,10.0,10.0,14.0,20.0,10.0,9.0,15.0,14.0,15.0,17.0,10.0,10.0,10.0,19.0,14.0,18.0,11.0,10.0,10.0
earwig,12.0,10.0,15.0,10.0,9.0,13.0,14.0,14.0,14.0,12.0,10.0,20.0,9.0,12.0,10.0,10.0,16.0,12.0,17.0,10.0,10.0,10.0,10.0,10.0,19.0,13.0
flee,12.0,9.0,9.0,9.0,8.0,10.0,9.0,9.0,9.0,11.0,9.0,9.0,20.0,9.0,12.0,9.0,10.0,9.0,10.0,19.0,10.0,9.0,10.0,9.0,9.0,9.0
fly,12.0,10.0,10.0,15.0,11.0,10.0,11.0,11.0,10.0,13.0,15.0,12.0,9.0,20.0,18.0,10.0,17.0,10.0,10.0,10.0,18.0,11.0,12.0,16.0,12.0,10.0
fruit fly,13.0,13.0,10.0,11.0,10.0,10.0,10.0,10.0,9.0,11.0,14.0,10.0,12.0,18.0,20.0,10.0,13.0,12.0,10.0,15.0,18.0,12.0,13.0,13.0,10.0,10.0
grasshopper,13.0,10.0,10.0,10.0,13.0,11.0,12.0,10.0,13.0,18.0,15.0,10.0,9.0,10.0,10.0,20.0,11.0,10.0,10.0,10.0,17.0,11.0,12.0,11.0,12.0,10.0
horsefly,16.0,12.0,13.0,12.0,11.0,11.0,10.0,13.0,11.0,11.0,17.0,16.0,10.0,17.0,13.0,11.0,20.0,10.0,11.0,9.0,17.0,10.0,13.0,13.0,14.0,10.0
ladybug,16.0,10.0,15.0,10.0,11.0,12.0,12.0,13.0,10.0,10.0,10.0,12.0,9.0,10.0,12.0,10.0,10.0,20.0,10.0,8.0,10.0,9.0,11.0,10.0,14.0,10.0
leech,10.0,10.0,12.0,10.0,7.0,17.0,10.0,12.0,12.0,10.0,10.0,17.0,10.0,10.0,10.0,10.0,11.0,10.0,20.0,5.0,12.0,10.0,10.0,10.0,14.0,15.0
louse,12.0,10.0,9.0,9.0,8.0,9.0,9.0,10.0,9.0,10.0,10.0,10.0,19.0,10.0,15.0,10.0,9.0,8.0,5.0,20.0,9.0,9.0,11.0,9.0,9.0,4.0
mosquito,14.0,12.0,10.0,11.0,13.0,10.0,10.0,10.0,10.0,14.0,19.0,10.0,10.0,18.0,18.0,17.0,17.0,10.0,12.0,9.0,20.0,13.0,16.0,11.0,12.0,10.0
moth,10.0,12.0,12.0,10.0,19.0,11.0,11.0,10.0,10.0,13.0,14.0,10.0,9.0,11.0,12.0,11.0,10.0,9.0,10.0,9.0,13.0,20.0,12.0,11.0,10.0,10.0
spider,13.0,10.0,16.0,10.0,13.0,10.0,10.0,12.0,10.0,14.0,18.0,10.0,10.0,12.0,13.0,12.0,13.0,11.0,10.0,11.0,16.0,12.0,20.0,10.0,10.0,10.0
wasp,10.0,20.0,11.0,19.0,12.0,12.0,10.0,10.0,9.0,12.0,11.0,10.0,9.0,16.0,13.0,11.0,13.0,10.0,10.0,9.0,11.0,11.0,10.0,20.0,12.0,10.0
wood louse,12.0,10.0,14.0,11.0,10.0,12.0,14.0,14.0,15.0,10.0,10.0,19.0,9.0,12.0,10.0,12.0,14.0,14.0,14.0,9.0,12.0,10.0,10.0,12.0,20.0,12.0
worm,10.0,10.0,10.0,10.0,10.0,15.0,15.0,1.0,11.0,10.0,10.0,13.0,9.0,10.0,10.0,10.0,10.0,10.0,15.0,4.0,10.0,10.0,10.0,10.0,12.0,20.0
