exemplar,ant,bee,beetle,bumblebee,butterfly,caterpillar,centipede,cockchafer,cockroach,cricket,dragonfly,earwig,flee,fly,fruit fly,grasshopper,horsefly,ladybug,leech,louse,mosquito,moth,spider,wasp,wood louse,worm
ant,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
bee,1.0,20.0,1.0,18.0,1.0,1.0,1.0,12.0,1.0,1.0,12.0,1.0,1.0,11.0,11.0,1.0,,1.0,1.0,1.0,15.0,1.0,1.0,19.0,1.0,1.0
beetle,1.0,1.0,20.0,1.0,1.0,1.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,15.0,1.0,1.0,1.0,1.0,1.0,1.0,15.0,1.0
bumblebee,1.0,18.0,1.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,17.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,17.0,1.0,1.0
butterfly,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,1.0,1.0,18.0,1.0,1.0,17.0,1.0,2.0,,12.0,20.0,1.0,10.0,1.0,1.0,1.0,1.0,1.0
caterpillar,1.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,1.0,1.0,15.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16.0
centipede,1.0,1.0,1.0,1.0,1.0,1.0,20.0,1.0,2.0,1.0,1.0,18.0,1.0,1.0,1.0,1.0,,1.0,3.0,1.0,1.0,1.0,1.0,1.0,12.0,16.0
cockchafer,1.0,12.0,17.0,1.0,1.0,1.0,1.0,20.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.0,1.0
cockroach,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15.0,1.0
cricket,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
dragonfly,1.0,12.0,1.0,1.0,18.0,1.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,1.0,2.0,,1.0,1.0,1.0,12.0,1.0,1.0,1.0,1.0,1.0
earwig,1.0,1.0,1.0,1.0,1.0,15.0,18.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,12.0
flee,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,1.0,14.0,1.0,,1.0,1.0,19.0,1.0,1.0,1.0,1.0,1.0,1.0
fly,1.0,11.0,1.0,17.0,17.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,20.0,17.0,1.0,,1.0,1.0,1.0,19.0,11.0,3.0,14.0,1.0,1.0
fruit fly,1.0,11.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14.0,17.0,20.0,1.0,,1.0,1.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0
grasshopper,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,20.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
horsefly,,,,,,,,,,,,,,,,,20.0,,,,,,,,,
ladybug,1.0,1.0,15.0,1.0,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,20.0,1.0,1.0,13.0,1.0,1.0,1.0,1.0,1.0
leech,1.0,1.0,1.0,1.0,20.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,20.0,1.0,1.0,1.0,1.0,1.0,14.0,1.0
louse,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,19.0,1.0,1.0,1.0,,1.0,1.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0
mosquito,1.0,15.0,1.0,1.0,10.0,1.0,1.0,1.0,1.0,1.0,12.0,1.0,1.0,19.0,17.0,1.0,,13.0,1.0,1.0,20.0,1.0,1.0,14.0,1.0,1.0
moth,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11.0,1.0,1.0,,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,1.0
spider,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0
wasp,1.0,19.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14.0,1.0,1.0,,1.0,1.0,1.0,14.0,1.0,1.0,20.0,1.0,1.0
wood louse,1.0,1.0,15.0,1.0,1.0,1.0,12.0,12.0,15.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,,1.0,14.0,1.0,1.0,1.0,1.0,1.0,20.0,1.0
worm,1.0,1.0,1.0,1.0,1.0,16.0,16.0,1.0,1.0,1.0,1.0,12.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0
