exemplar,ant,bee,beetle,bumblebee,butterfly,caterpillar,centipede,cockchafer,cockroach,cricket,dragonfly,earwig,flee,fly,fruit fly,grasshopper,horsefly,ladybug,leech,louse,mosquito,moth,spider,wasp,wood louse,worm
ant,20.0,14.0,16.0,14.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,17.0,14.0,16.0,14.0,15.0,16.0,15.0,15.0,17.0,14.0,15.0,16.0,14.0,16.0,14.0
bee,14.0,20.0,15.0,18.0,16.0,14.0,14.0,16.0,14.0,14.0,17.0,14.0,16.0,17.0,17.0,15.0,17.0,16.0,12.0,15.0,17.0,16.0,15.0,17.0,14.0,15.0
beetle,16.0,15.0,20.0,16.0,16.0,16.0,16.0,17.0,17.0,16.0,14.0,18.0,14.0,13.0,15.0,16.0,16.0,14.0,16.0,15.0,14.0,15.0,15.0,15.0,17.0,14.0
bumblebee,14.0,18.0,16.0,20.0,17.0,15.0,15.0,16.0,15.0,15.0,17.0,14.0,16.0,18.0,17.0,15.0,17.0,15.0,13.0,15.0,16.0,17.0,14.0,18.0,15.0,13.0
butterfly,16.0,16.0,16.0,17.0,20.0,16.0,14.0,16.0,14.0,16.0,17.0,15.0,15.0,16.0,17.0,15.0,17.0,16.0,15.0,14.0,17.0,17.0,14.0,17.0,14.0,15.0
caterpillar,16.0,14.0,16.0,15.0,16.0,20.0,16.0,15.0,16.0,16.0,16.0,17.0,14.0,14.0,14.0,15.0,15.0,15.0,16.0,15.0,16.0,14.0,16.0,15.0,16.0,18.0
centipede,16.0,14.0,16.0,15.0,14.0,16.0,20.0,14.0,16.0,16.0,15.0,16.0,16.0,14.0,13.0,16.0,15.0,16.0,16.0,16.0,14.0,14.0,16.0,14.0,17.0,18.0
cockchafer,16.0,16.0,17.0,16.0,16.0,15.0,14.0,20.0,16.0,16.0,16.0,16.0,15.0,17.0,16.0,16.0,16.0,17.0,16.0,16.0,14.0,16.0,16.0,16.0,16.0,15.0
cockroach,16.0,14.0,17.0,15.0,14.0,16.0,16.0,16.0,20.0,16.0,15.0,16.0,15.0,14.0,15.0,16.0,14.0,14.0,17.0,16.0,15.0,15.0,17.0,14.0,17.0,12.0
cricket,16.0,14.0,16.0,15.0,16.0,16.0,16.0,16.0,16.0,20.0,16.0,16.0,12.0,15.0,15.0,19.0,14.0,16.0,16.0,16.0,16.0,15.0,15.0,14.0,16.0,16.0
dragonfly,16.0,17.0,14.0,17.0,17.0,16.0,15.0,16.0,15.0,16.0,20.0,15.0,18.0,17.0,17.0,16.0,17.0,17.0,15.0,15.0,18.0,17.0,16.0,17.0,14.0,13.0
earwig,17.0,14.0,18.0,14.0,15.0,17.0,16.0,16.0,16.0,16.0,15.0,20.0,15.0,15.0,15.0,17.0,16.0,14.0,16.0,15.0,14.0,14.0,16.0,15.0,18.0,16.0
flee,14.0,16.0,14.0,16.0,15.0,14.0,16.0,15.0,15.0,12.0,18.0,15.0,20.0,17.0,17.0,17.0,17.0,16.0,17.0,19.0,17.0,16.0,15.0,16.0,15.0,15.0
fly,16.0,17.0,13.0,18.0,16.0,14.0,14.0,17.0,14.0,15.0,17.0,15.0,17.0,20.0,18.0,16.0,17.0,17.0,15.0,16.0,17.0,17.0,15.0,17.0,15.0,14.0
fruit fly,14.0,17.0,15.0,17.0,17.0,14.0,13.0,16.0,15.0,15.0,17.0,15.0,17.0,18.0,20.0,14.0,17.0,16.0,14.0,16.0,17.0,16.0,16.0,17.0,14.0,14.0
