exemplar,ant,bee,beetle,bumblebee,butterfly,caterpillar,centipede,cockchafer,cockroach,cricket,dragonfly,earwig,flee,fly,fruit fly,grasshopper,horsefly,ladybug,leech,louse,mosquito,moth,spider,wasp,wood louse,worm
ant,20.0,8.0,18.0,13.0,11.0,14.0,11.0,12.0,8.0,8.0,8.0,16.0,14.0,11.0,9.0,9.0,,16.0,16.0,16.0,14.0,3.0,16.0,13.0,3.0,9.0
bee,8.0,20.0,12.0,19.0,6.0,2.0,6.0,16.0,14.0,16.0,16.0,12.0,10.0,18.0,17.0,11.0,,16.0,10.0,5.0,19.0,11.0,14.0,19.0,9.0,3.0
beetle,18.0,12.0,20.0,13.0,8.0,9.0,13.0,18.0,18.0,16.0,13.0,16.0,9.0,16.0,16.0,16.0,,18.0,3.0,15.0,16.0,11.0,11.0,14.0,7.0,3.0
bumblebee,13.0,19.0,13.0,20.0,15.0,12.0,8.0,16.0,13.0,5.0,16.0,8.0,13.0,18.0,18.0,14.0,,12.0,2.0,2.0,13.0,16.0,12.0,19.0,13.0,2.0
butterfly,11.0,6.0,8.0,15.0,20.0,3.0,13.0,16.0,10.0,2.0,16.0,2.0,3.0,16.0,14.0,3.0,,11.0,2.0,3.0,15.0,18.0,3.0,10.0,13.0,3.0
caterpillar,14.0,2.0,9.0,12.0,3.0,20.0,19.0,13.0,6.0,14.0,16.0,14.0,3.0,6.0,8.0,10.0,,9.0,2.0,14.0,6.0,6.0,3.0,16.0,14.0,17.0
centipede,11.0,6.0,13.0,8.0,13.0,19.0,20.0,6.0,9.0,5.0,16.0,16.0,13.0,6.0,10.0,7.0,,3.0,3.0,12.0,6.0,2.0,17.0,16.0,11.0,3.0
cockchafer,12.0,16.0,18.0,16.0,16.0,13.0,6.0,20.0,19.0,14.0,6.0,4.0,2.0,17.0,16.0,14.0,,16.0,2.0,12.0,5.0,16.0,7.0,16.0,11.0,6.0
cockroach,8.0,14.0,18.0,13.0,10.0,6.0,9.0,19.0,20.0,9.0,16.0,6.0,14.0,3.0,9.0,9.0,,17.0,14.0,11.0,14.0,14.0,2.0,6.0,2.0,3.0
cricket,8.0,16.0,16.0,5.0,2.0,14.0,5.0,14.0,9.0,20.0,11.0,6.0,2.0,14.0,8.0,18.0,,2.0,6.0,5.0,6.0,7.0,6.0,13.0,14.0,5.0
dragonfly,8.0,16.0,13.0,16.0,16.0,16.0,16.0,6.0,16.0,11.0,20.0,16.0,3.0,16.0,16.0,16.0,,2.0,2.0,2.0,17.0,5.0,13.0,18.0,13.0,16.0
earwig,16.0,12.0,16.0,8.0,2.0,14.0,16.0,4.0,6.0,6.0,16.0,20.0,7.0,14.0,3.0,16.0,,2.0,2.0,3.0,3.0,3.0,9.0,16.0,13.0,13.0
flee,14.0,10.0,9.0,13.0,3.0,3.0,13.0,2.0,14.0,2.0,3.0,7.0,20.0,13.0,17.0,6.0,,11.0,17.0,18.0,15.0,10.0,2.0,3.0,4.0,3.0
fly,11.0,18.0,16.0,18.0,16.0,6.0,6.0,17.0,3.0,14.0,16.0,14.0,13.0,20.0,19.0,15.0,,16.0,6.0,10.0,19.0,16.0,13.0,18.0,14.0,3.0
fruit fly,9.0,17.0,16.0,18.0,14.0,8.0,10.0,16.0,9.0,8.0,16.0,3.0,17.0,19.0,20.0,9.0,,17.0,13.0,11.0,16.0,16.0,13.0,17.0,13.0,5.0
grasshopper,9.0,11.0,16.0,14.0,3.0,10.0,7.0,14.0,9.0,18.0,16.0,16.0,6.0,15.0,9.0,20.0,,8.0,3.0,6.0,9.0,3.0,12.0,10.0,16.0,5.0
horsefly,,,,,,,,,,,,,,,,,20.0,,,,,,,,,
ladybug,16.0,16.0,18.0,12.0,11.0,9.0,3.0,16.0,17.0,2.0,2.0,2.0,11.0,16.0,17.0,8.0,,20.0,3.0,3.0,16.0,3.0,2.0,11.0,11.0,2.0
leech,16.0,10.0,3.0,2.0,2.0,2.0,3.0,2.0,14.0,6.0,2.0,2.0,17.0,6.0,13.0,3.0,,3.0,20.0,17.0,9.0,2.0,2.0,6.0,11.0,3.0
louse,16.0,5.0,15.0,2.0,3.0,14.0,12.0,12.0,11.0,5.0,2.0,3.0,18.0,10.0,11.0,6.0,,3.0,17.0,20.0,17.0,3.0,15.0,3.0,3.0,5.0
mosquito,14.0,19.0,16.0,13.0,15.0,6.0,6.0,5.0,14.0,6.0,17.0,3.0,15.0,19.0,16.0,9.0,,16.0,9.0,17.0,20.0,16.0,9.0,16.0,14.0,3.0
moth,3.0,11.0,11.0,16.0,18.0,6.0,2.0,16.0,14.0,7.0,5.0,3.0,10.0,16.0,16.0,3.0,,3.0,2.0,3.0,16.0,20.0,12.0,9.0,15.0,7.0
spider,16.0,14.0,11.0,12.0,3.0,3.0,17.0,7.0,2.0,6.0,13.0,9.0,2.0,13.0,13.0,12.0,,2.0,2.0,15.0,9.0,12.0,20.0,11.0,18.0,2.0
wasp,13.0,19.0,14.0,19.0,10.0,16.0,16.0,16.0,6.0,13.0,18.0,16.0,3.0,18.0,17.0,10.0,,11.0,6.0,3.0,16.0,9.0,11.0,20.0,8.0,5.0
wood louse,3.0,9.0,7.0,13.0,13.0,14.0,11.0,11.0,2.0,14.0,13.0,13.0,4.0,14.0,13.0,16.0,,11.0,11.0,3.0,14.0,15.0,18.0,8.0,20.0,11.0
worm,9.0,3.0,3.0,2.0,3.0,17.0,3.0,6.0,3.0,5.0,16.0,13.0,3.0,3.0,5.0,5.0,,2.0,3.0,5.0,3.0,7.0,2.0,5.0,11.0,20.0
