exemplar,acteur,advocaat,apotheker,archeoloog,architect,bakker,boekhouder,brandweerman,dierenarts,directeur,dokter,informaticus,kinesist,kok,leraar,loodgieter,marktkramer,minister,opvoedster,piloot,politieagent,postbode,psycholoog,rechter,secretaresse,slager,stewardess,tandarts,vuilnisman,winkelbediende
acteur,1.0,0.45999999999999996,0.36,0.38,0.42000000000000004,0.36,0.33666666666666667,0.32333333333333336,0.3566666666666667,0.39,0.36333333333333334,0.38,0.38,0.38666666666666666,0.45666666666666667,0.32,0.44666666666666666,0.4633333333333334,0.42000000000000004,0.3466666666666667,0.32,0.3433333333333333,0.45,0.38333333333333336,0.4,0.32666666666666666,0.48,0.32333333333333336,0.31666666666666665,0.38666666666666666
advocaat,0.45999999999999996,1.0,0.4633333333333334,0.36333333333333334,0.47000000000000003,0.3433333333333333,0.5033333333333333,0.33666666666666667,0.41,0.6066666666666667,0.5733333333333334,0.45666666666666667,0.4533333333333333,0.35,0.4633333333333334,0.33666666666666667,0.32333333333333336,0.6533333333333333,0.37333333333333335,0.42666666666666664,0.55,0.36333333333333334,0.5566666666666666,0.7666666666666667,0.48,0.32666666666666666,0.36666666666666664,0.4533333333333333,0.2833333333333333,0.32333333333333336
apotheker,0.36,0.4633333333333334,1.0,0.38666666666666666,0.4166666666666667,0.44333333333333336,0.3933333333333333,0.3466666666666667,0.5433333333333333,0.43666666666666665,0.6766666666666666,0.39666666666666667,0.5733333333333334,0.4533333333333333,0.4033333333333333,0.3566666666666667,0.37333333333333335,0.43666666666666665,0.39,0.41,0.3433333333333333,0.32666666666666666,0.4966666666666667,0.43666666666666665,0.4333333333333333,0.4033333333333333,0.4033333333333333,0.64,0.29333333333333333,0.58
archeoloog,0.38,0.36333333333333334,0.38666666666666666,1.0,0.4766666666666667,0.33999999999999997,0.39,0.36333333333333334,0.4033333333333333,0.39,0.39,0.42000000000000004,0.35,0.32,0.39666666666666667,0.3466666666666667,0.3066666666666667,0.36333333333333334,0.42000000000000004,0.38666666666666666,0.4133333333333334,0.36333333333333334,0.42666666666666664,0.42333333333333334,0.32,0.33666666666666667,0.41,0.42000000000000004,0.42666666666666664,0.33999999999999997
architect,0.42000000000000004,0.47000000000000003,0.4166666666666667,0.4766666666666667,1.0,0.3433333333333333,0.47333333333333333,0.36333333333333334,0.4333333333333333,0.55,0.43,0.5233333333333333,0.42333333333333334,0.33999999999999997,0.37333333333333335,0.45,0.3566666666666667,0.47000000000000003,0.33333333333333337,0.49000000000000005,0.3933333333333333,0.4033333333333333,0.42333333333333334,0.48666666666666664,0.38333333333333336,0.33666666666666667,0.36,0.42666666666666664,0.2833333333333333,0.3433333333333333
bakker,0.36,0.3433333333333333,0.44333333333333336,0.33999999999999997,0.3433333333333333,1.0,0.33666666666666667,0.3933333333333333,0.33333333333333337,0.3433333333333333,0.32,0.35333333333333333,0.3566666666666667,0.7466666666666667,0.37666666666666665,0.39666666666666667,0.51,0.29,0.38,0.38333333333333336,0.3433333333333333,0.4133333333333334,0.32999999999999996,0.29333333333333333,0.3566666666666667,0.6333333333333333,0.32333333333333336,0.3466666666666667,0.31666666666666665,0.5733333333333334
boekhouder,0.33666666666666667,0.5033333333333333,0.3933333333333333,0.39,0.47333333333333333,0.33666666666666667,1.0,0.33999999999999997,0.3566666666666667,0.5700000000000001,0.45999999999999996,0.63,0.38333333333333336,0.32999999999999996,0.47333333333333333,0.35333333333333333,0.36666666666666664,0.5333333333333333,0.36,0.44333333333333336,0.37666666666666665,0.43,0.3933333333333333,0.51,0.6466666666666667,0.3466666666666667,0.39666666666666667,0.38,0.30333333333333334,0.43
brandweerman,0.32333333333333336,0.33666666666666667,0.3466666666666667,0.36333333333333334,0.36333333333333334,0.3933333333333333,0.33999999999999997,1.0,0.35,0.37333333333333335,0.42000000000000004,0.3566666666666667,0.31333333333333335,0.33333333333333337,0.42666666666666664,0.5133333333333334,0.32333333333333336,0.35,0.33333333333333337,0.37666666666666665,0.64,0.3933333333333333,0.36,0.3566666666666667,0.3466666666666667,0.3566666666666667,0.35333333333333333,0.32333333333333336,0.43666666666666665,0.37666666666666665
dierenarts,0.3566666666666667,0.41,0.5433333333333333,0.4033333333333333,0.4333333333333333,0.33333333333333337,0.3566666666666667,0.35,1.0,0.42333333333333334,0.74,0.3466666666666667,0.5466666666666666,0.35,0.32333333333333336,0.32999999999999996,0.3466666666666667,0.4033333333333333,0.33999999999999997,0.3566666666666667,0.35,0.39666666666666667,0.48666666666666664,0.4066666666666666,0.31333333333333335,0.4833333333333333,0.35,0.6166666666666667,0.3066666666666667,0.3433333333333333
directeur,0.39,0.6066666666666667,0.43666666666666665,0.39,0.55,0.3433333333333333,0.5700000000000001,0.37333333333333335,0.42333333333333334,1.0,0.54,0.5066666666666666,0.42333333333333334,0.35,0.55,0.31,0.32666666666666666,0.63,0.42666666666666664,0.5133333333333334,0.45,0.36,0.5033333333333333,0.61,0.5633333333333334,0.2966666666666667,0.39,0.41,0.2633333333333333,0.36333333333333334
