exemplar,blackbird,canary,chickadee,chicken,crow,cuckoo,dove,duck,eagle,falcon,heron,magpie,ostrich,owl,parakeet,parrot,peacock,pelican,penguin,pheasant,robin,rooster,seagull,sparrow,stork,swallow,swan,turkey,vulture,woodpecker
blackbird,20.0,6.0,13.0,8.0,9.0,9.0,13.0,11.0,3.0,6.0,7.0,12.0,3.0,9.0,10.0,8.0,6.0,6.0,3.0,7.0,17.0,8.0,6.0,10.0,3.0,12.0,4.0,8.0,5.0,11.0
canary,6.0,20.0,12.0,8.0,6.0,7.0,18.0,6.0,2.0,4.0,6.0,14.0,6.0,8.0,17.0,10.0,5.0,3.0,5.0,7.0,6.0,6.0,6.0,10.0,5.0,9.0,6.0,6.0,3.0,8.0
chickadee,13.0,12.0,20.0,11.0,13.0,6.0,9.0,8.0,2.0,3.0,6.0,10.0,6.0,6.0,13.0,4.0,4.0,6.0,5.0,7.0,14.0,6.0,8.0,16.0,2.0,9.0,10.0,6.0,3.0,9.0
chicken,8.0,8.0,11.0,20.0,10.0,9.0,14.0,17.0,6.0,7.0,7.0,12.0,3.0,7.0,9.0,10.0,10.0,6.0,7.0,10.0,6.0,19.0,11.0,7.0,6.0,8.0,6.0,15.0,8.0,8.0
crow,9.0,6.0,13.0,10.0,20.0,6.0,10.0,9.0,6.0,13.0,7.0,12.0,6.0,10.0,6.0,6.0,8.0,16.0,6.0,6.0,2.0,11.0,15.0,3.0,6.0,14.0,3.0,12.0,8.0,13.0
cuckoo,9.0,7.0,6.0,9.0,6.0,20.0,17.0,9.0,3.0,8.0,8.0,10.0,4.0,11.0,13.0,8.0,6.0,8.0,6.0,8.0,7.0,10.0,13.0,8.0,7.0,13.0,4.0,9.0,8.0,13.0
dove,13.0,18.0,9.0,14.0,10.0,17.0,20.0,16.0,5.0,8.0,6.0,10.0,4.0,14.0,6.0,7.0,6.0,3.0,4.0,6.0,11.0,10.0,12.0,15.0,4.0,8.0,6.0,9.0,4.0,11.0
duck,11.0,6.0,8.0,17.0,9.0,9.0,16.0,20.0,6.0,13.0,8.0,15.0,9.0,8.0,6.0,6.0,7.0,15.0,10.0,10.0,7.0,10.0,17.0,6.0,6.0,14.0,8.0,13.0,3.0,7.0
eagle,3.0,2.0,2.0,6.0,6.0,3.0,5.0,6.0,20.0,15.0,9.0,5.0,13.0,7.0,3.0,6.0,7.0,6.0,5.0,8.0,7.0,6.0,6.0,2.0,10.0,6.0,4.0,10.0,11.0,7.0
falcon,6.0,4.0,3.0,7.0,13.0,8.0,8.0,13.0,15.0,20.0,11.0,10.0,6.0,11.0,6.0,8.0,9.0,8.0,7.0,8.0,3.0,5.0,6.0,7.0,15.0,9.0,4.0,6.0,9.0,8.0
heron,7.0,6.0,6.0,7.0,7.0,8.0,6.0,8.0,9.0,11.0,20.0,10.0,6.0,8.0,5.0,7.0,12.0,8.0,9.0,7.0,5.0,7.0,6.0,7.0,15.0,7.0,15.0,11.0,7.0,6.0
magpie,12.0,14.0,10.0,12.0,12.0,10.0,10.0,15.0,5.0,10.0,10.0,20.0,3.0,11.0,6.0,7.0,6.0,5.0,3.0,3.0,7.0,9.0,9.0,11.0,4.0,12.0,6.0,8.0,7.0,15.0
ostrich,3.0,6.0,6.0,3.0,6.0,4.0,4.0,9.0,13.0,6.0,6.0,3.0,20.0,5.0,6.0,5.0,9.0,7.0,6.0,15.0,6.0,3.0,6.0,5.0,6.0,8.0,3.0,12.0,16.0,6.0
owl,9.0,8.0,6.0,7.0,10.0,11.0,14.0,8.0,7.0,11.0,8.0,11.0,5.0,20.0,6.0,13.0,8.0,9.0,4.0,6.0,5.0,7.0,7.0,10.0,7.0,7.0,7.0,9.0,9.0,11.0
parakeet,10.0,17.0,13.0,9.0,6.0,13.0,6.0,6.0,3.0,6.0,5.0,6.0,6.0,6.0,20.0,13.0,10.0,3.0,3.0,6.0,8.0,9.0,11.0,15.0,7.0,6.0,6.0,6.0,3.0,10.0
parrot,8.0,10.0,4.0,10.0,6.0,8.0,7.0,6.0,6.0,8.0,7.0,7.0,5.0,13.0,13.0,20.0,11.0,7.0,7.0,7.0,5.0,9.0,11.0,7.0,9.0,9.0,3.0,7.0,6.0,10.0
peacock,6.0,5.0,4.0,10.0,8.0,6.0,6.0,7.0,7.0,9.0,12.0,6.0,9.0,8.0,10.0,11.0,20.0,7.0,10.0,18.0,6.0,8.0,6.0,3.0,10.0,6.0,6.0,18.0,11.0,7.0
pelican,6.0,3.0,6.0,6.0,16.0,8.0,3.0,15.0,6.0,8.0,8.0,5.0,7.0,9.0,3.0,7.0,7.0,20.0,10.0,10.0,4.0,7.0,7.0,6.0,13.0,8.0,11.0,10.0,7.0,7.0
penguin,3.0,5.0,5.0,7.0,6.0,6.0,4.0,10.0,5.0,7.0,9.0,3.0,6.0,4.0,3.0,7.0,10.0,10.0,20.0,6.0,3.0,3.0,9.0,3.0,6.0,6.0,6.0,6.0,7.0,6.0
pheasant,7.0,7.0,7.0,10.0,6.0,8.0,6.0,10.0,8.0,8.0,7.0,3.0,15.0,6.0,6.0,7.0,18.0,10.0,6.0,20.0,6.0,10.0,12.0,7.0,8.0,6.0,7.0,18.0,8.0,9.0
robin,17.0,6.0,14.0,6.0,2.0,7.0,11.0,7.0,7.0,3.0,5.0,7.0,6.0,5.0,8.0,5.0,6.0,4.0,3.0,6.0,20.0,3.0,5.0,13.0,3.0,6.0,3.0,3.0,2.0,8.0
rooster,8.0,6.0,6.0,19.0,11.0,10.0,10.0,10.0,6.0,5.0,7.0,9.0,3.0,7.0,9.0,9.0,8.0,7.0,3.0,10.0,3.0,20.0,12.0,7.0,4.0,8.0,2.0,10.0,7.0,9.0
seagull,6.0,6.0,8.0,11.0,15.0,13.0,12.0,17.0,6.0,6.0,6.0,9.0,6.0,7.0,11.0,11.0,6.0,7.0,9.0,12.0,5.0,12.0,20.0,7.0,4.0,10.0,7.0,7.0,5.0,9.0
sparrow,10.0,10.0,16.0,7.0,3.0,8.0,15.0,6.0,2.0,7.0,7.0,11.0,5.0,10.0,15.0,7.0,3.0,6.0,3.0,7.0,13.0,7.0,7.0,20.0,3.0,3.0,6.0,16.0,5.0,7.0
stork,3.0,5.0,2.0,6.0,6.0,7.0,4.0,6.0,10.0,15.0,15.0,4.0,6.0,7.0,7.0,9.0,10.0,13.0,6.0,8.0,3.0,4.0,4.0,3.0,20.0,6.0,16.0,8.0,10.0,3.0
