exemplar,blackbird,canary,chickadee,chicken,crow,cuckoo,dove,duck,eagle,falcon,heron,magpie,ostrich,owl,parakeet,parrot,peacock,pelican,penguin,pheasant,robin,rooster,seagull,sparrow,stork,swallow,swan,turkey,vulture,woodpecker
blackbird,20.0,9.0,10.0,11.0,11.0,10.0,11.0,9.0,9.0,9.0,9.0,12.0,9.0,9.0,9.0,9.0,9.0,9.0,7.0,9.0,10.0,9.0,9.0,12.0,8.0,10.0,9.0,10.0,8.0,10.0
canary,9.0,20.0,10.0,9.0,9.0,9.0,10.0,12.0,9.0,9.0,9.0,10.0,8.0,9.0,11.0,14.0,11.0,8.0,8.0,11.0,10.0,10.0,9.0,11.0,9.0,8.0,10.0,9.0,9.0,11.0
chickadee,10.0,10.0,20.0,11.0,9.0,10.0,12.0,10.0,8.0,10.0,9.0,10.0,7.0,10.0,11.0,9.0,9.0,8.0,9.0,9.0,13.0,9.0,8.0,12.0,9.0,10.0,9.0,9.0,8.0,9.0
chicken,11.0,9.0,11.0,20.0,9.0,10.0,14.0,15.0,9.0,8.0,8.0,10.0,10.0,11.0,9.0,10.0,10.0,8.0,11.0,12.0,10.0,18.0,10.0,13.0,9.0,9.0,9.0,15.0,8.0,9.0
crow,11.0,9.0,9.0,9.0,20.0,10.0,11.0,9.0,9.0,11.0,10.0,12.0,9.0,10.0,9.0,12.0,9.0,9.0,9.0,9.0,9.0,12.0,11.0,10.0,9.0,10.0,8.0,9.0,10.0,8.0
cuckoo,10.0,9.0,10.0,10.0,10.0,20.0,15.0,9.0,10.0,10.0,10.0,11.0,9.0,10.0,8.0,10.0,9.0,7.0,8.0,11.0,10.0,10.0,9.0,11.0,9.0,11.0,8.0,9.0,9.0,11.0
dove,11.0,10.0,12.0,14.0,11.0,15.0,20.0,11.0,9.0,11.0,9.0,11.0,7.0,11.0,11.0,9.0,9.0,11.0,9.0,10.0,11.0,11.0,9.0,12.0,10.0,13.0,9.0,9.0,9.0,9.0
duck,9.0,12.0,10.0,15.0,9.0,9.0,11.0,20.0,9.0,9.0,9.0,9.0,9.0,8.0,11.0,10.0,9.0,11.0,11.0,11.0,9.0,11.0,12.0,10.0,10.0,10.0,14.0,14.0,8.0,9.0
eagle,9.0,9.0,8.0,9.0,9.0,10.0,9.0,9.0,20.0,16.0,9.0,9.0,11.0,11.0,9.0,10.0,9.0,10.0,8.0,9.0,8.0,10.0,11.0,9.0,9.0,11.0,8.0,8.0,15.0,9.0
falcon,9.0,9.0,10.0,8.0,11.0,10.0,11.0,9.0,16.0,20.0,8.0,9.0,8.0,16.0,11.0,12.0,9.0,9.0,8.0,8.0,8.0,9.0,9.0,9.0,11.0,8.0,9.0,9.0,14.0,11.0
heron,9.0,9.0,9.0,8.0,10.0,10.0,9.0,9.0,9.0,8.0,20.0,10.0,16.0,10.0,9.0,10.0,9.0,12.0,7.0,10.0,9.0,10.0,12.0,9.0,16.0,10.0,13.0,10.0,12.0,10.0
magpie,12.0,10.0,10.0,10.0,12.0,11.0,11.0,9.0,9.0,9.0,10.0,20.0,9.0,9.0,10.0,11.0,9.0,9.0,9.0,10.0,11.0,10.0,9.0,11.0,12.0,12.0,9.0,9.0,9.0,11.0
ostrich,9.0,8.0,7.0,10.0,9.0,9.0,7.0,9.0,11.0,8.0,16.0,9.0,20.0,10.0,10.0,9.0,13.0,10.0,13.0,12.0,9.0,9.0,9.0,8.0,11.0,8.0,8.0,14.0,9.0,9.0
owl,9.0,9.0,10.0,11.0,10.0,10.0,11.0,8.0,11.0,16.0,10.0,9.0,10.0,20.0,9.0,10.0,10.0,9.0,9.0,11.0,9.0,11.0,10.0,8.0,10.0,9.0,9.0,9.0,10.0,11.0
parakeet,9.0,11.0,11.0,9.0,9.0,8.0,11.0,11.0,9.0,11.0,9.0,10.0,10.0,9.0,20.0,12.0,13.0,10.0,7.0,11.0,12.0,11.0,10.0,10.0,9.0,9.0,9.0,9.0,9.0,13.0
parrot,9.0,14.0,9.0,10.0,12.0,10.0,9.0,10.0,10.0,12.0,10.0,11.0,9.0,10.0,12.0,20.0,11.0,10.0,8.0,9.0,10.0,10.0,11.0,10.0,10.0,10.0,10.0,9.0,9.0,13.0
peacock,9.0,11.0,9.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,13.0,10.0,13.0,11.0,20.0,10.0,8.0,15.0,9.0,11.0,8.0,10.0,10.0,9.0,10.0,10.0,10.0,9.0
pelican,9.0,8.0,8.0,8.0,9.0,7.0,11.0,11.0,10.0,9.0,12.0,9.0,10.0,9.0,10.0,10.0,10.0,20.0,12.0,8.0,8.0,9.0,12.0,9.0,12.0,9.0,10.0,14.0,9.0,11.0
penguin,7.0,8.0,9.0,11.0,9.0,8.0,9.0,11.0,8.0,8.0,7.0,9.0,13.0,9.0,7.0,8.0,8.0,12.0,20.0,11.0,7.0,9.0,10.0,8.0,9.0,9.0,10.0,7.0,8.0,9.0
pheasant,9.0,11.0,9.0,12.0,9.0,11.0,10.0,11.0,9.0,8.0,10.0,10.0,12.0,11.0,11.0,9.0,15.0,8.0,11.0,20.0,9.0,13.0,9.0,9.0,9.0,8.0,10.0,13.0,8.0,10.0
robin,10.0,10.0,13.0,10.0,9.0,10.0,11.0,9.0,8.0,8.0,9.0,11.0,9.0,9.0,12.0,10.0,9.0,8.0,7.0,9.0,20.0,8.0,9.0,14.0,9.0,11.0,9.0,9.0,8.0,10.0
rooster,9.0,10.0,9.0,18.0,12.0,10.0,11.0,11.0,10.0,9.0,10.0,10.0,9.0,11.0,11.0,10.0,11.0,9.0,9.0,13.0,8.0,20.0,9.0,10.0,10.0,9.0,10.0,13.0,8.0,9.0
seagull,9.0,9.0,8.0,10.0,11.0,9.0,9.0,12.0,11.0,9.0,12.0,9.0,9.0,10.0,10.0,11.0,8.0,12.0,10.0,9.0,9.0,9.0,20.0,9.0,10.0,9.0,11.0,9.0,10.0,10.0
sparrow,12.0,11.0,12.0,13.0,10.0,11.0,12.0,10.0,9.0,9.0,9.0,11.0,8.0,8.0,10.0,10.0,10.0,9.0,8.0,9.0,14.0,10.0,9.0,20.0,9.0,11.0,8.0,9.0,8.0,9.0
stork,8.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0,9.0,11.0,16.0,12.0,11.0,10.0,9.0,10.0,10.0,12.0,9.0,9.0,9.0,10.0,10.0,9.0,20.0,8.0,9.0,9.0,10.0,11.0
swallow,10.0,8.0,10.0,9.0,10.0,11.0,13.0,10.0,11.0,8.0,10.0,12.0,8.0,9.0,9.0,10.0,9.0,9.0,9.0,8.0,11.0,9.0,9.0,11.0,8.0,20.0,9.0,9.0,9.0,12.0
swan,9.0,10.0,9.0,9.0,8.0,8.0,9.0,14.0,8.0,9.0,13.0,9.0,8.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0,11.0,8.0,9.0,9.0,20.0,11.0,9.0,10.0
