exemplar,blackbird,canary,chickadee,chicken,crow,cuckoo,dove,duck,eagle,falcon,heron,magpie,ostrich,owl,parakeet,parrot,peacock,pelican,penguin,pheasant,robin,rooster,seagull,sparrow,stork,swallow,swan,turkey,vulture,woodpecker
blackbird,20.0,8.0,6.0,7.0,6.0,7.0,8.0,8.0,7.0,8.0,5.0,7.0,6.0,8.0,6.0,7.0,9.0,7.0,6.0,8.0,6.0,7.0,6.0,8.0,7.0,5.0,5.0,6.0,7.0,6.0
canary,8.0,20.0,7.0,8.0,7.0,7.0,6.0,7.0,6.0,5.0,5.0,9.0,4.0,7.0,7.0,7.0,5.0,7.0,5.0,7.0,8.0,7.0,6.0,13.0,6.0,7.0,8.0,9.0,6.0,7.0
chickadee,6.0,7.0,20.0,8.0,6.0,7.0,9.0,7.0,7.0,7.0,4.0,5.0,5.0,8.0,9.0,5.0,6.0,5.0,5.0,9.0,6.0,6.0,12.0,13.0,6.0,9.0,7.0,4.0,6.0,11.0
chicken,7.0,8.0,8.0,20.0,7.0,7.0,6.0,7.0,8.0,6.0,5.0,8.0,4.0,6.0,7.0,6.0,6.0,5.0,8.0,6.0,6.0,16.0,7.0,4.0,5.0,5.0,6.0,12.0,10.0,7.0
crow,6.0,7.0,6.0,7.0,20.0,8.0,5.0,7.0,6.0,8.0,11.0,13.0,7.0,9.0,7.0,7.0,11.0,8.0,5.0,7.0,7.0,8.0,6.0,6.0,9.0,7.0,6.0,8.0,8.0,11.0
cuckoo,7.0,7.0,7.0,7.0,8.0,20.0,8.0,8.0,7.0,7.0,7.0,8.0,7.0,7.0,7.0,6.0,5.0,6.0,7.0,9.0,8.0,8.0,5.0,10.0,8.0,8.0,9.0,8.0,6.0,10.0
dove,8.0,6.0,9.0,6.0,5.0,8.0,20.0,7.0,5.0,7.0,7.0,6.0,5.0,7.0,8.0,7.0,8.0,5.0,7.0,8.0,6.0,7.0,7.0,7.0,5.0,8.0,5.0,8.0,9.0,6.0
duck,8.0,7.0,7.0,7.0,7.0,8.0,7.0,20.0,7.0,7.0,6.0,6.0,7.0,7.0,6.0,5.0,10.0,4.0,5.0,9.0,5.0,7.0,7.0,6.0,4.0,9.0,14.0,10.0,7.0,9.0
eagle,7.0,6.0,7.0,8.0,6.0,7.0,5.0,7.0,20.0,7.0,18.0,7.0,7.0,9.0,7.0,6.0,5.0,5.0,7.0,7.0,6.0,8.0,7.0,6.0,8.0,4.0,5.0,9.0,16.0,13.0
falcon,8.0,5.0,7.0,6.0,8.0,7.0,7.0,7.0,7.0,20.0,11.0,8.0,10.0,9.0,10.0,9.0,7.0,7.0,7.0,5.0,6.0,7.0,8.0,7.0,6.0,6.0,7.0,10.0,8.0,7.0
heron,5.0,5.0,4.0,5.0,11.0,7.0,7.0,6.0,18.0,11.0,20.0,7.0,7.0,7.0,5.0,9.0,7.0,8.0,8.0,6.0,8.0,5.0,11.0,5.0,6.0,11.0,8.0,7.0,5.0,9.0
magpie,7.0,9.0,5.0,8.0,13.0,8.0,6.0,6.0,7.0,8.0,7.0,20.0,8.0,9.0,9.0,8.0,6.0,7.0,6.0,7.0,7.0,8.0,10.0,5.0,6.0,6.0,6.0,7.0,7.0,13.0
ostrich,6.0,4.0,5.0,4.0,7.0,7.0,5.0,7.0,7.0,10.0,7.0,8.0,20.0,6.0,7.0,8.0,8.0,7.0,9.0,6.0,4.0,7.0,7.0,5.0,12.0,7.0,8.0,8.0,7.0,7.0
owl,8.0,7.0,8.0,6.0,9.0,7.0,7.0,7.0,9.0,9.0,7.0,9.0,6.0,20.0,8.0,7.0,6.0,8.0,6.0,7.0,9.0,10.0,8.0,8.0,6.0,7.0,7.0,7.0,8.0,8.0
parakeet,6.0,7.0,9.0,7.0,7.0,7.0,8.0,6.0,7.0,10.0,5.0,9.0,7.0,8.0,20.0,10.0,7.0,8.0,5.0,5.0,8.0,7.0,8.0,9.0,4.0,7.0,6.0,7.0,8.0,8.0
parrot,7.0,7.0,5.0,6.0,7.0,6.0,7.0,5.0,6.0,9.0,9.0,8.0,8.0,7.0,10.0,20.0,6.0,6.0,7.0,8.0,5.0,6.0,7.0,6.0,6.0,6.0,7.0,7.0,7.0,9.0
peacock,9.0,5.0,6.0,6.0,11.0,5.0,8.0,10.0,5.0,7.0,7.0,6.0,8.0,6.0,7.0,6.0,20.0,6.0,6.0,6.0,5.0,8.0,7.0,7.0,6.0,7.0,9.0,16.0,6.0,6.0
pelican,7.0,7.0,5.0,5.0,8.0,6.0,5.0,4.0,5.0,7.0,8.0,7.0,7.0,8.0,8.0,6.0,6.0,20.0,7.0,6.0,5.0,6.0,6.0,6.0,11.0,7.0,10.0,6.0,6.0,7.0
penguin,6.0,5.0,5.0,8.0,5.0,7.0,7.0,5.0,7.0,7.0,8.0,6.0,9.0,6.0,5.0,7.0,6.0,7.0,20.0,6.0,6.0,6.0,6.0,5.0,6.0,5.0,6.0,8.0,5.0,7.0
pheasant,8.0,7.0,9.0,6.0,7.0,9.0,8.0,9.0,7.0,5.0,6.0,7.0,6.0,7.0,5.0,8.0,6.0,6.0,6.0,20.0,7.0,9.0,9.0,7.0,6.0,6.0,7.0,9.0,8.0,8.0
robin,6.0,8.0,6.0,6.0,7.0,8.0,6.0,5.0,6.0,6.0,8.0,7.0,4.0,9.0,8.0,5.0,5.0,5.0,6.0,7.0,20.0,8.0,8.0,13.0,5.0,7.0,5.0,8.0,5.0,6.0
rooster,7.0,7.0,6.0,16.0,8.0,8.0,7.0,7.0,8.0,7.0,5.0,8.0,7.0,10.0,7.0,6.0,8.0,6.0,6.0,9.0,8.0,20.0,5.0,6.0,6.0,7.0,7.0,8.0,8.0,5.0
