exemplar,blackbird,canary,chickadee,chicken,crow,cuckoo,dove,duck,eagle,falcon,heron,magpie,ostrich,owl,parakeet,parrot,peacock,pelican,penguin,pheasant,robin,rooster,seagull,sparrow,stork,swallow,swan,turkey,vulture,woodpecker
blackbird,20.0,15.0,15.0,6.0,17.0,13.0,13.0,11.0,11.0,11.0,11.0,16.0,4.0,8.0,14.0,13.0,11.0,11.0,6.0,8.0,14.0,11.0,14.0,14.0,12.0,14.0,7.0,11.0,11.0,15.0
canary,15.0,20.0,16.0,11.0,13.0,14.0,12.0,11.0,12.0,11.0,12.0,12.0,7.0,12.0,18.0,12.0,11.0,11.0,9.0,11.0,15.0,11.0,11.0,14.0,11.0,16.0,11.0,8.0,7.0,12.0
chickadee,15.0,16.0,20.0,11.0,12.0,11.0,13.0,8.0,11.0,13.0,8.0,12.0,6.0,11.0,14.0,11.0,8.0,11.0,11.0,11.0,13.0,11.0,11.0,18.0,9.0,16.0,11.0,9.0,6.0,15.0
chicken,6.0,11.0,11.0,20.0,12.0,7.0,11.0,11.0,11.0,9.0,11.0,6.0,6.0,6.0,11.0,12.0,11.0,9.0,9.0,9.0,4.0,18.0,6.0,7.0,11.0,8.0,6.0,18.0,9.0,8.0
crow,17.0,13.0,12.0,12.0,20.0,11.0,13.0,5.0,13.0,14.0,12.0,14.0,9.0,14.0,12.0,12.0,11.0,9.0,11.0,11.0,12.0,13.0,15.0,13.0,12.0,12.0,11.0,9.0,13.0,14.0
cuckoo,13.0,14.0,11.0,7.0,11.0,20.0,13.0,11.0,13.0,12.0,14.0,12.0,12.0,17.0,13.0,11.0,13.0,13.0,11.0,11.0,11.0,7.0,13.0,14.0,14.0,11.0,11.0,11.0,11.0,13.0
dove,13.0,12.0,13.0,11.0,13.0,13.0,20.0,8.0,11.0,12.0,12.0,12.0,11.0,12.0,12.0,11.0,11.0,11.0,8.0,11.0,18.0,7.0,14.0,14.0,12.0,10.0,11.0,9.0,11.0,14.0
duck,11.0,11.0,8.0,11.0,5.0,11.0,8.0,20.0,5.0,7.0,11.0,11.0,3.0,11.0,11.0,5.0,10.0,12.0,15.0,9.0,9.0,9.0,9.0,9.0,10.0,11.0,16.0,14.0,8.0,8.0
eagle,11.0,12.0,11.0,11.0,13.0,13.0,11.0,5.0,20.0,18.0,13.0,11.0,11.0,14.0,12.0,17.0,10.0,11.0,11.0,11.0,9.0,11.0,13.0,12.0,16.0,11.0,12.0,9.0,16.0,13.0
falcon,11.0,11.0,13.0,9.0,14.0,12.0,12.0,7.0,18.0,20.0,13.0,12.0,9.0,16.0,13.0,14.0,10.0,11.0,11.0,10.0,13.0,13.0,14.0,12.0,14.0,13.0,7.0,12.0,16.0,13.0
heron,11.0,12.0,8.0,11.0,12.0,14.0,12.0,11.0,13.0,13.0,20.0,13.0,11.0,12.0,11.0,12.0,14.0,12.0,11.0,11.0,12.0,11.0,13.0,12.0,16.0,11.0,12.0,11.0,14.0,17.0
