exemplar,apple,apricot,banana,blackberry,blueberry,cherry,coconut,dates,fig,grape,grapefruit,kiwi,lemon,lime,lychee,mandarine,mango,melon,nectarine,orange,papaya,passion fruit,peach,pear,pineapple,plum,pumpkin,raspberry,red currant,strawberry
apple,20.0,9.0,15.0,8.0,9.0,9.0,8.0,7.0,8.0,9.0,9.0,9.0,8.0,8.0,7.0,5.0,9.0,10.0,10.0,12.0,5.0,4.0,11.0,15.0,9.0,11.0,6.0,6.0,6.0,10.0
apricot,9.0,20.0,4.0,10.0,11.0,6.0,7.0,6.0,6.0,7.0,10.0,6.0,4.0,7.0,6.0,8.0,7.0,9.0,12.0,8.0,12.0,7.0,14.0,8.0,8.0,15.0,4.0,12.0,12.0,8.0
banana,15.0,4.0,20.0,9.0,9.0,8.0,6.0,5.0,5.0,9.0,9.0,9.0,9.0,6.0,10.0,9.0,7.0,9.0,11.0,6.0,7.0,11.0,11.0,13.0,15.0,8.0,9.0,9.0,10.0,9.0
blackberry,8.0,10.0,9.0,20.0,16.0,9.0,14.0,8.0,8.0,9.0,8.0,7.0,9.0,9.0,6.0,10.0,7.0,9.0,7.0,5.0,7.0,5.0,10.0,7.0,9.0,10.0,12.0,17.0,17.0,9.0
blueberry,9.0,11.0,9.0,16.0,20.0,11.0,6.0,8.0,7.0,9.0,8.0,9.0,5.0,4.0,9.0,8.0,8.0,8.0,10.0,7.0,8.0,11.0,9.0,6.0,6.0,9.0,11.0,15.0,15.0,12.0
cherry,9.0,6.0,8.0,9.0,11.0,20.0,7.0,6.0,9.0,14.0,4.0,4.0,4.0,9.0,10.0,8.0,12.0,13.0,12.0,10.0,8.0,9.0,13.0,9.0,8.0,10.0,8.0,13.0,7.0,11.0
coconut,8.0,7.0,6.0,14.0,6.0,7.0,20.0,9.0,9.0,6.0,6.0,9.0,4.0,5.0,9.0,6.0,9.0,7.0,9.0,7.0,9.0,6.0,10.0,4.0,17.0,5.0,4.0,4.0,9.0,6.0
dates,7.0,6.0,5.0,8.0,8.0,6.0,9.0,20.0,11.0,6.0,9.0,6.0,6.0,4.0,9.0,2.0,5.0,4.0,4.0,4.0,4.0,8.0,6.0,9.0,4.0,13.0,4.0,7.0,7.0,8.0
fig,8.0,6.0,5.0,8.0,7.0,9.0,9.0,11.0,20.0,14.0,10.0,8.0,7.0,7.0,13.0,4.0,9.0,4.0,8.0,4.0,6.0,12.0,6.0,9.0,5.0,13.0,6.0,2.0,8.0,6.0
grape,9.0,7.0,9.0,9.0,9.0,14.0,6.0,6.0,14.0,20.0,10.0,7.0,7.0,7.0,6.0,6.0,10.0,9.0,11.0,9.0,9.0,8.0,12.0,6.0,8.0,9.0,5.0,10.0,14.0,10.0
